ROW_I,ID,MAGNITUDE
61,40,6.2e+01
38,37,3.9e+01
26,36,2.7e+01
5,33,6e+00
24,36,2.5e+01
3,33,4e+00
43,38,4.4e+01
1,33,2e+00
41,38,4.2e+01
20,35,2.1e+01
60,40,6.1e+01
18,35,1.9e+01
58,40,5.9e+01
56,40,5.7e+01
8,34,9e+00
25,36,2.6e+01
2,33,3e+00
17,35,1.8e+01
34,37,3.5e+01
13,34,1.4e+01
32,37,3.3e+01
11,34,1.2e+01
51,39,5.2e+01
9,34,1e+01
49,39,5e+01
28,36,2.9e+01
16,35,1.7e+01
33,37,3.4e+01
10,34,1.1e+01
48,39,4.9e+01
63,40,6.4e+01
40,38,4.1e+01
57,40,5.8e+01
55,39,5.6e+01
7,33,8e+00
22,35,2.3e+01
62,40,6.3e+01
39,37,4e+01
37,37,3.8e+01
35,37,3.6e+01
54,39,5.5e+01
12,34,1.3e+01
52,39,5.3e+01
50,39,5.1e+01
27,36,2.8e+01
4,33,5e+00
44,38,4.5e+01
42,38,4.3e+01
0,33,1e+00
19,35,2e+01
59,40,6e+01
36,37,3.7e+01
15,34,1.6e+01
53,39,5.4e+01
30,36,3.1e+01
47,38,4.8e+01
45,38,4.6e+01
14,34,1.5e+01
31,36,3.2e+01
29,36,3e+01
6,33,7e+00
46,38,4.7e+01
23,35,2.4e+01
21,35,2.2e+01
