N_SeqNo,BuoyID,MAGNITUDE
61,1,6.362e+02
38,1,7.0207e+02
78,1,1.09e+01
76,1,1.006e+02
93,1,7e-01
26,1,5.7421e+02
5,1,2.58e+01
24,1,1.313e+02
3,1,9.94e+01
43,1,3.33e+00
1,1,3.254e+02
41,1,1.66e+01
20,1,1.73e+00
60,1,1.478e+02
18,1,8.41e+00
79,1,4e+00
58,1,8e-01
98,1,2.696e+02
56,1,2.3e+00
96,1,6.05e+01
75,1,7.54e+01
73,1,3.233e+02
90,1,6.4e+00
8,1,3.1e+00
25,1,5.3889e+02
2,1,5.095e+02
101,1,2.639e+01
17,1,1.483e+01
34,1,7.4e-01
13,1,6.2916e+02
32,1,1.89e+00
11,1,8.1e-01
51,1,2.11e+02
9,1,2.2e+00
49,1,4.443e+02
28,1,5.303e+01
89,1,2.14e+01
68,1,2.7e+00
87,1,5.44e+01
66,1,1.01e+01
106,1,6.2e-01
64,1,7.97e+01
104,1,1.65e+00
83,1,7e-01
81,1,1.4e+00
16,1,4.344e+01
33,1,1.11e+00
10,1,9e-01
71,1,9e-01
48,1,1.713e+02
88,1,2.98e+01
65,1,2.21e+01
63,1,1.277e+02
103,1,3.68e+00
40,1,3.245e+01
80,1,1.9e+00
57,1,1.1e+00
55,1,4.5e+00
95,1,5e-01
72,1,1.745e+02
7,1,5.6e+00
22,1,8.5e-01
62,1,2.935e+02
39,1,8.329e+01
37,1,6.3002e+02
77,1,2.18e+01
35,1,1.06e+00
54,1,8.4e+00
94,1,6e-01
12,1,2.2078e+02
52,1,6.24e+01
92,1,1.7e+00
50,1,5.123e+02
27,1,1.5106e+02
67,1,4.6e+00
107,1,3.8e-01
4,1,5.35e+01
44,1,2.03e+00
105,1,7.1e-01
42,1,6.8e+00
82,1,1e+00
0,1,5.46e+01
19,1,4.05e+00
59,1,6e-01
99,1,9.509e+01
36,1,1.0019e+02
97,1,2.91e+02
15,1,1.2033e+02
74,1,3.932e+02
53,1,2.4e+01
30,1,8.38e+00
91,1,2.6e+00
70,1,7e-01
47,1,6.5e-01
45,1,1.23e+00
85,1,2.883e+02
102,1,1.037e+01
100,1,8.084e+01
14,1,5.9132e+02
31,1,4.51e+00
29,1,1.949e+01
69,1,1.4e+00
6,1,1.25e+01
46,1,8.5e-01
86,1,3.953e+02
23,1,9.6e-01
84,1,1.264e+02
21,1,1.12e+00
