seq_no,train_id,next_station,destination,longitude,lattitude,source,schedule_date,arrivalTime,departureTime
1,210,Claymont,Norristown,-7.55536e+01,3.97374e+01,Wilmington,2016-03-26,2016-03-26 10:41:02,2016-03-26 10:43:01
2,210,Marcus Hook,Norristown,-7.545059e+01,3.979994e+01,Wilmington,2016-03-26,2016-03-26 10:46:06,2016-03-26 10:47:01
3,210,Highland Ave,Norristown,-7.54199e+01,3.982172e+01,Wilmington,2016-03-26,2016-03-26 10:52:05,2016-03-26 10:53:45
4,210,Chester TC,Norristown,-7.539316e+01,3.983367e+01,Wilmington,2016-03-26,2016-03-26 10:56:01,2016-03-26 10:57:00
5,210,Crum Lynne,Norristown,-7.53616e+01,3.984893e+01,Wilmington,2016-03-26,2016-03-26 11:03:06,2016-03-26 11:04:00
6,210,Ridley Park,Norristown,-7.533168e+01,3.987122e+01,Wilmington,2016-03-26,2016-03-26 11:07:06,2016-03-26 11:08:00
7,210,Prospect Park,Norristown,-7.532306e+01,3.988002e+01,Wilmington,2016-03-26,2016-03-26 11:10:06,2016-03-26 11:11:40
8,210,Norwood,Norristown,-7.531239e+01,3.988648e+01,Wilmington,2016-03-26,2016-03-26 11:15:06,2016-03-26 11:16:01
9,210,Glenolden,Norristown,-7.530364e+01,3.989061e+01,Wilmington,2016-03-26,2016-03-26 11:19:06,2016-03-26 11:20:45
10,210,Folcroft,Norristown,-7.529005e+01,3.989624e+01,Wilmington,2016-03-26,2016-03-26 11:23:01,2016-03-26 11:23:45
11,210,Sharon Hill,Norristown,-7.527786e+01,3.990135e+01,Wilmington,2016-03-26,2016-03-26 11:26:00,2016-03-26 11:27:00
12,210,Curtis Park,Norristown,-7.527096e+01,3.99043e+01,Wilmington,2016-03-26,2016-03-26 11:30:06,2016-03-26 11:31:45
13,210,Darby,Norristown,-7.526636e+01,3.990706e+01,Wilmington,2016-03-26,2016-03-26 11:33:00,2016-03-26 11:34:45
14,210,University City,Norristown,-7.525526e+01,3.99127e+01,Wilmington,2016-03-26,2016-03-26 11:38:00,2016-03-26 11:40:01
15,210,30th Street Station,Norristown,-7.51912e+01,3.99471e+01,Wilmington,2016-03-26,2016-03-26 11:45:00,2016-03-26 11:48:00
16,210,Suburban Station,Norristown,-7.518373e+01,3.995694e+01,Wilmington,2016-03-26,2016-03-26 11:51:00,2016-03-26 11:53:00
17,210,Jefferson Station,Norristown,-7.51677778e+01,3.99538889e+01,Wilmington,2016-03-26,2016-03-26 11:56:06,2016-03-26 11:58:17
18,210,Temple U,Norristown,-7.515358e+01,3.995547e+01,Wilmington,2016-03-26,2016-03-26 12:04:01,2016-03-26 12:05:30
19,210,North Broad St,Norristown,-7.514987e+01,3.99806e+01,Wilmington,2016-03-26,2016-03-26 12:07:06,2016-03-26 12:08:00
20,210,Allegheny,Norristown,-7.515496e+01,3.999343e+01,Wilmington,2016-03-26,2016-03-26 12:10:06,2016-03-26 12:12:45
21,210,Wissahickon,Norristown,-7.519327e+01,4.001151e+01,Wilmington,2016-03-26,2016-03-26 12:14:06,2016-03-26 12:15:00
22,210,Ivy Ridge,Norristown,-7.5225e+01,4.002694e+01,Wilmington,2016-03-26,2016-03-26 12:18:01,2016-03-26 12:19:45
23,210,Spring Mill,Norristown,-7.526685e+01,4.005845e+01,Wilmington,2016-03-26,2016-03-26 12:21:36,2016-03-26 12:23:01
24,210,Conshohocken,Norristown,-7.528487e+01,4.007404e+01,Wilmington,2016-03-26,2016-03-26 12:25:06,2016-03-26 12:26:01
25,210,Norristown TC,Norristown,-7.530747e+01,4.007137e+01,Wilmington,2016-03-26,2016-03-26 12:28:06,2016-03-26 12:29:01
26,210,Main St,Norristown,-7.534562e+01,4.011321e+01,Wilmington,2016-03-26,2016-03-26 12:33:05,2016-03-26 12:34:11
27,210,Elm St,Norristown,-7.534864e+01,4.011735e+01,Wilmington,2016-03-26,2016-03-26 12:36:06,2016-03-26 12:37:45
