"id","masters","gpa","stats","programming","admitted"
1,yes,3.95,Beginner,Beginner,0
2,,3.76,,Beginner,0
3,,3.7,Novice,Beginner,1
4,yes,3.5,,Novice,1
5,no,3.44,Novice,Novice,0
6,yes,3.5,Beginner,Advanced,1
7,yes,2.33,Novice,Novice,1
8,no,3.6,Beginner,Advanced,1
9,no,3.82,Advanced,Advanced,1
10,no,3.71,Advanced,Advanced,1
11,,3.13,Advanced,Advanced,1
12,,3.65,Novice,Novice,1
13,no,4,Advanced,Novice,1
14,,3.45,Advanced,Advanced,0
15,,4,Advanced,Advanced,1
16,no,3.7,Advanced,Advanced,1
17,,3.83,Advanced,Advanced,1
18,yes,3.81,Advanced,Advanced,1
19,yes,1.98,Advanced,Advanced,0
20,,3.9,Advanced,Advanced,1
21,no,3.87,Novice,Beginner,1
22,,3.46,Novice,,0
23,yes,3.59,Advanced,Novice,1
24,no,1.87,Advanced,Novice,1
25,,3.96,Advanced,Advanced,1
26,yes,3.57,Advanced,Advanced,1
27,yes,3.96,Advanced,Advanced,0
28,no,3.93,Advanced,Advanced,1
29,,4,Novice,Beginner,0
30,yes,3.79,Advanced,Novice,0
31,yes,3.5,Advanced,Beginner,1
32,,3.46,Advanced,,0
33,no,3.55,Novice,Novice,1
34,,3.85,Advanced,Beginner,0
35,no,3.68,Novice,Beginner,1
36,no,3,Advanced,Novice,0
37,,3.52,Novice,Novice,1
38,yes,2.65,Advanced,,1
39,,3.75,Advanced,,0
40,yes,3.95,Novice,Beginner,0
