"session_id","page","datestamp"
"5","account summary","2004-03-19 10:06:00.000000"
"4","account summary","2004-03-19 08:33:00.000000"
"0","account summary","2004-03-17 16:35:00.000000"
"5","funds transfer","2004-03-19 10:09:00.000000"
"4","faq","2004-03-19 08:36:00.000000"
"0","faq","2004-03-17 16:38:00.000000"
"5","view deposit details","2004-03-19 10:11:00.000000"
"4","view deposit details","2004-03-19 08:38:00.000000"
"0","account history","2004-03-17 16:42:00.000000"
"5","view deposit details","2004-03-19 10:13:00.000000"
"4","faq","2004-03-19 08:41:00.000000"
"0","funds transfer","2004-03-17 16:45:00.000000"
"5","account history","2004-03-19 10:14:00.000000"
"0","online statement enrollment","2004-03-17 16:49:00.000000"
"3","account summary","2004-03-18 22:41:00.000000"
"0","profile update","2004-03-17 16:50:00.000000"
"3","account history","2004-03-18 22:45:00.000000"
"0","account summary","2004-03-17 16:51:00.000000"
"3","account summary","2004-03-18 22:47:00.000000"
"0","customer support","2004-03-17 16:53:00.000000"
"3","account history","2004-03-18 22:49:00.000000"
"0","view deposit details","2004-03-17 16:57:00.000000"
"3","faq","2004-03-18 22:50:00.000000"
"3","account summary","2004-03-18 22:53:00.000000"
"3","account summary","2004-03-18 22:55:00.000000"
"1","account summary","2004-03-18 01:16:00.000000"
"1","account summary","2004-03-18 01:18:00.000000"
"1","faq","2004-03-18 01:20:00.000000"
"1","account summary","2004-03-18 01:21:00.000000"
"1","funds transfer","2004-03-18 01:24:00.000000"
"1","account history","2004-03-18 01:25:00.000000"
"1","view deposit details","2004-03-18 01:27:00.000000"
"1","account summary","2004-03-18 01:27:00.000000"
"1","account history","2004-03-18 01:28:00.000000"
"2","account summary","2004-03-18 09:22:00.000000"
"2","account summary","2004-03-18 09:23:00.000000"
"2","account summary","2004-03-18 09:25:00.000000"
"2","account history","2004-03-18 09:27:00.000000"
"2","funds transfer","2004-03-18 09:31:00.000000"
"2","account summary","2004-03-18 09:31:00.000000"
"2","faq","2004-03-18 09:33:00.000000"
"2","faq","2004-03-18 09:36:00.000000"
