id,seq,tick,a,b,c,d
1,1,1,2.1e+00,2.01e+01,2.01e+01,3.01e+01
1,1,2,2.2e+00,2.02e+01,2.02e+01,3.02e+01
1,1,3,2.3e+00,2.03e+01,2.03e+01,3.03e+01
1,1,4,2.4e+00,2.04e+01,2.04e+01,3.04e+01
1,1,5,2.5e+00,2.05e+01,2.05e+01,3.05e+01
1,2,1,2.1e+00,2.01e+01,2.01e+01,3.01e+01
1,2,2,2.2e+00,2.02e+01,2.02e+01,3.02e+01
1,2,3,2.3e+00,2.03e+01,2.03e+01,3.03e+01
1,2,4,2.4e+00,2.04e+01,2.04e+01,3.04e+01
1,2,5,2.5e+00,2.05e+01,2.05e+01,3.05e+01
2,1,1,6.1e+00,6.01e+01,6.01e+01,7.01e+01
2,1,2,6.2e+00,6.02e+01,6.02e+01,7.02e+01
2,1,3,6.3e+00,6.03e+01,6.03e+01,7.03e+01
2,1,4,6.4e+00,6.04e+01,6.04e+01,7.04e+01
2,1,5,6.5e+00,6.05e+01,6.05e+01,7.05e+01
2,2,1,6.1e+00,6.01e+01,6.01e+01,7.01e+01
2,2,2,6.2e+00,6.02e+01,6.02e+01,7.02e+01
2,2,3,6.3e+00,6.03e+01,6.03e+01,7.03e+01
2,2,4,6.4e+00,6.04e+01,6.04e+01,7.04e+01
2,2,5,6.5e+00,6.05e+01,6.05e+01,7.05e+01
