"TD_TIMECODE", "buoyid", "salinity", "temperature", "oceanname", "jsoncol"
2016-01-06 09:08:00.000000,0,33,8.113e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""125""}]}"
2016-01-06 09:08:02.000000,2,33,9.717e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""104""}]}"
2016-01-06 09:08:00.000000,0,55,8.113e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""125""}]}"
2016-01-06 09:08:02.000000,2,55,9.717e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""104""}]}"
2016-01-06 09:08:01.000000,1,33,7.511e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""113""}]}"
2016-01-06 09:08:03.000000,3,33,1.0419e+02,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""117""}]}"
2016-01-06 09:08:01.000000,1,55,7.511e+01,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""113""}]}"
2016-01-06 09:08:03.000000,3,55,1.0419e+02,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""117""}]}"
2016-01-06 09:08:04.000000,4,33,1.0721e+02,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""113""}]}"
2016-01-06 09:08:04.000000,4,55,1.0721e+02,"Pacific","{""air_gun"":[{""shot"":1,""line"":1}],""Measure"":[{""Temperature"":""71"",""Salinity"":""113""}]}"
