"id","MedInc","HouseAge","AveRooms","AveBedrms","Population","AveOccup","Latitude","Longitude","MedHouseVal","pi"
18760,3.8323e+00,1.6e+01,5.9978213507625275e+00,1.0762527233115469e+00,1.414e+03,3.0806100217864922e+00,4.06e+01,-1.2225e+02,1.283e+00,61
244,2.3906e+00,4.4e+01,4.865573770491803e+00,1.1639344262295082e+00,2.269e+03,3.719672131147541e+00,3.778e+01,-1.2222e+02,1.117e+00,0
5300,1.583e+00,1.9e+01,3.1481481481481484e+00,1.0454840805718e+00,3.751e+03,2.437296946068876e+00,3.407e+01,-1.1845e+02,3.5e+00,12
3687,2.9028e+00,1.1e+01,4.013207547169811e+00,1.0962264150943397e+00,1.989e+03,3.7528301886792454e+00,3.422e+01,-1.1837e+02,1.741e+00,8
5769,2.8342e+00,3.5e+01,3.923076923076923e+00,1.0671550671550671e+00,2.401e+03,2.9316239316239314e+00,3.416e+01,-1.183e+02,2.568e+00,15
2833,1.3527e+00,3e+01,2.2475247524752477e+00,7.425742574257426e-01,1.69e+02,1.6732673267326732e+00,3.539e+01,-1.1902e+02,6e-01,6
686,3.4375e+00,3e+01,4.290322580645161e+00,9.6415770609319e-01,6.95e+02,2.4910394265232974e+00,3.769e+01,-1.2212e+02,1.578e+00,2
18022,6.1648e+00,3.5e+01,5.850574712643678e+00,9.712643678160919e-01,4.84e+02,2.781609195402299e+00,3.725e+01,-1.2196e+02,3.719e+00,58
10661,1.00757e+01,1.6e+01,6.147826086956521e+00,8.304347826086956e-01,6.35e+02,2.760869565217391e+00,3.366e+01,-1.1781e+02,3.839e+00,27
19839,1.5714e+00,3.9e+01,3.830357142857143e+00,1.0178571428571428e+00,1.222e+03,5.455357142857143e+00,3.652e+01,-1.1929e+02,4.3e-01,67
9454,1.2281e+00,2.5e+01,5.503978779840849e+00,1.1538461538461537e+00,9.91e+02,2.6286472148541113e+00,3.977e+01,-1.2323e+02,6.03e-01,26
