"id","name","cyl","hp"
26,"fiat x1-9",4,66
17,"chrysler imperial",8,230
7,"duster 360",8,245
19,"honda civic",4,52
5,"hornet sportabout",8,175
13,"merc 450sl",8,180
22,"dodge challenger",8,150
15,"cadillac fleetwood",8,205
24,"camaro z28",8,245
32,"volvo 142e",4,109
12,"merc 450se",8,180
30,"ferrari dino",6,175
3,"datsun 710",4,93
11,"merc 280c",6,123
27,"porsche 914-2",4,91
14,"merc 450slc",8,180
1,"mazda rx4",6,110
9,"merc 230",4,95
4,"hornet 4 drive",6,110
31,"maserati bora",8,335
20,"toyota corolla",4,65
28,"lotus europa",4,113
29,"ford pantera l",8,264
18,"fiat 128",4,66
16,"lincoln continental",8,215
6,"valiant",6,105
8,"merc 240d",4,62
10,"merc 280",6,123
23,"amc javelin",8,150
25,"pontiac firebird",8,175
21,"toyota corona",4,97
2,"mazda rx4 wag",6,110
