"aster_ccm_id","id","period","expenditure","income","investment"
1,2,2,525,583,237
0,1,9,497,548,231
1,2,4,538,599,250
0,1,7,479,521,207
1,2,5,546,610,259
0,1,6,458,520,202
1,2,6,555,627,263
0,1,5,459,509,211
1,2,8,574,653,280
0,1,3,434,485,185
1,2,9,586,660,282
0,1,2,421,465,179
1,4,1,709,799,273
0,3,10,699,799,275
1,4,10,1842,2132,700
0,3,1,617,709,286
1,4,9,1831,2121,675
0,3,2,639,734,302
1,4,8,1807,2070,658
0,3,3,653,751,304
1,4,7,1774,2040,635
0,3,4,668,763,307
1,4,5,758,876,303
0,3,6,686,779,314
1,4,4,746,853,289
0,3,7,697,808,306
1,4,3,724,837,280
0,3,8,688,785,304
1,4,2,715,812,301
0,3,9,704,794,292
1,6,10,1064,1256,498
0,5,1,1890,2199,692
1,6,1,837,979,364
0,5,2,1958,2253,759
1,6,2,858,988,371
0,5,3,1948,2276,782
1,6,3,881,1025,375
0,5,4,1994,2318,816
1,6,4,905,1063,432
0,5,5,2061,2369,844
1,6,5,934,1104,453
0,5,6,2056,2423,830
1,6,6,968,1131,460
0,5,7,2102,2457,853
1,6,7,983,1137,475
0,5,8,2121,2470,852
1,6,8,1013,1178,496
0,5,9,798,922,315
1,6,9,1034,1211,494
0,5,10,816,949,339
1,8,1,1355,1613,525
0,7,10,1317,1557,524
1,8,9,1588,1873,559
0,7,2,1102,1314,519
1,8,8,1567,1831,570
0,7,3,1145,1346,516
1,8,7,1549,1807,549
0,7,4,1173,1385,531
1,8,6,1516,1780,538
0,7,5,1216,1416,573
1,8,5,1485,1756,519
0,7,6,1229,1436,551
1,8,4,1452,1759,510
0,7,7,1242,1462,538
1,8,3,1402,1690,526
0,7,8,1267,1493,532
1,8,2,1371,1642,519
0,7,9,1295,1516,558
1,8,10,1631,1897,584
0,9,1,1650,1910,611
1,4,6,779,897,322
0,9,10,2237,2618,824
1,2,7,574,642,264
0,9,9,2235,2639,801
1,2,3,529,591,206
0,9,8,2225,2620,830
1,2,1,516,574,234
0,9,7,2206,2580,870
1,2,10,602,694,292
0,9,6,2164,2545,860
0,9,5,2145,2521,833
0,9,4,1752,2018,619
0,9,3,1722,1976,603
0,9,2,1685,1943,597
0,7,1,1101,1290,526
0,3,5,679,766,317
0,1,4,448,493,192
0,1,8,487,540,214
0,1,10,510,558,229
0,1,1,415,451,180
