"seqid","t","a","b"
"7","1","0.339052682","0.292714508"
"6","1","0.527573976","0.172459439"
"7","2","0.738307545","0.771392353"
"6","2","0.903145119","0.532716439"
"7","3","0.418036385","0.640725491"
"6","3","0.16201049","0.98174205"
"7","4","0.763092307","0.885448327"
"6","4","0.457515934","0.148844208"
"7","5","0.374116981","0.339659102"
"6","5","0.896542868","0.478524534"
"7","6","0.779161901","0.879845181"
"6","6","0.143120292","0.989591577"
"7","7","0.326604127","0.413135842"
"6","7","0.423082943","0.133886301"
"7","8","0.731052694","0.932967041"
"6","8","0.913704665","0.456568557"
"7","9","0.38595567","0.203078628"
"6","9","0.223891053","0.949648141"
"7","10","0.83359802","0.642186085"
"6","10","0.566854586","0.17013295"
"4","1","0.619011541","0.284492058"
"9","1","0.800217036","0.57502817"
"4","2","0.769760338","0.800478117"
"9","2","0.404858859","0.873049999"
"4","3","0.39202567","0.657211882"
"9","3","0.810429043","0.362704003"
"4","4","0.723343551","0.838687845"
"9","4","0.462131963","0.817605087"
"4","5","0.401433452","0.483538607"
"9","5","0.863477642","0.506014762"
"4","6","0.773422916","0.974607436"
"9","6","0.350711135","0.939866728"
"4","7","0.328596117","0.188351813"
"9","7","0.818904503","0.341353033"
"4","8","0.738359886","0.561056472"
"9","8","0.54824255","0.784101116"
"4","9","0.45910903","0.927310745"
"9","9","0.83420078","0.57324348"
"4","10","0.704115243","0.251376632"
"9","10","0.412938838","0.904086031"
"5","1","0.074089851","0.277241731"
"10","1","0.503156674","0.794651776"
"5","2","0.258831161","0.713146229"
"10","2","0.823104545","0.580508316"
"5","3","0.719854288","0.703381955"
"10","3","0.384962518","0.811765075"
"5","4","0.65495765","0.75643731"
"10","4","0.801262489","0.419786857"
"5","5","0.717213333","0.653452725"
"10","5","0.528959665","0.884221499"
"5","6","0.590187071","0.852806653"
"10","6","0.806451655","0.400303835"
"5","7","0.751293211","0.521197443"
"10","7","0.489509185","0.862844416"
"5","8","0.532573348","0.944894832"
"10","8","0.775979763","0.410984145"
"5","9","0.787494958","0.267074668"
"10","9","0.483785551","0.89840286"
"5","10","0.580232047","0.701917839"
"10","10","0.812508422","0.406036663"
"3","1","0.813294227","0.789552227"
"3","2","0.247789031","0.549992501"
"3","3","0.653034899","0.864531662"
"3","4","0.651494608","0.369385507"
"3","5","0.777843342","0.876087603"
"3","6","0.425985619","0.441022345"
"3","7","0.823286572","0.88659478"
"3","8","0.178399529","0.315453296"
"3","9","0.559739421","0.792342386"
"3","10","0.793969139","0.608697646"
"1","1","0.439016523","0.844698604"
"1","2","0.79590473","0.416313404"
"1","3","0.457454911","0.80120226"
"1","4","0.83460391","0.462840003"
"1","5","0.453855618","0.866674285"
"1","6","0.847111468","0.420195438"
"1","7","0.464311363","0.840110673"
"1","8","0.854059164","0.474302962"
"1","9","0.440280147","0.863834294"
"1","10","0.809889391","0.425037187"
"8","1","0.826826764","0.457721159"
"8","2","0.404560346","0.855563073"
"8","3","0.815407496","0.443944584"
"8","4","0.419652617","0.829523395"
"8","5","0.814632139","0.436931696"
"8","6","0.397005948","0.848708479"
"8","7","0.831586574","0.450540587"
"8","8","0.434835057","0.821847374"
"8","9","0.861501602","0.474889304"
"8","10","0.392054631","0.887786951"
"2","1","0.773946283","0.63958518"
"2","2","0.508680994","0.850617675"
"2","3","0.750728196","0.470450144"
"2","4","0.540436923","0.922579815"
"2","5","0.715174581","0.304822134"
"2","6","0.643438941","0.745301932"
"2","7","0.672572853","0.649334765"
"2","8","0.660591704","0.840521688"
"2","9","0.593076182","0.460338301"
"2","10","0.766623465","0.940756652"
