"id","period","expenditure","income","investment"
5,1,1890,2199,692
9,1,1650,1910,611
7,1,1101,1290,526
6,1,837,979,364
5,2,1958,2253,759
9,2,1685,1943,597
7,2,1102,1314,519
6,2,858,988,371
5,3,1948,2276,782
9,3,1722,1976,603
7,3,1145,1346,516
6,3,881,1025,375
5,4,1994,2318,816
9,4,1752,2018,619
7,4,1173,1385,531
6,4,905,1063,432
5,5,2061,2369,844
9,5,2145,2521,833
7,5,1216,1416,573
6,5,934,1104,453
5,6,2056,2423,830
9,6,2164,2545,860
7,6,1229,1436,551
6,6,968,1131,460
5,7,2102,2457,853
9,7,2206,2580,870
7,7,1242,1462,538
6,7,983,1137,475
5,8,2121,2470,852
9,8,2225,2620,830
7,8,1267,1493,532
6,8,1013,1178,496
5,9,798,922,315
9,9,2235,2639,801
7,9,1295,1516,558
6,9,1034,1211,494
5,10,816,949,339
9,10,2237,2618,824
7,10,1317,1557,524
6,10,1064,1256,498
3,1,617,709,286
4,1,709,799,273
3,2,639,734,302
4,2,715,812,301
3,3,653,751,304
4,3,724,837,280
3,4,668,763,307
4,4,746,853,289
3,5,679,766,317
4,5,758,876,303
3,6,686,779,314
4,6,779,897,322
3,7,697,808,306
4,7,1774,2040,635
3,8,688,785,304
4,8,1807,2070,658
3,9,704,794,292
4,9,1831,2121,675
3,10,699,799,275
4,10,1842,2132,700
1,1,415,451,180
1,2,421,465,179
1,3,434,485,185
1,4,448,493,192
1,5,459,509,211
1,6,458,520,202
1,7,479,521,207
1,8,487,540,214
1,9,497,548,231
1,10,510,558,229
8,1,1355,1613,525
8,2,1371,1642,519
8,3,1402,1690,526
8,4,1452,1759,510
8,5,1485,1756,519
8,6,1516,1780,538
8,7,1549,1807,549
8,8,1567,1831,570
8,9,1588,1873,559
8,10,1631,1897,584
2,1,516,574,234
2,2,525,583,237
2,3,529,591,206
2,4,538,599,250
2,5,546,610,259
2,6,555,627,263
2,7,574,642,264
2,8,574,653,280
2,9,586,660,282
2,10,602,694,292
