"model","action","path_id","path_max","id","product"
1,"call_complaint",1,4,1,"brokerage"
1,"call_complaint",2,4,1,"brokerage"
1,"fee_reversal",3,4,1,"brokerage"
1,"balance_transfer",4,4,1,"brokerage"
1,"account_booked_online",1,4,2,"credit card"
1,"fee_reversal",2,4,2,"credit card"
1,"link_external_account",3,4,2,"credit card"
1,"balance_transfer",4,4,2,"credit card"
1,"starts_application",1,5,3,"cd"
1,"mortgage_calc",2,5,3,"cd"
1,"compare",3,5,3,"cd"
1,"browse",4,5,3,"cd"
1,"complete_application",5,5,3,"cd"
