"model","state","observed","probability"
1,"t","balance_transfer",0.238
1,"t","fee_reversal",0.221
1,"t","loan_calc",0.006
1,"t","referral",0.001
1,"t","account_booked_offline",0.027
1,"t","complete_application",0.028
1,"t","mortgage_calc",0.002
1,"t","starts_application",0.013
1,"t","add_direct_deposit",0
1,"t","click",0
1,"t","compare",0.033
1,"t","browse",0.016
1,"t","account_booked_online",0.074
1,"t","olb",0.002
1,"t","link_external_account",0.106
1,"t","enroll_auto_savings",0
1,"t","call_complaint",0.233
1,"f","balance_transfer",0
1,"f","fee_reversal",0
1,"f","loan_calc",0.024
1,"f","referral",0.003
1,"f","account_booked_offline",0.005
1,"f","complete_application",0.06
1,"f","mortgage_calc",0.011
1,"f","starts_application",0.167
1,"f","add_direct_deposit",0.001
1,"f","click",0.003
1,"f","compare",0.113
1,"f","browse",0.545
1,"f","account_booked_online",0.028
1,"f","olb",0.039
1,"f","link_external_account",0
1,"f","enroll_auto_savings",0.001
1,"f","call_complaint",0
