"from_id","to_id"
3201,1239
3283,1022
1264,1101
3018,2076
3058,1306
3283,1222
1264,1129
3262,2160
3058,2044
4139,2106
2263,1083
4200,3129
3058,2155
3241,3123
2120,1119
4200,1072
3058,1311
1161,1035
2120,2091
4200,1172
3323,1253
1161,1080
2120,1196
4200,4015
3323,1334
2057,3195
2181,1216
1243,1312
3323,2167
2057,1054
2181,1301
1243,3209
3323,3119
4034,3091
4036,3224
3119,1253
3180,1002
2076,2004
2221,2053
2038,1290
3180,1093
3279,3134
3077,2135
4179,1086
3180,2287
2259,2128
3117,1233
4179,3033
3180,3091
3258,1188
4238,1302
4240,1166
3180,1301
1178,1177
2158,1327
4240,1335
3180,3122
3115,1286
4013,3261
4240,4091
1222,3283
3115,2048
4013,1001
3016,2198
3178,2258
4175,2102
4013,2266
4156,3311
4095,1095
2257,1031
3197,2297
3136,2156
4095,2209
2257,1166
2238,1169
2055,1073
3218,1150
3275,1032
2238,1194
2055,1145
3075,1046
3275,1142
4011,2165
4196,1119
3075,1287
3275,2138
4011,1102
4196,3075
3075,2182
1195,1046
1319,1166
4196,4094
4074,1095
4213,4004
4133,2286
4196,2182
4074,2123
4213,4173
2175,2138
4196,3324
4074,2209
4213,1321
4091,1002
2177,1310
4074,2277
4192,1312
4091,1166
2177,1124
4074,3199
4192,2250
4091,2178
3033,1286
4074,1062
4049,2147
4091,3246
3033,1086
4257,1057
4049,2293
2276,1288
3033,2305
3195,2057
4049,4048
1134,1001
3012,1224
3195,1054
2091,1119
1134,1054
3277,3028
3256,2147
2091,1196
3132,2252
3277,4267
2032,1103
2091,1214
3254,1161
3073,1334
2032,1086
3294,2006
3254,1332
3073,1106
3235,1260
2131,2007
3254,3233
3073,1313
1155,1046
4190,3022
3172,3068
3073,1321
4009,1287
4190,3033
4110,4107
3317,1177
2234,2235
4190,4065
4171,1306
3317,3105
2234,1088
3048,2155
4171,3121
3317,1178
2234,1170
3170,2022
4171,3139
4255,3119
2234,2116
3170,2232
3212,2149
3174,1033
3273,1123
4230,3279
3212,2064
4173,4004
4129,2199
4230,4024
3212,2096
4173,4213
4129,3051
4087,1286
3212,2108
4173,1170
1172,4210
4209,3028
3212,2186
4173,2216
3231,3220
4127,1249
2253,1175
4173,2260
4169,1002
4127,3081
2253,2033
3071,1027
4169,4028
4127,3187
3252,3068
3315,2143
4169,3154
4127,3221
3252,3172
3111,1087
2089,2234
4127,3315
3109,1286
3111,2181
3271,2259
4249,3219
2293,1101
3111,2239
3107,3032
3168,3169
2293,1009
3111,1274
3107,2250
3208,2060
3149,3055
3111,1301
4024,3025
2127,1293
3149,3160
3111,2048
4146,3016
4247,2116
3210,2147
3111,2050
4146,2198
4247,2234
3210,2064
3111,2272
2066,2058
4247,3200
4005,2042
1296,2147
4207,1043
4247,4186
4005,3091
3029,1087
4207,1095
1248,1166
2190,2137
3029,1058
4207,1318
2186,1101
4066,2303
3029,1216
4207,2209
2186,2063
2047,1008
3029,1274
4207,2277
2186,2064
4188,1311
3029,2050
4207,3327
2186,2108
2108,1129
3029,2272
4207,4095
4245,3238
2108,1124
4211,2156
2249,1212
3225,4115
2108,2064
4211,2240
2249,2082
3225,3174
3147,2300
4007,1297
3248,3246
4264,1280
3004,1268
2232,1002
2064,1101
4264,1003
4003,1154
2232,1172
2064,2063
2041,1253
3187,3081
2272,2239
4205,1002
2041,1166
4043,4028
2272,1216
4205,1019
3101,3058
4043,1005
2272,1274
3328,2229
3101,1311
4043,1019
2272,2050
3328,3089
2224,2049
4043,1309
3189,2264
3185,1095
2224,2183
4043,3138
2209,1095
3185,2209
2224,2178
3227,2171
2209,2123
3185,2277
4262,2089
4083,1069
2209,1104
1227,1312
4262,4139
4083,1128
4085,2149
1227,2250
4262,3188
4083,2152
4085,2108
4041,1008
2182,3075
2003,1162
4085,3184
4041,2198
2182,1046
4123,2053
2045,1052
3286,2128
4119,2036
4123,2109
3166,2197
2123,1095
4119,3275
4123,3219
4226,3118
2123,1318
4159,1284
3021,2074
4226,3258
2123,2209
4159,4039
4020,3058
3084,3007
2123,1104
2079,2049
2245,1086
4022,2198
3326,2097
1303,1043
2245,1172
4001,2245
4182,2297
1303,1123
2102,1115
4266,2286
3040,3039
2241,1189
3284,3085
4062,1215
1225,1072
2241,1038
3284,3149
4062,2259
1204,1073
1160,1005
3284,3161
4062,1250
4222,1101
4035,2004
3284,3219
1309,1121
4222,2293
4035,1122
3202,3151
1309,1203
4222,1023
4035,1301
3324,1272
2247,1193
4222,3250
3158,2200
4098,2089
3246,1002
4201,2211
4014,3070
4098,1174
2165,1102
4201,3261
2199,1124
4098,3086
2022,3170
4201,1001
1057,1003
3179,2065
2287,1002
4241,1107
1322,1304
3219,2109
3143,2033
4241,1312
1322,4026
3219,2147
3122,2012
3160,3149
4197,1310
3219,3149
3122,1274
3017,1171
4197,2177
3219,3161
3122,2050
3057,1269
3278,1179
3219,3055
3122,2272
3322,3212
3278,3028
4115,2147
1307,1259
4056,1142
3135,1090
4115,2293
4100,2147
2159,1306
1320,1166
4115,3163
4018,3032
4096,3066
3318,1059
4115,2264
4018,3107
2281,1327
2237,1191
4176,2008
4018,1327
4136,4055
2277,1043
2157,1046
2264,2147
2178,2049
2277,1318
2157,1287
2264,2003
2178,1166
2277,2209
2075,1312
2039,1002
2178,1335
2277,1303
2075,2250
2039,1267
3177,3100
4214,1083
4216,3167
1080,1035
1280,1003
4214,2199
3196,2192
3221,1175
2197,1292
4214,4091
1299,1244
3221,1286
3053,1151
2134,2066
3032,3107
3221,2033
2033,1175
4071,1142
3032,2250
3221,2035
3093,3040
2296,2141
2155,1293
3221,3033
3093,3041
4029,1035
4153,1273
3261,1001
3215,1095
4029,1080
1196,1119
3261,1192
3215,2209
4029,1120
4010,2167
3301,2293
3215,1104
4090,3007
4010,3238
4157,1150
1318,1104
3171,2297
2195,4059
4157,3218
2214,1333
3211,1127
2052,1074
2077,3142
4151,3301
3190,2181
4193,3163
3198,1093
4008,1157
3190,1098
4233,2229
3198,2287
2193,2193
3190,1216
4233,3207
2117,2036
2193,1013
3190,1301
4233,3328
1301,1098
3232,1093
3190,2090
4233,4086
3238,1151
3232,2089
1110,1092
4130,2199
3238,1253
3232,2287
3047,1233
4130,2223
3238,2216
3232,1174
3047,1148
2050,1087
3238,3142
3232,1301
4107,3212
2050,1274
1076,1046
3232,3122
4107,4110
3314,2143
3013,1027
3232,3180
2292,2060
2172,1166
3013,2282
3232,3198
4229,1218
4170,4101
2258,1002
1152,4015
4229,2110
4170,4110
2258,1080
3089,3328
4229,4212
4231,3311
2258,1194
1335,1083
4086,3328
4231,4156
2258,2033
1335,1166
2006,1304
3129,2297
3114,1243
3272,2253
2006,1048
3129,1172
3114,1244
4006,2011
3045,2004
3312,4086
3114,1299
4271,3269
3045,1182
3312,2001
3236,2245
2191,1002
3045,2076
4208,2149
3236,1172
2252,1215
3228,2232
4208,2064
3236,3186
2252,4062
3085,2135
4208,2186
4092,1037
3148,3125
3207,2049
4208,3184
4092,2258
3270,2285
3207,2229
4208,4085
4132,3254
4004,1170
3207,2224
2250,1312
4050,2285
1312,2250
4145,1098
3249,2022
2235,2234
3310,2260
4124,1002
3249,3181
4172,3100
4044,4014
4124,1115
3249,2178
4212,3185
4044,1268
4124,3246
3249,3170
3192,2234
2229,2009
4246,3087
4248,3159
3253,2259
1209,1189
2063,1101
4248,3033
4048,2147
4023,1006
2063,2064
4248,3154
4048,4049
4023,2301
4244,3328
2168,1101
3293,1185
2208,2141
1287,1046
2168,1310
3293,2098
2065,2204
2021,1098
2168,2063
4088,3068
2248,1306
2183,2049
2168,2064
2273,2239
2248,2246
4181,1175
2168,2150
2273,2272
3165,2166
4181,2253
1331,1005
2069,1250
3022,1002
4181,2033
3064,3033
4210,2245
4021,3006
3222,1249
4002,2295
4210,1172
3144,2276
3222,3081
4185,2116
4210,3154
3327,2123
3222,1086
3104,2167
4210,4200
3327,2209
4042,2272
2109,2073
3327,3199
2227,1106
4250,2145
3327,1104
3001,1184
3169,3168
4183,3087
3001,2252
3291,3292
3163,1101
3266,1045
2149,1264
3163,2064
2185,1263
3209,1123
3163,2186
3123,2166
3209,1243
2286,1073
3123,2204
3209,1312
2286,2262
3123,4186
3209,2228
3203,2071
3184,2149
1129,1101
4059,2195
3184,2064
3066,2242
4059,3203
3184,2108
4065,1302
3184,2246
4065,4190
3184,4208
4105,3149
3306,1061
4105,1264
3306,1320
2147,1124
3306,3152
3003,1268
1226,1103
4267,3028
4223,1322
3186,2245
4223,2006
3186,1005
4223,3294
3186,1019
3081,1249
4103,1269
2265,2207
4103,2116
2265,1256
4204,2063
2122,1253
1308,1232
4263,2077
3224,2171
4263,3142
3020,1134
3304,2228
3060,3001
2162,1203
4120,3321
2162,1308
4242,3291
2223,1160
4242,3292
3161,1101
4160,1208
3161,2147
3161,3038
3161,1124
3161,2186
