"doc_id","token","frequency","location"
"7","please","1","33"
"6","pedal","1","20"
"7","not","1","28"
"6","off","1","38"
"7","air","1","25"
"6","come","1","37"
"7","5-10","1","2"
"6","brakes","1","19"
"7","bags","1","26"
"6","grind","1","9"
"7","frontal","1","9"
"6","could","1","36"
"7","other","1","14"
"6","wheele","1","35"
"7","damages","1","18"
"6","applying","1","17"
"7","no","1","17"
"6","vehicle-","1","34"
"7","passenger's","1","24"
"6","drive","1","33"
"7","information","1","36"
"6","also","1","15"
"7","driving","1","0"
"6","metal","1","7"
"7","deploy","1","29"
"6","hubs","1","3"
"7","did","1","27"
"6","not","1","31"
"7","provide","1","34"
"6","midas","1","30"
"7","mph","1","3"
"6","turn","1","14"
"7","upon","1","19"
"6","by","1","29"
"7","driver's","1","21"
"6","advised","1","28"
"7","impact","2","10,20"
"6","right","1","13"
"7","resulting","1","30"
"6","causing","1","5"
"7","vehicle","2","5,15"
"6","unknown","1","26"
"7","which","1","12"
"6","cause","1","25"
"7","about","1","1"
"6","making","1","11"
"7","low","1","8"
"6","floor","1","24"
"7","injuries","1","32"
"6","goes","1","21"
"7","had","2","6,16"
"6","when","2","10,16"
"7","vin#","1","38"
"6","cracked","1","4"
"7","further","1","35"
"6","bearing","1","1"
"4","noise","1","4"
"6","wheel","1","0"
"4","knocking","1","3"
"9","stop","1","30"
"4","there","1","0"
"9","of","1","17"
"4","steering","1","20"
"9","started","1","25"
"4","problem","1","17"
"9","upon","1","35"
"4","has","1","16"
"9","car","2","7,13"
"4","also","1","15"
"9","when","1","4"
"4","vehicle","1","12"
"9","going","1","9"
"4","converter","1","9"
"9","couldn't","1","29"
"4","stalling","1","14"
"9","impact","1","36"
"4","catalyitc","1","8"
"9","resulting","1","31"
"4","from","1","6"
"9","airbags","1","37"
"4","coming","1","5"
"9","west","1","3"
"5","vehicle","3","15,35,38"
"9","other","3","6,12,22"
"5","upon","1","16"
"9","turned","1","14"
"5","airbags","1","19"
"9","consumer","2","0,20"
"5","impact","1","17"
"9","vehicle","2","19,23"
"5","all","1","24"
"9","consumer's","1","18"
"5","making","1","2"
"9","around","1","28"
"5","hit","1","13"
"9","crash","1","34"
"5","done","1","27"
"9","driving","1","2"
"5","dual","1","18"
"9","deploy","1","39"
"5","5-","1","8"
"9","didn't","1","38"
"5","at","1","6"
"9","east","1","10"
"5","mph","1","10"
"9","front","1","16"
"5","approx","1","7"
"9","hit","1","21"
"5","when","1","11"
"9","spin","1","27"
"5","driving","1","5"
"10","made","1","8"
"5","turn","1","4"
"10","mph","1","4"
"5",,"1","23"
"10","driving","1","1"
"5","engine","1","29"
"10","while","1","0"
"5","front","1","33"
"10","about","1","2"
"5","of","1","34"
"10","transmisison","1","7"
"5","total","1","41"
"10","strange","1","10"
"5","loss","1","42"
"10","axle","1","16"
"5","consumer","2","0,12"
"10","repaired","1","22"
"5","considered","1","39"
"10","dealer","1","20"
"5","deploy","1","22"
"10","up","1","18"
"5","transmissionto","1","31"
"10","locked","1","17"
"5","from","1","28"
"10","front","1","15"
"5","another","1","14"
"10","65","1","3"
"5","10","1","9"
"10","has","1","21"
"5","did","1","20"
"10","vehicle","1","24"
"5","not","1","21"
"10","left","1","14"
"5","damage","1","25"
"10","noise","1","11"
"3","gas","2","5,17"
"3","around","1","15"
"3","that","1","13"
"3","rubber","1","12"
"3","due","1","9"
"3","stuck","1","8"
"3","got","1","7"
"3","pedal","2","6,18"
"3","mph","1","4"
"3","60","1","3"
"3","at","1","2"
"3","while","1","0"
"3","driving","1","1"
"1","times","1","28"
"1","cannot","1","33"
"1","problem","1","39"
"1","what","1","35"
"1","determine","1","34"
"1","occurring","1","32"
"1","still","1","31"
"1","defect","1","30"
"1","4","1","27"
"1","replaced","1","26"
"1","starter","1","23"
"1","alternator/","1","20"
"1","change","1","19"
"1","had","1","17"
"1","battery","1","21"
"1","consumer","1","16"
"1","inoperative","1","15"
"1","totally","1","14"
"1","become","1","13"
"1","engine","1","11"
"1","stall","1","10"
"1","vehicle","1","8"
"1","causing","2","6,37"
"1","out","1","5"
"1","shortening","1","4"
"1","module","2","2,25"
"1","control","1","1"
"1","electrical","1","0"
"8","were","1","12"
"8","inoperativethey","1","11"
"8","are","1","10"
"8","indicating","1","8"
"8","airbags","1","9"
"8","on","1","7"
"8","come","1","6"
"8","has","2","5,20"
"8","light","1","4"
"8","warning","1","3"
"8","bag","1","2"
"8","air","1","1"
"8","reoccurred","1","21"
"8","fixed","1","13"
"8","problem","1","19"
"8","time","1","17"
"8","at","1","15"
"8","one","1","14"
"2","notified","1","21"
"2","manufacturer","1","20"
"2","impact","1","19"
"2","mph","1","18"
"2","28","1","17"
"2","approx","1","16"
"2","at","1","15"
"2","crash","1","14"
"2","during","1","12"
"2","deploy","1","11"
"2","failed","1","9"
"2","bags","1","8"
"2","air","1","7"
"2","properly","1","5"
"2","operate","1","4"
"2","fail","1","2"
"2","brakes","1","1"
"2","abs","1","0"
