"doc_id","category","token","frequency","location"
"7","no_crash","by","1","25"
"19","no_crash","manufacturer","1","7"
"7","no_crash","turn","1","23"
"19","no_crash","notified","1","10"
"7","no_crash","have","1","12"
"19","no_crash","frame","1","3"
"7","no_crash","turned","1","3"
"19","no_crash","be","1","9"
"7","no_crash","properly","1","10"
"19","no_crash","from","1","5"
"7","no_crash","when","1","0"
"19","no_crash","separated","1","4"
"7","no_crash","switch","2","1,15"
"19","no_crash","vehicle","1","6"
"7","no_crash","move","1","20"
"19","no_crash","motor","1","0"
"7","no_crash","themselves","1","26"
"15","no_crash","defect","1","30"
"7","no_crash","work","1","9"
"15","no_crash","causing","2","6,37"
"7","no_crash","do","1","22"
"15","no_crash","4","1","27"
"7","no_crash","would","3","7,11,19"
"15","no_crash","module","2","2,25"
"7","no_crash","wipers","3","6,18,21"
"15","no_crash","change","1","19"
"7","no_crash","&","1","16"
"15","no_crash","shortening","1","4"
"7","no_crash","recall","1","27"
"15","no_crash","become","1","13"
"7","no_crash","off/on","1","24"
"15","no_crash","engine","1","11"
"7","no_crash","97v017000","1","28"
"15","no_crash","control","1","1"
"7","no_crash","jiggle","1","14"
"15","no_crash","replaced","1","26"
"7","no_crash","then","1","17"
"15","no_crash","alternator/","1","20"
"7","no_crash","not","1","8"
"15","no_crash","had","1","17"
"7","no_crash","on","1","4"
"15","no_crash","electrical","1","0"
"7","no_crash","windshield","1","5"
"15","no_crash","totally","1","14"
"12","crash","driver's","1","10"
"15","no_crash","inoperative","1","15"
"12","crash","70mph","1","7"
"15","no_crash","battery","1","21"
"12","crash","65","1","5"
"15","no_crash","starter","1","23"
"12","crash","neither","1","9"
"15","no_crash","consumer","1","16"
"12","crash","at","1","4"
"15","no_crash","cannot","1","33"
"12","crash","another","1","2"
"15","no_crash","out","1","5"
"12","crash","ended","1","1"
"15","no_crash","vehicle","1","8"
"12","crash","rear","1","0"
"15","no_crash","determine","1","34"
"12","crash","vehicle","2","3,19"
"15","no_crash","problem","1","39"
"12","crash","has","1","18"
"15","no_crash","what","1","35"
"12","crash","dealer","1","17"
"15","no_crash","stall","1","10"
"12","crash","deployed","1","16"
"15","no_crash","still","1","31"
"12","crash","airbags","1","15"
"15","no_crash","times","1","28"
"12","crash","passenger's","1","13"
"15","no_crash","occurring","1","32"
"12","crash","or","1","12"
"14","no_crash","manufacturer","1","19"
"12","crash","side","2","11,14"
"14","no_crash","notified","1","22"
"4","no_crash","been","1","40"
"14","no_crash","has","1","20"
"4","no_crash","has","1","39"
"14","no_crash","dealer","1","16"
"4","no_crash","hitting","1","33"
"14","no_crash",,"1","14"
"4","no_crash","that","1","29"
"14","no_crash","on","1","13"
"4","no_crash","owner","1","28"
"14","no_crash","stayed","1","12"
"4","no_crash","informed","1","26"
"14","no_crash","light","1","11"
"4","no_crash","reinspected","1","23"
"14","no_crash","airbag","1","10"
"4","no_crash","manufacturer","1","38"
"14","no_crash","switch","1","8"
"4","no_crash","dealer","2","20,22"
"14","no_crash","ignition","1","7"
"4","no_crash","driveshaft","1","31"
"14","no_crash","99v029000","1","6"
"4","no_crash","back","1","18"
"14","no_crash","recall","1","5"
"4","no_crash","vehicle","2","17,24"
"14","no_crash","under","1","4"
"4","no_crash","took","1","16"
"14","no_crash","been","1","21"
"4","no_crash","consumer","1","15"
"14","no_crash","repaired","1","3"
"4","no_crash","intermittently","1","14"
"14","no_crash","vehicle","1","1"
"4","no_crash","heard","1","13"
"14","no_crash","after","1","0"
"4","no_crash","noise","1","11"
"6","no_crash","stalled","1","12"
"4","no_crash","completed","1","10"
"6","no_crash","vehicle","2","11,31"
"4","no_crash","work","1","8"
"6","no_crash","coil","1","9"
"4","no_crash","after","1","6"
"6","no_crash","burned","1","7"
"4","no_crash","recall","1","5"
"6","no_crash","which","2","6,14"
"4","no_crash","under","1","4"
"6","no_crash","cable","1","5"
"4","no_crash","repaired","1","3"
"6","no_crash","ignition","1","4"
"4","no_crash","case","2","1,36"
"6","no_crash","defective","1","3"
"4","no_crash","transfer","2","0,35"
"6","no_crash","due","1","0"
"4","no_crash","notfied","1","41"
"6","no_crash","information","1","37"
"5","no_crash","manufacturer","1","57"
"6","no_crash","further","1","36"
"5","no_crash","work","1","50"
"6","no_crash","provide","1","35"
"5","no_crash","over","1","13"
"6","no_crash","please","1","34"
"5","no_crash","fail","1","48"
"6","no_crash","up","1","33"
"5","no_crash","&","2","21,27"
"6","no_crash","tune","1","32"
"5","no_crash","almost","1","33"
"6","no_crash","performed","1","30"
"5","no_crash","speeds","1","42"
"6","no_crash","controlcable","1","28"
"5","no_crash","blew","1","34"
"6","no_crash","belts/speed","1","27"
"5","no_crash","increasedit","1","46"
"6","no_crash","drive","1","26"
"5","no_crash","stuck","1","26"
"6","no_crash","r&r","1","25"
"5","no_crash","it's","1","29"
"6","no_crash","replaced","1","23"
"5","no_crash","dealership","1","20"
"6","no_crash","dealer","1","22"
"5","no_crash","up","1","35"
"6","no_crash","also","1","21"
"5","no_crash","had","1","16"
"6","no_crash","crash","1","20"
"5","no_crash","factory","1","31"
"6","no_crash","resulted","1","17"
"5","no_crash","defect","1","32"
"6","no_crash","have","1","16"
"5","no_crash","thousand","1","15"
"6","no_crash","could","1","15"
"5","no_crash","rpms","1","10"
"6","no_crash","unexpectedly","1","13"
"5","no_crash","be","1","12"
"17","crash","impact","1","24"
"5","no_crash","accurate","1","41"
"17","crash","driver","1","30"
"5","no_crash","informed","1","23"
"17","crash","not","4","6,28,34,40"
"5","no_crash","if","1","43"
"17","crash","another","1","10"
"5","no_crash","also","1","36"
"17","crash","approximately","1","13"
"5","no_crash","start","1","2"
"17","crash","bags","2","26,38"
"5","no_crash","by","1","56"
"17","crash","airbags","1","4"
"5","no_crash","not","1","39"
"17","crash","deploy","3","7,29,41"
"5","no_crash","checked","1","18"
"17","crash","mph","1","18"
"5","no_crash","mechanic","1","55"
"17","crash","upon","1","23"
"5","no_crash","at","1","19"
"17","crash","two","1","1"
"5","no_crash","speedometer","1","37"
"17","crash","consumer","1","8"
"5","no_crash","3","1","14"
"17","crash","vehicle","1","11"
"5","no_crash","does","1","38"
"17","crash","50","1","14"
"5","no_crash","would","3","1,11,47"
"17","crash","occasions","1","2"
"5","no_crash","transmission","2","0,24"
"17","crash","mphand","1","15"
"5","no_crash","10mph","1","8"
"17","crash","truck","1","21"
"5","no_crash","just","1","7"
"17","crash","80","1","17"
"5","no_crash","speed","1","44"
"17","crash","air","2","25,37"
"5","no_crash","keep","1","40"
"17","crash","why","1","36"
"5","no_crash","slip","1","4"
"17","crash","injuriesdealer","1","32"
"5","no_crash","traveling","1","6"
"17","crash","hit","1","19"
"5","no_crash","when","1","5"
"17","crash","on","1","0"
