"compid","price","speed","hd","ram","screen","expected_compcategory","predicted_compcategory"
"469","2599.0","50.0","405.0","8.0","14.0","mega","mega"
"265","1899.0","50.0","120.0","4.0","14.0","super","super"
"40","2425.0","50.0","210.0","8.0","14.0","mega","mega"
"387","1790.0","50.0","85.0","2.0","14.0","super","super"
"469","2599.0","50.0","405.0","8.0","14.0","mega","mega"
"265","1899.0","50.0","120.0","4.0","14.0","super","super"
"40","2425.0","50.0","210.0","8.0","14.0","mega","mega"
"387","1790.0","50.0","85.0","2.0","14.0","super","super"
"61","3990.0","66.0","330.0","8.0","15.0","uber","uber"
"530","2575.0","50.0","250.0","8.0","15.0","mega","mega"
"223","2199.0","50.0","213.0","8.0","14.0","super","super"
"448","1590.0","33.0","107.0","2.0","15.0","special","special"
"61","3990.0","66.0","330.0","8.0","15.0","uber","uber"
"530","2575.0","50.0","250.0","8.0","15.0","mega","mega"
"223","2199.0","50.0","213.0","8.0","14.0","super","super"
"448","1590.0","33.0","107.0","2.0","15.0","special","special"
"183","1899.0","25.0","120.0","4.0","14.0","super","super"
"244","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"488","2599.0","50.0","405.0","4.0","15.0","mega","mega"
"19","2095.0","33.0","250.0","4.0","15.0","super","super"
"183","1899.0","25.0","120.0","4.0","14.0","super","super"
"244","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"488","2599.0","50.0","405.0","4.0","15.0","mega","mega"
"19","2095.0","33.0","250.0","4.0","15.0","super","super"
"509","2690.0","50.0","340.0","8.0","14.0","mega","mega"
"305","2590.0","50.0","245.0","8.0","14.0","mega","mega"
"80","1629.0","25.0","80.0","8.0","14.0","special","special"
"263","2535.0","33.0","170.0","8.0","15.0","mega","mega"
"509","2690.0","50.0","340.0","8.0","14.0","mega","mega"
"305","2590.0","50.0","245.0","8.0","14.0","mega","mega"
"80","1629.0","25.0","80.0","8.0","14.0","special","special"
"263","2535.0","33.0","170.0","8.0","15.0","mega","mega"
"366","1599.0","25.0","170.0","4.0","14.0","special","special"
"101","1995.0","33.0","250.0","4.0","14.0","super","super"
"345","2345.0","33.0","250.0","8.0","15.0","mega","mega"
"303","1895.0","33.0","170.0","4.0","14.0","super","super"
"366","1599.0","25.0","170.0","4.0","14.0","special","special"
"101","1995.0","33.0","250.0","4.0","14.0","super","super"
"345","2345.0","33.0","250.0","8.0","15.0","mega","mega"
"303","1895.0","33.0","170.0","4.0","14.0","super","super"
"202","2785.0","33.0","250.0","8.0","17.0","hyper","uber"
"570","2290.0","25.0","340.0","8.0","14.0","mega","mega"
"406","2190.0","33.0","214.0","4.0","15.0","super","super"
"99","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"202","2785.0","33.0","250.0","8.0","17.0","hyper","uber"
"570","2290.0","25.0","340.0","8.0","14.0","mega","mega"
"406","2190.0","33.0","214.0","4.0","15.0","super","super"
"99","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"467","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"427","2890.0","33.0","452.0","16.0","15.0","hyper","hyper"
"120","2799.0","33.0","230.0","4.0","14.0","hyper","hyper"
"568","1390.0","25.0","107.0","2.0","15.0","special","special"
"467","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"427","2890.0","33.0","452.0","16.0","15.0","hyper","hyper"
"120","2799.0","33.0","230.0","4.0","14.0","hyper","hyper"
"568","1390.0","25.0","107.0","2.0","15.0","special","special"
"181","2195.0","50.0","170.0","4.0","14.0","super","super"
"284","1795.0","33.0","170.0","4.0","15.0","super","super"
"446","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"160","3399.0","66.0","230.0","4.0","15.0","hyper","hyper"
"181","2195.0","50.0","170.0","4.0","14.0","super","super"
"284","1795.0","33.0","170.0","4.0","15.0","super","super"
"446","2599.0","33.0","245.0","16.0","15.0","mega","mega"
"160","3399.0","66.0","230.0","4.0","15.0","hyper","hyper"
"242","1895.0","25.0","130.0","4.0","14.0","super","super"
"549","1825.0","50.0","170.0","4.0","14.0","super","super"
"343","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"465","1790.0","50.0","107.0","2.0","15.0","super","super"
"242","1895.0","25.0","130.0","4.0","14.0","super","super"
"549","1825.0","50.0","170.0","4.0","14.0","super","super"
"343","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"465","1790.0","50.0","107.0","2.0","15.0","super","super"
"507","2490.0","33.0","340.0","8.0","15.0","mega","mega"
"141","2225.0","33.0","250.0","8.0","14.0","super","super"
"200","3220.0","66.0","340.0","8.0","15.0","hyper","super"
"36","2675.0","66.0","210.0","4.0","15.0","mega","special"
"507","2490.0","33.0","340.0","8.0","15.0","mega","mega"
"141","2225.0","33.0","250.0","8.0","14.0","super","super"
"200","3220.0","66.0","340.0","8.0","15.0","hyper","super"
"36","2675.0","66.0","210.0","4.0","15.0","mega","special"
"364","3075.0","50.0","250.0","8.0","17.0","hyper","hyper"
"610","1890.0","66.0","107.0","2.0","14.0","super","super"
"57","2045.0","66.0","130.0","4.0","14.0","super","super"
"97","1999.0","33.0","170.0","4.0","14.0","super","super"
"364","3075.0","50.0","250.0","8.0","17.0","hyper","hyper"
"610","1890.0","66.0","107.0","2.0","14.0","super","super"
"57","2045.0","66.0","130.0","4.0","14.0","super","super"
"97","1999.0","33.0","170.0","4.0","14.0","super","super"
"221","2635.0","33.0","250.0","8.0","17.0","mega","mega"
"589","1825.0","33.0","170.0","4.0","15.0","super","special"
"118","2325.0","66.0","250.0","8.0","14.0","mega","mega"
"566","2190.0","33.0","214.0","4.0","14.0","super","super"
"221","2635.0","33.0","250.0","8.0","17.0","mega","mega"
"589","1825.0","33.0","170.0","4.0","15.0","super","special"
"118","2325.0","66.0","250.0","8.0","14.0","mega","mega"
"566","2190.0","33.0","214.0","4.0","14.0","super","super"
"486","2595.0","50.0","340.0","8.0","14.0","mega","mega"
"17","1595.0","33.0","85.0","2.0","14.0","special","super"
"383","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"362","2095.0","33.0","130.0","4.0","14.0","super","super"
"486","2595.0","50.0","340.0","8.0","14.0","mega","mega"
"17","1595.0","33.0","85.0","2.0","14.0","special","super"
"383","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"362","2095.0","33.0","130.0","4.0","14.0","super","super"
"78","3220.0","66.0","340.0","8.0","15.0","hyper","hyper"
"282","1995.0","33.0","250.0","4.0","14.0","super","super"
"505","3149.0","66.0","230.0","8.0","14.0","hyper","hyper"
"280","1795.0","66.0","85.0","2.0","14.0","super","mega"
"78","3220.0","66.0","340.0","8.0","15.0","hyper","hyper"
"282","1995.0","33.0","250.0","4.0","14.0","super","super"
"505","3149.0","66.0","230.0","8.0","14.0","hyper","hyper"
"280","1795.0","66.0","85.0","2.0","14.0","super","mega"
"547","2095.0","33.0","214.0","4.0","14.0","super","super"
"139","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"158","2195.0","33.0","170.0","8.0","15.0","super","super"
"137","2255.0","50.0","250.0","8.0","14.0","mega","mega"
"547","2095.0","33.0","214.0","4.0","14.0","super","super"
"139","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"158","2195.0","33.0","170.0","8.0","15.0","super","super"
"137","2255.0","50.0","250.0","8.0","14.0","mega","mega"
"219","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"404","2995.0","66.0","452.0","16.0","14.0","hyper","hyper"
"423","1895.0","25.0","214.0","4.0","14.0","super","super"
"606","1490.0","33.0","107.0","2.0","15.0","special","special"
"219","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"404","2995.0","66.0","452.0","16.0","14.0","hyper","hyper"
"423","1895.0","25.0","214.0","4.0","14.0","super","super"
"606","1490.0","33.0","107.0","2.0","15.0","special","special"
"76","2844.0","33.0","245.0","8.0","14.0","hyper","hyper"
"261","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"55","2199.0","33.0","212.0","8.0","14.0","super","super"
"402","1595.0","33.0","170.0","4.0","14.0","special","special"
"76","2844.0","33.0","245.0","8.0","14.0","hyper","hyper"
"261","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"55","2199.0","33.0","212.0","8.0","14.0","super","super"
"402","1595.0","33.0","170.0","4.0","14.0","special","special"
"341","2390.0","66.0","130.0","4.0","14.0","mega","mega"
"587","2890.0","33.0","452.0","16.0","14.0","hyper","hyper"
"503","1990.0","25.0","214.0","4.0","15.0","super","super"
"177","2399.0","50.0","212.0","4.0","14.0","mega","mega"
"341","2390.0","66.0","130.0","4.0","14.0","mega","mega"
"587","2890.0","33.0","452.0","16.0","14.0","hyper","hyper"
"503","1990.0","25.0","214.0","4.0","15.0","super","super"
"177","2399.0","50.0","212.0","4.0","14.0","mega","mega"
"198","1995.0","33.0","130.0","4.0","14.0","super","super"
"444","1699.0","33.0","170.0","4.0","14.0","special","special"
"95","2995.0","66.0","340.0","16.0","14.0","hyper","hyper"
"442","2125.0","33.0","250.0","8.0","15.0","super","super"
"198","1995.0","33.0","130.0","4.0","14.0","super","super"
"444","1699.0","33.0","170.0","4.0","14.0","special","special"
"95","2995.0","66.0","340.0","16.0","14.0","hyper","hyper"
"442","2125.0","33.0","250.0","8.0","15.0","super","super"
"259","1775.0","33.0","170.0","4.0","14.0","super","super"
"320","2195.0","66.0","170.0","4.0","14.0","super","super"
"543","2799.0","33.0","240.0","4.0","14.0","hyper","hyper"
"74","3044.0","50.0","245.0","8.0","14.0","hyper","hyper"
"259","1775.0","33.0","170.0","4.0","14.0","super","super"
"320","2195.0","66.0","170.0","4.0","14.0","super","super"
"543","2799.0","33.0","240.0","4.0","14.0","hyper","hyper"
"74","3044.0","50.0","245.0","8.0","14.0","hyper","hyper"
"524","2325.0","33.0","250.0","8.0","15.0","mega","mega"
"585","3265.0","33.0","540.0","8.0","17.0","hyper","hyper"
"400","2395.0","33.0","340.0","8.0","14.0","mega","mega"
"53","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"524","2325.0","33.0","250.0","8.0","15.0","mega","mega"
"585","3265.0","33.0","540.0","8.0","17.0","hyper","hyper"
"400","2395.0","33.0","340.0","8.0","14.0","mega","mega"
"53","2995.0","66.0","340.0","8.0","15.0","hyper","hyper"
"381","2125.0","33.0","250.0","8.0","15.0","super","super"
"34","2475.0","50.0","210.0","4.0","15.0","mega","mega"
"583","3365.0","50.0","540.0","8.0","17.0","hyper","hyper"
"318","2605.0","33.0","250.0","8.0","17.0","mega","mega"
"381","2125.0","33.0","250.0","8.0","15.0","super","super"
"34","2475.0","50.0","210.0","4.0","15.0","mega","mega"
"583","3365.0","50.0","540.0","8.0","17.0","hyper","hyper"
"318","2605.0","33.0","250.0","8.0","17.0","mega","mega"
"238","1695.0","33.0","170.0","4.0","14.0","special","special"
"299","1899.0","33.0","170.0","4.0","14.0","super","super"
"175","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"114","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"238","1695.0","33.0","170.0","4.0","14.0","special","special"
"299","1899.0","33.0","170.0","4.0","14.0","super","super"
