"id","price","speed","hd","ram","screen"
1,1499,25,80,4,14
3,1595,25,170,4,15
5,3295,33,340,16,14
7,1720,25,170,4,14
9,2225,50,210,8,14
13,2045,50,130,4,14
17,1595,33,85,2,14
19,2095,33,250,4,15
21,1695,33,130,4,14
23,2895,25,340,16,14
25,4195,50,452,8,14
27,1975,33,130,4,14
31,1920,33,170,4,14
33,2595,33,210,8,17
35,1999,33,170,4,14
37,2325,66,210,8,14
39,2405,50,210,8,14
41,2895,50,245,8,14
43,2499,33,212,8,14
47,2195,33,130,4,14
49,2399,50,212,4,14
53,2995,66,340,8,15
55,2199,33,212,8,14
57,2045,66,130,4,14
61,3990,66,330,8,15
63,2495,33,250,8,15
67,2325,66,130,4,14
69,2199,33,212,4,14
71,4020,66,500,8,14
73,1695,33,170,4,14
75,2999,50,170,4,14
77,1975,33,210,8,14
79,2595,50,130,4,14
81,3399,66,230,4,15
83,2990,66,210,8,15
85,2595,25,245,8,14
87,2075,33,210,8,14
89,1395,25,85,2,14
95,2995,66,340,16,14
97,1999,33,170,4,14
99,2595,25,340,16,14
101,1995,33,250,4,14
103,1795,66,85,2,14
105,1395,25,85,2,14
109,2045,66,170,4,14
111,2995,66,340,8,15
113,3895,50,452,8,14
115,1499,25,170,4,14
117,2525,50,250,4,15
119,2499,33,170,4,14
121,1795,33,170,4,14
131,2295,66,130,4,14
133,2220,33,250,4,14
137,2255,50,250,8,14
139,2720,33,250,8,15
141,2225,33,250,8,14
143,2475,50,250,8,14
145,3995,66,452,8,14
151,2095,33,250,4,15
155,2499,33,212,8,14
157,2999,50,170,4,14
159,3065,50,250,4,17
161,1995,33,130,4,14
163,2645,50,250,4,15
165,2795,33,340,16,14
167,2495,50,245,8,14
169,1595,33,85,2,14
173,1795,33,170,4,15
175,3795,33,452,8,14
177,2399,50,212,4,14
181,2195,50,170,4,14
183,1899,25,120,4,14
185,3795,66,500,8,14
187,1695,33,170,4,14
189,2695,33,340,16,14
191,1899,33,170,4,14
193,1999,33,213,8,14
195,2065,50,170,4,14
197,2099,33,212,4,14
201,3995,66,452,8,14
203,2475,50,250,8,15
205,1595,33,85,2,14
207,2885,66,170,8,15
211,2395,33,245,8,14
213,2420,33,170,8,15
215,2985,66,250,8,17
219,2795,33,340,16,14
221,2635,33,250,8,17
223,2199,50,213,8,14
225,2599,50,212,8,14
227,1920,33,170,4,14
229,2199,33,210,4,14
231,1999,33,120,8,14
235,2195,25,245,8,14
239,1495,25,170,4,14
241,1699,33,120,4,14
243,2335,50,250,8,14
245,2575,66,250,8,14
247,3299,66,245,16,15
249,1695,50,85,2,14
251,2399,66,213,8,14
253,2395,33,170,8,14
256,2399,66,120,4,14
258,2449,33,230,4,14
260,2599,33,245,16,15
262,2345,33,250,8,15
264,2345,50,250,8,14
266,2195,50,130,4,14
268,2785,50,170,8,15
270,2999,66,340,4,15
272,4020,66,500,8,14
274,2695,33,340,16,14
276,2995,66,340,16,14
280,1795,66,85,2,14
282,1995,33,250,4,14
284,1795,33,170,4,15
288,2475,50,250,8,14
290,1695,50,85,2,14
292,2999,66,240,4,15
294,2455,66,250,8,14
296,2690,25,340,16,14
298,2890,33,340,16,14
300,1595,25,170,4,14
302,1895,25,130,4,14
306,1499,25,170,4,14
308,2285,50,250,8,14
310,3795,33,452,8,14
316,1995,50,170,4,14
318,2605,33,250,8,17
320,2195,66,170,4,14
328,2099,33,212,4,14
332,2195,50,130,4,14
334,2025,50,170,4,14
336,2790,33,340,16,14
338,2990,50,340,16,14
340,2825,33,250,8,17
342,2699,66,213,8,14
344,1590,33,85,2,14
348,2595,50,250,8,15
350,2145,50,170,4,14
352,2525,50,250,8,14
354,2090,33,130,4,14
358,2645,66,250,8,15
362,2095,33,130,4,14
364,3075,50,250,8,17
366,1599,25,170,4,14
370,2035,33,250,8,14
372,3225,66,212,4,15
376,1995,33,130,4,14
378,2595,25,340,16,14
380,1490,25,85,2,14
382,2399,66,213,8,14
384,2290,25,245,8,14
386,2399,33,212,8,14
388,2099,66,120,4,14
390,1895,50,170,4,14
392,2595,66,245,8,14
394,1399,25,170,4,14
396,2999,66,245,16,15
398,1795,33,170,4,14
400,2395,33,340,8,14
402,1595,33,170,4,14
404,2995,66,452,16,14
406,2190,33,214,4,15
408,2285,50,250,8,14
410,2795,33,452,16,14
412,2075,66,170,4,14
414,2195,33,250,8,15
418,1690,33,107,2,14
422,2690,25,452,16,14
424,2495,50,250,8,15
426,1595,33,107,2,14
428,2390,25,340,8,14
430,2295,25,340,8,14
436,1399,25,170,4,14
438,2019,33,120,4,14
442,2125,33,250,8,15
444,1699,33,170,4,14
446,2599,33,245,16,15
448,1590,33,107,2,15
450,2625,66,250,8,15
452,2395,33,250,8,14
454,2425,66,250,8,15
456,2375,50,250,8,15
458,2390,66,214,4,15
460,2690,25,452,16,15
462,1790,50,107,2,14
464,2790,33,452,16,15
466,1795,66,107,2,14
468,1995,50,170,4,14
470,3720,66,500,8,14
474,2299,33,405,8,14
476,1490,25,107,2,15
478,1720,33,170,4,14
480,2290,50,214,4,15
486,2595,50,340,8,14
488,2599,50,405,4,15
490,2790,66,340,8,14
492,3595,50,452,8,14
494,3599,66,405,8,14
498,1890,66,107,2,14
500,2720,50,250,8,15
502,2295,66,214,4,14
506,1775,33,170,4,14
508,3599,33,340,16,17
510,3195,66,540,8,15
513,3090,66,452,16,15
515,1999,33,170,4,14
517,1990,25,214,4,14
519,2390,66,214,4,14
523,1499,25,170,4,14
525,2099,66,120,4,14
527,2790,66,340,8,15
531,2390,25,340,8,15
533,2895,50,452,16,14
535,2090,33,214,4,14
537,2195,50,250,4,14
541,2690,33,452,16,15
543,2799,33,240,4,14
547,2095,33,214,4,14
549,1825,50,170,4,14
551,2720,66,340,8,14
553,2990,50,452,16,14
555,2595,33,452,16,14
557,2075,50,250,8,14
559,2690,33,452,16,14
561,3999,66,345,16,17
563,2999,50,240,4,14
567,1690,33,107,2,14
569,1890,25,214,4,14
571,1720,33,170,4,14
575,2299,66,120,4,14
577,2145,66,250,4,14
581,1998,66,130,4,14
583,3365,50,540,8,17
585,3265,33,540,8,17
587,2890,33,452,16,14
589,1825,33,170,4,15
593,2890,33,452,16,15
595,2295,66,214,4,14
597,2745,33,540,8,14
599,2390,66,214,4,14
601,3149,66,230,8,14
603,1999,50,212,4,14
605,1449,25,120,4,14
607,2299,66,245,8,14
609,2495,33,250,8,15
611,2995,66,452,16,14
613,2790,66,340,8,15
615,1799,33,120,4,14
617,2999,66,240,4,15
619,2290,50,214,4,15
621,2555,50,250,8,17
627,2595,66,340,8,15
629,1899,33,250,4,14
631,1790,50,107,2,14
633,1990,33,214,4,14
635,1898,33,130,4,14
639,1990,33,214,4,15
641,1395,25,80,4,15
645,1925,50,170,4,15
647,2895,50,452,16,14
651,2195,25,340,8,14
655,1690,33,107,2,15
657,2775,50,250,8,17
659,2520,50,212,8,15
661,4398,66,345,16,17
663,2489,50,250,8,15
665,2599,33,240,4,15
667,2699,33,345,16,15
669,2499,50,170,4,14
671,2575,66,250,8,15
675,2275,66,250,8,14
677,2975,66,250,8,17
679,2599,50,450,8,14
681,2455,33,250,8,17
683,2290,25,340,8,15
685,1795,66,107,2,14
687,3565,66,540,8,17
689,2025,33,250,8,15
695,1390,25,107,2,14
699,3098,33,345,16,15
701,1945,50,250,4,14
705,1890,25,214,4,15
707,3398,66,345,16,15
709,1795,25,214,4,14
711,2495,25,452,16,14
713,1690,33,107,2,15
719,3295,66,545,8,14
725,2199,66,340,4,14
727,2075,33,250,8,15
729,2425,33,545,8,14
731,1899,33,230,4,14
733,1795,33,214,8,14
737,1720,33,212,4,14
741,2990,50,452,16,14
743,1890,33,107,2,15
745,1945,33,250,4,14
751,1749,33,170,4,14
753,1890,25,214,4,14
755,2465,33,250,8,17
757,1599,25,120,4,14
759,1595,33,107,2,14
761,1939,50,170,4,14
765,1599,25,170,4,14
767,2744,25,452,16,14
770,2799,66,450,8,15
774,2690,33,452,16,15
776,2490,33,340,8,14
778,1399,33,130,4,14
780,3595,50,452,8,14
782,2290,50,214,4,15
784,2644,33,340,8,14
786,2120,33,212,8,14
788,2394,33,340,8,14
790,3044,50,452,16,14
792,2995,66,340,16,15
794,2845,66,340,8,17
796,3495,33,452,8,14
798,2344,33,214,4,14
800,2290,33,340,8,15
