"id","price","speed","hd","ram","screen","computer_category"
469,2599,50,405,8,14,"mega"
4425,2493,100,528,8,14,"mega"
6036,1445,100,528,4,14,"special"
3018,2469,33,340,4,15,"mega"
5832,1490,66,340,4,15,"special"
1876,2364,33,212,4,14,"mega"
3487,1999,33,420,8,15,"ultra"
938,2799,50,320,8,15,"hyper"
4690,3440,33,1000,24,15,"extreme"
2345,1795,33,420,8,15,"ultra"
3956,2095,100,214,4,14,"super"
4894,1739,33,212,4,17,"special"
2141,2223,25,245,4,14,"super"
265,1899,50,120,4,14,"super"
1407,2644,66,426,8,14,"mega"
5363,1754,33,528,8,14,"ultra"
2610,2294,25,426,8,14,"mega"
3283,1495,33,340,4,14,"special"
2814,2669,50,340,8,14,"mega"
1203,2470,50,340,8,15,"mega"
61,3990,66,330,8,15,"uber"
6097,1649,66,540,8,14,"ultra"
4221,1695,66,425,8,15,"ultra"
5159,1899,66,730,8,14,"ultra"
2875,2799,50,340,8,15,"hyper"
530,2575,50,250,8,15,"mega"
1672,1944,50,107,2,14,"super"
3079,1725,33,212,4,15,"special"
795,1395,25,107,4,14,"special"
4017,1995,66,340,4,14,"super"
999,2469,50,340,8,17,"mega"
3548,1345,33,210,4,14,"special"
5689,1899,100,545,8,15,"ultra"
1468,2894,33,340,4,14,"hyper"
2406,2099,66,245,4,15,"super"
1937,2190,33,214,4,14,"super"
6158,1923,100,1000,16,15,"ultrasuper"
4486,1979,33,528,8,15,"ultra"
5893,1899,100,545,8,15,"ultra"
5424,2563,100,270,4,14,"mega"
1060,2844,33,540,16,14,"hyper"
1733,2995,66,528,16,14,"hyper"
3813,2749,100,420,8,17,"hyper"
3344,1495,50,214,4,14,"special"
4547,1759,66,425,8,15,"ultra"
4751,1299,33,340,4,14,"special"
1264,2199,66,340,4,14,"super"
1529,2144,25,426,8,14,"super"
5281,1845,66,528,8,14,"ultra"
2202,2120,33,424,4,17,"super"
5220,2444,33,720,16,15,"ultrasuper"
387,1790,50,85,2,14,"super"
2732,1344,25,107,2,14,"special"
2671,2275,66,530,8,15,"mega"
4078,2149,66,420,8,15,"super"
5750,2690,100,850,16,17,"ultrasuper"
183,1899,25,120,4,14,"super"
3874,2943,33,1000,24,14,"extreme"
