"id","A1","A2","A7","A10","A13","A14","A0_b","A0_a","A3_y","A3_u","A4_p","A4_g","A5_k","A5_cc","A5_d","A5_c","A5_aa","A5_m","A5_q","A5_w","A5_e","A5_ff","A5_j","A5_x","A5_i","A6_v","A6_h","A6_bb","A6_z","A6_ff","A6_j","A8_t","A8_f","A9_t","A9_f","A11_t","A11_f","A12_g","A12_s","outcome"
61, 0.2182281636102187, 2.1772420464841202, 0.14298616927179647, 1.253086283331568, 0.2389965678083092, -0.13045459430112682, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
297, -0.45332549814981665, -0.024797940862060098, -0.40492512600005587, -0.7723103215635377, 0.8863068018274565, -0.22568504312114324, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
631, -1.1317517851033019, -0.772340019721115, -0.19945839027311124, -0.5472662543529705, -0.7613919756758275, -0.22581657689023166, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0
122, -0.6575406467552073, 1.202228198679318, 0.006008345453833391, 0.8029981489104334, -0.6436992058541644, -0.1200634265431416, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
202, 0.986980381677627, -0.07199125392134387, 1.101830935997538, 2.828394753805539, -0.5436603515057508, -0.067318385138685, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
602, -0.9766268164511304, 0.935114046763772, -0.4624558120036003, -0.7723103215635377, -0.7613919756758275, -0.1804374265547266, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
543, -0.7390303454775505, -0.772340019721115, -0.6679225477305449, -0.5472662543529705, 3.710933277547372, -0.21871375335945695, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
160, 1.1175602603531893, 1.013454946442183, -0.19945839027311124, -0.7723103215635377, -1.0615085387210685, -0.11638048100866584, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1
646, 0.6845848731657986, -0.7326976367513166, -0.5186167197689652, -0.7723103215635377, 0.18015018289747764, -0.2260796444284085, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
121, 1.7891139221132246, -0.40234444533633024, 0.006008345453833391, 1.92821848496327, 1.1805387263816143, 0.1036755146762616, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
127, 1.764568832136615, 0.6359084419679126, 1.101830935997538, 0.5779540816998661, 0.9745763791937039, 6.494901354682612, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
425, -1.1562968750799114, -0.874277575929168, -0.678880773635982, -0.7723103215635377, -0.7260841447293286, -0.22647424573567376, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
314, 0.528478100914562, -0.40234444533633024, 0.14298616927179647, -0.7723103215635377, -0.05523535674584867, -0.22647424573567376, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0
466, -0.5181245356880653, -0.7091009802216748, 0.5881640966801764, -0.32222218714240314, 1.8278489604007617, 0.03659329244116716, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
588, -0.6653950755477221, -0.8431299893100407, -0.06248056645514815, -0.7723103215635377, -1.23216305496248, -0.22647424573567376, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1
15, 0.7091299631424081, -0.04084366730221657, -0.6103918617270004, 1.4781303505421353, 0.6509212621841302, -0.22647424573567376, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
632, 0.08666648133559163, -0.7798909498106004, -0.6555945435869283, -0.7723103215635377, 0.25076584479047553, -0.22647424573567376, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0
464, -1.0424076575884438, -0.20602026300970977, -0.678880773635982, -0.7723103215635377, -0.1729281265675118, -0.22634271196658534, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
618, -0.5760509480328639, -0.7175957765723459, -0.5651891798670726, -0.5472662543529705, -0.05523535674584867, -0.22502737427570113, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0
442, -0.1833295084071125, -0.3079578192177627, 0.08545548326825199, -0.5472662543529705, 0.4155357225408039, -0.22515890804478955, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0
344, -0.6251411279860829, -0.40234444533633024, -0.6555945435869283, -0.7723103215635377, -0.6436992058541644, 0.32701985458839955, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
441, -0.6329955567785978, -0.5278786580740251, -0.678880773635982, -0.5472662543529705, -0.05523535674584867, -0.21950295597398747, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0
164, 0.7906196618647513, -0.661907667162391, -0.2679473021820928, -0.7723103215635377, 1.3041161346943606, -0.22647424573567376, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1
