"id","user_id","seq_id","purchase_date","loyalty_level","observation"
61,1,1,2014-03-02,"l","ll"
265,3,3,2014-03-06,"h","mm"
40,1,1,2014-02-09,"n","ml"
122,2,2,2014-01-22,"n","mm"
183,2,2,2014-03-24,"n","sl"
244,3,3,2014-02-13,"h","ms"
162,2,2,2014-03-03,"n","ls"
19,1,1,2014-01-19,"l","ls"
202,3,3,2014-01-02,"l","ls"
101,2,2,2014-01-01,"n","ml"
223,3,3,2014-01-23,"h","ss"
263,3,3,2014-03-04,"h","mm"
181,2,2,2014-03-22,"n","ml"
284,3,3,2014-03-25,"h","sm"
80,1,1,2014-03-21,"l","ll"
59,1,1,2014-02-28,"l","lm"
242,3,3,2014-02-11,"h","sm"
141,2,2,2014-02-10,"h","ss"
120,2,2,2014-01-20,"n","mm"
99,1,1,2014-04-09,"l","lm"
38,1,1,2014-02-07,"l","ll"
17,1,1,2014-01-17,"l","lm"
200,2,2,2014-04-10,"n","sm"
160,2,2,2014-03-01,"n","sl"
221,3,3,2014-01-21,"h","sm"
282,3,3,2014-03-23,"h","ls"
57,1,1,2014-02-26,"l","ss"
36,1,1,2014-02-05,"l","ll"
78,1,1,2014-03-19,"l","ls"
139,2,2,2014-02-08,"n","lm"
118,2,2,2014-01-18,"n","ml"
97,1,1,2014-04-07,"l","ms"
219,3,3,2014-01-19,"h","sm"
261,3,3,2014-03-02,"h","ml"
240,3,3,2014-02-09,"n","ls"
15,1,1,2014-01-15,"l","mm"
76,1,1,2014-03-17,"h","ms"
179,2,2,2014-03-20,"n","ms"
158,2,2,2014-02-27,"n","ms"
280,3,3,2014-03-21,"h","ss"
198,2,2,2014-04-08,"n","ml"
34,1,1,2014-02-03,"l","ll"
55,1,1,2014-02-24,"l","ll"
137,2,2,2014-02-06,"n","mm"
259,3,3,2014-02-28,"h","sl"
299,3,3,2014-04-09,"h","ss"
95,1,1,2014-04-05,"l","ll"
177,2,2,2014-03-18,"n","ml"
116,2,2,2014-01-16,"n","ss"
156,2,2,2014-02-25,"n","ms"
217,3,3,2014-01-17,"h","ml"
74,1,1,2014-03-15,"l","ll"
238,3,3,2014-02-07,"h","ls"
13,1,1,2014-01-13,"l","ml"
278,3,3,2014-03-19,"h","ss"
53,1,1,2014-02-22,"l","lm"
257,3,3,2014-02-26,"h","mm"
196,2,2,2014-04-06,"h","sm"
135,2,2,2014-02-04,"n","ms"
114,2,2,2014-01-14,"n","ms"
236,3,3,2014-02-05,"h","ss"
32,1,1,2014-02-01,"l","ml"
175,2,2,2014-03-16,"n","ms"
154,2,2,2014-02-23,"l","mm"
93,1,1,2014-04-03,"l","ls"
297,3,3,2014-04-07,"h","ll"
72,1,1,2014-03-13,"l","sl"
215,3,3,2014-01-15,"h","ss"
276,3,3,2014-03-17,"h","lm"
11,1,1,2014-01-11,"l","ss"
255,3,3,2014-02-24,"h","mm"
30,1,1,2014-01-30,"l","ls"
133,2,2,2014-02-02,"n","ml"
194,2,2,2014-04-04,"l","ls"
112,2,2,2014-01-12,"h","ms"
91,1,1,2014-04-01,"l","mm"
234,3,3,2014-02-03,"h","ms"
51,1,1,2014-02-20,"h","ms"
173,2,2,2014-03-14,"n","mm"
152,2,2,2014-02-21,"n","lm"
274,3,3,2014-03-15,"h","ss"
9,1,1,2014-01-09,"l","ml"
295,3,3,2014-04-05,"h","ls"
70,1,1,2014-03-11,"l","ll"
131,2,2,2014-01-31,"n","ls"
49,1,1,2014-02-18,"n","ls"
213,3,3,2014-01-13,"h","ms"
192,2,2,2014-04-02,"n","sl"
253,3,3,2014-02-22,"h","ms"
171,2,2,2014-03-12,"n","ss"
110,2,2,2014-01-10,"n","mm"
