"id","user_id","seq_id","purchase_date","observation"
326,1,6,2014-05-06,"ss"
305,1,4,2014-05-05,"ll"
310,1,4,2014-05-10,"ml"
324,1,6,2014-05-04,"lm"
314,1,5,2014-05-04,"ms"
322,1,6,2014-05-02,"ms"
327,1,6,2014-05-07,"ss"
303,1,4,2014-05-03,"ss"
312,1,5,2014-05-02,"sm"
301,1,4,2014-05-01,"ll"
325,1,6,2014-05-05,"sl"
318,1,5,2014-05-08,"mm"
329,1,6,2014-05-09,"ls"
320,1,5,2014-05-10,"sm"
315,1,5,2014-05-05,"ss"
302,1,4,2014-05-02,"ls"
308,1,4,2014-05-08,"mm"
316,1,5,2014-05-06,"ms"
330,1,6,2014-05-10,"ls"
319,1,5,2014-05-09,"sm"
306,1,4,2014-05-06,"ml"
304,1,4,2014-05-04,"sm"
307,1,4,2014-05-07,"ss"
317,1,5,2014-05-07,"ml"
323,1,6,2014-05-03,"ss"
321,1,6,2014-05-01,"sm"
311,1,5,2014-05-01,"ml"
313,1,5,2014-05-03,"ms"
309,1,4,2014-05-09,"ms"
328,1,6,2014-05-08,"sm"
