row_i,column_i,id,magnitude
3,0,33,4e+00
3,1,33,8e+00
3,2,33,1.2e+01
3,3,33,1.6e+01
3,0,35,2e+01
3,1,35,2.4e+01
3,2,35,2.8e+01
3,3,35,3.2e+01
3,0,37,3.6e+01
3,1,37,4e+01
3,2,37,4.4e+01
3,3,37,4.8e+01
3,0,39,5.2e+01
3,1,39,5.6e+01
3,2,39,6e+01
3,3,39,6.4e+01
1,0,33,2e+00
1,1,33,6e+00
1,2,33,1e+01
1,3,33,1.4e+01
1,0,35,1.8e+01
1,1,35,2.2e+01
1,2,35,2.6e+01
1,3,35,3e+01
1,0,37,3.4e+01
1,1,37,3.8e+01
1,2,37,4.2e+01
1,3,37,4.6e+01
1,0,39,5e+01
1,1,39,5.4e+01
1,2,39,5.8e+01
1,3,39,6.2e+01
2,0,33,3e+00
2,1,33,7e+00
2,2,33,1.1e+01
2,3,33,1.5e+01
2,0,35,1.9e+01
2,1,35,2.3e+01
2,2,35,2.7e+01
2,3,35,3.1e+01
2,0,37,3.5e+01
2,1,37,3.9e+01
2,2,37,4.3e+01
2,3,37,4.7e+01
2,0,39,5.1e+01
2,1,39,5.5e+01
2,2,39,5.9e+01
2,3,39,6.3e+01
0,0,33,1e+00
0,1,33,5e+00
0,2,33,9e+00
0,3,33,1.3e+01
0,0,35,1.7e+01
0,1,35,2.1e+01
0,2,35,2.5e+01
0,3,35,2.9e+01
0,0,37,3.3e+01
0,1,37,3.7e+01
0,2,37,4.1e+01
0,3,37,4.5e+01
0,0,39,4.9e+01
0,1,39,5.3e+01
0,2,39,5.7e+01
0,3,39,6.1e+01
