"sid","id","start_time_column","end_time_column","expenditure","income","investment"
"2","40","1967-06-30","2007-03-31","1842.0","2132.0","700.0"
"1","19","1967-06-30","2007-03-31","586.0","660.0","282.0"
"2","57","1967-06-30","2007-03-31","983.0","1137.0","475.0"
"2","59","1967-06-30","2007-03-31","1034.0","1211.0","494.0"
"2","55","1967-06-30","2007-03-31","934.0","1104.0","453.0"
"2","36","1967-06-30","2007-03-31","779.0","897.0","322.0"
"1","7","1967-06-30","2007-03-31","479.0","521.0","207.0"
"1","15","1967-06-30","2007-03-31","546.0","610.0","259.0"
"1","22","1967-06-30","2007-03-31","639.0","734.0","302.0"
"2","53","1967-06-30","2007-03-31","881.0","1025.0","375.0"
"2","39","1967-06-30","2007-03-31","1831.0","2121.0","675.0"
"1","30","1967-06-30","2007-03-31","699.0","799.0","275.0"
"2","37","1967-06-30","2007-03-31","1774.0","2040.0","635.0"
"2","47","1967-06-30","2007-03-31","2102.0","2457.0","853.0"
"2","35","1967-06-30","2007-03-31","758.0","876.0","303.0"
"2","45","1967-06-30","2007-03-31","2061.0","2369.0","844.0"
"2","54","1967-06-30","2007-03-31","905.0","1063.0","432.0"
"1","14","1967-06-30","2007-03-31","538.0","599.0","250.0"
"1","12","1967-06-30","2007-03-31","525.0","583.0","237.0"
"2","31","1967-06-30","2007-03-31","709.0","799.0","273.0"
"2","52","1967-06-30","2007-03-31","858.0","988.0","371.0"
"1","29","1967-06-30","2007-03-31","704.0","794.0","292.0"
"2","50","1967-06-30","2007-03-31","816.0","949.0","339.0"
"1","6","1967-06-30","2007-03-31","458.0","520.0","202.0"
"1","27","1967-06-30","2007-03-31","697.0","808.0","306.0"
"2","46","1967-06-30","2007-03-31","2056.0","2423.0","830.0"
"1","4","1967-06-30","2007-03-31","448.0","493.0","192.0"
"1","23","1967-06-30","2007-03-31","653.0","751.0","304.0"
"2","44","1967-06-30","2007-03-31","1994.0","2318.0","816.0"
"1","21","1967-06-30","2007-03-31","617.0","709.0","286.0"
"2","42","1967-06-30","2007-03-31","1958.0","2253.0","759.0"
"1","17","1967-06-30","2007-03-31","574.0","642.0","264.0"
"2","38","1967-06-30","2007-03-31","1807.0","2070.0","658.0"
"2","34","1967-06-30","2007-03-31","746.0","853.0","289.0"
"1","26","1967-06-30","2007-03-31","686.0","779.0","314.0"
"1","13","1967-06-30","2007-03-31","529.0","591.0","206.0"
"1","5","1967-06-30","2007-03-31","459.0","509.0","211.0"
"2","32","1967-06-30","2007-03-31","715.0","812.0","301.0"
"1","24","1967-06-30","2007-03-31","668.0","763.0","307.0"
"1","11","1967-06-30","2007-03-31","516.0","574.0","234.0"
"1","3","1967-06-30","2007-03-31","434.0","485.0","185.0"
"2","51","1967-06-30","2007-03-31","837.0","979.0","364.0"
"2","43","1967-06-30","2007-03-31","1948.0","2276.0","782.0"
"1","9","1967-06-30","2007-03-31","497.0","548.0","231.0"
"1","1","1967-06-30","2007-03-31","415.0","451.0","180.0"
"2","49","1967-06-30","2007-03-31","798.0","922.0","315.0"
"2","41","1967-06-30","2007-03-31","1890.0","2199.0","692.0"
"1","28","1967-06-30","2007-03-31","688.0","785.0","304.0"
"1","20","1967-06-30","2007-03-31","602.0","694.0","292.0"
"1","16","1967-06-30","2007-03-31","555.0","627.0","263.0"
"2","60","1967-06-30","2007-03-31","1064.0","1256.0","498.0"
"2","33","1967-06-30","2007-03-31","724.0","837.0","280.0"
"1","18","1967-06-30","2007-03-31","574.0","653.0","280.0"
"1","10","1967-06-30","2007-03-31","510.0","558.0","229.0"
"2","58","1967-06-30","2007-03-31","1013.0","1178.0","496.0"
"2","48","1967-06-30","2007-03-31","2121.0","2470.0","852.0"
"2","56","1967-06-30","2007-03-31","968.0","1131.0","460.0"
"1","8","1967-06-30","2007-03-31","487.0","540.0","214.0"
"1","25","1967-06-30","2007-03-31","679.0","766.0","317.0"
"1","2","1967-06-30","2007-03-31","421.0","465.0","179.0"
