"id","period","expenditure","income","investment"
3,"1980q1",1650,1910,611
3,"1980q2",1685,1943,597
3,"1980q3",1722,1976,603
3,"1980q4",1752,2018,619
3,"1981q1",2145,2521,833
3,"1981q2",2164,2545,860
3,"1981q3",2206,2580,870
3,"1981q4",2225,2620,830
3,"1982q1",2235,2639,801
3,"1982q2",2237,2618,824
3,"1982q3",2250,2628,831
3,"1982q4",2271,2651,830
1,"1960q1",415,451,180
1,"1960q2",421,465,179
1,"1960q3",434,485,185
1,"1960q4",448,493,192
1,"1961q1",459,509,211
1,"1961q2",458,520,202
1,"1961q3",479,521,207
1,"1961q4",487,540,214
1,"1962q1",497,548,231
1,"1962q2",510,558,229
1,"1962q3",516,574,234
1,"1962q4",525,583,237
1,"1963q1",529,591,206
1,"1963q2",538,599,250
1,"1963q3",546,610,259
1,"1963q4",555,627,263
1,"1964q1",574,642,264
1,"1964q2",574,653,280
1,"1964q3",586,660,282
1,"1964q4",602,694,292
1,"1965q1",617,709,286
1,"1965q2",639,734,302
1,"1965q3",653,751,304
1,"1965q4",668,763,307
1,"1966q1",679,766,317
1,"1966q2",686,779,314
1,"1966q3",697,808,306
1,"1966q4",688,785,304
1,"1967q1",704,794,292
1,"1967q2",699,799,275
1,"1967q3",709,799,273
1,"1967q4",715,812,301
1,"1968q1",724,837,280
1,"1968q2",746,853,289
1,"1968q3",758,876,303
1,"1968q4",779,897,322
1,"1969q1",1774,2040,635
1,"1969q2",1807,2070,658
1,"1969q3",1831,2121,675
1,"1969q4",1842,2132,700
2,"1970q1",1890,2199,692
2,"1970q2",1958,2253,759
2,"1970q3",1948,2276,782
2,"1970q4",1994,2318,816
2,"1971q1",2061,2369,844
2,"1971q2",2056,2423,830
2,"1971q3",2102,2457,853
2,"1971q4",2121,2470,852
2,"1972q1",798,922,315
2,"1972q2",816,949,339
2,"1972q3",837,979,364
2,"1972q4",858,988,371
2,"1973q1",881,1025,375
2,"1973q2",905,1063,432
2,"1973q3",934,1104,453
2,"1973q4",968,1131,460
2,"1974q1",983,1137,475
2,"1974q2",1013,1178,496
2,"1974q3",1034,1211,494
2,"1974q4",1064,1256,498
2,"1975q1",1101,1290,526
2,"1975q2",1102,1314,519
2,"1975q3",1145,1346,516
2,"1975q4",1173,1385,531
2,"1976q1",1216,1416,573
2,"1976q2",1229,1436,551
2,"1976q3",1242,1462,538
2,"1976q4",1267,1493,532
2,"1977q1",1295,1516,558
2,"1977q2",1317,1557,524
2,"1977q3",1355,1613,525
2,"1977q4",1371,1642,519
2,"1978q1",1402,1690,526
2,"1978q2",1452,1759,510
2,"1978q3",1485,1756,519
2,"1978q4",1516,1780,538
2,"1979q1",1549,1807,549
2,"1979q2",1567,1831,570
2,"1979q3",1588,1873,559
2,"1979q4",1631,1897,584
