"sn","model","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
26,"fiat x1-9",27.3,4,79,66,4.08,1.935,18.9,"v","manual",4,1
17,"chrysler imperial",14.7,8,440,230,3.23,5.345,17.42,"s","automatic",3,4
7,"duster 360",14.3,8,360,245,3.21,3.57,15.84,"s","automatic",3,4
19,"honda civic",30.4,4,75.7,52,4.93,1.615,18.52,"v","manual",4,2
5,"hornet sportabout",18.7,8,360,175,3.15,3.44,17.02,"s","automatic",3,2
13,"merc 450sl",17.3,8,275.8,180,3.07,3.73,17.6,"s","automatic",3,3
22,"dodge challenger",15.5,8,318,150,2.76,3.52,16.87,"s","automatic",3,2
15,"cadillac fleetwood",10.4,8,472,205,2.93,5.25,17.98,"s","automatic",3,4
24,"camaro z28",13.3,8,350,245,3.73,3.84,15.41,"s","automatic",3,4
32,"volvo 142e",21.4,4,121,109,4.11,2.78,18.6,"v","manual",4,2
12,"merc 450se",16.4,8,275.8,180,3.07,4.07,17.4,"s","automatic",3,3
30,"ferrari dino",19.7,6,145,175,3.62,2.77,15.5,"s","manual",5,6
3,"datsun 710",22.8,4,108,93,3.85,2.32,18.61,"v","manual",4,1
11,"merc 280c",17.8,6,167.6,123,3.92,3.44,18.9,"v","automatic",4,4
27,"porsche 914-2",26,4,120.3,91,4.43,2.14,16.7,"s","manual",5,2
14,"merc 450slc",15.2,8,275.8,180,3.07,3.78,18,"s","automatic",3,3
1,"mazda rx4",21,6,160,110,3.9,2.62,16.46,"s","manual",4,4
9,"merc 230",22.8,4,140.8,95,3.92,3.15,22.9,"v","automatic",4,2
4,"hornet 4 drive",21.4,6,258,110,3.08,3.215,19.44,"v","automatic",3,1
31,"maserati bora",15,8,301,335,3.54,3.57,14.6,"s","manual",5,8
20,"toyota corolla",33.9,4,71.1,65,4.22,1.835,19.9,"v","manual",4,1
28,"lotus europa",30.4,4,95.1,113,3.77,1.513,16.9,"v","manual",5,2
29,"ford pantera l",15.8,8,351,264,4.22,3.17,14.5,"s","manual",5,4
18,"fiat 128",32.4,4,78.7,66,4.08,2.2,19.47,"v","manual",4,1
16,"lincoln continental",10.4,8,460,215,3,5.424,17.82,"s","automatic",3,4
6,"valiant",18.1,6,225,105,2.76,3.46,20.22,"v","automatic",3,1
8,"merc 240d",24.4,4,146.7,62,3.69,3.19,20,"v","automatic",4,2
10,"merc 280",19.2,6,167.6,123,3.92,3.44,18.3,"v","automatic",4,4
23,"amc javelin",15.2,8,304,150,3.15,3.435,17.3,"s","automatic",3,2
25,"pontiac firebird",19.2,8,400,175,3.08,3.845,17.05,"s","automatic",3,2
21,"toyota corona",21.5,4,120.1,97,3.7,2.465,20.01,"v","automatic",3,1
2,"mazda rx4 wag",21,6,160,110,3.9,2.875,17.02,"s","manual",4,4
