ID,row_i,MAGNITUDE
1,1,1e+00
1,2,2e+00
1,3,3e+00
1,4,4e+00
1,5,5e+00
1,6,6e+00
1,7,7e+00
1,8,8e+00
1,9,9e+00
1,10,1e+01
1,11,1.1e+01
1,12,1.2e+01
1,13,1.3e+01
1,14,1.4e+01
1,15,1.5e+01
1,16,1.6e+01
1,17,1.7e+01
1,18,1.8e+01
1,19,1.9e+01
1,20,2e+01
1,21,2.1e+01
1,22,2.2e+01
1,23,2.3e+01
1,24,2.4e+01
1,25,2.5e+01
1,26,2.6e+01
1,27,2.7e+01
1,28,2.8e+01
1,29,2.9e+01
1,30,3e+01
1,31,3.1e+01
1,32,3.2e+01
1,33,3.3e+01
1,34,3.4e+01
1,35,3.5e+01
1,36,3.6e+01
1,37,3.7e+01
1,38,3.8e+01
1,39,3.9e+01
1,40,4e+01
1,41,4.1e+01
1,42,4.2e+01
1,43,4.3e+01
1,44,4.4e+01
1,45,4.5e+01
1,46,4.6e+01
1,47,4.7e+01
1,48,4.8e+01
1,49,4.9e+01
1,50,5e+01
1,51,5.1e+01
1,52,5.2e+01
1,53,5.3e+01
1,54,5.4e+01
1,55,5.5e+01
1,56,5.6e+01
1,57,5.7e+01
1,58,5.8e+01
1,59,5.9e+01
1,60,6e+01
1,61,6.1e+01
1,62,6.2e+01
1,63,6.3e+01
1,64,6.4e+01
1,65,6.5e+01
1,66,6.6e+01
1,67,6.7e+01
1,68,6.8e+01
1,69,6.9e+01
1,70,7e+01
1,71,7.1e+01
1,72,7.2e+01
1,73,7.3e+01
1,74,7.4e+01
1,75,7.5e+01
1,76,7.6e+01
1,77,7.7e+01
1,78,7.8e+01
1,79,7.9e+01
1,80,8e+01
1,81,8.1e+01
1,82,8.2e+01
1,83,8.3e+01
1,84,8.4e+01
1,85,8.5e+01
1,86,8.6e+01
1,87,8.7e+01
1,88,8.8e+01
1,89,8.9e+01
1,90,9e+01
1,91,9.1e+01
1,92,9.2e+01
1,93,9.3e+01
1,94,9.4e+01
1,95,9.5e+01
1,96,9.6e+01
1,97,9.7e+01
1,98,9.8e+01
1,99,9.9e+01
1,100,1e+02
1,101,1.01e+02
1,102,1.02e+02
1,103,1.03e+02
1,104,1.04e+02
1,105,1.05e+02
1,106,1.06e+02
1,107,1.07e+02
1,108,1.08e+02
1,109,1.09e+02
1,110,1.1e+02
1,111,1.11e+02
1,112,1.12e+02
1,113,1.13e+02
1,114,1.14e+02
1,115,1.15e+02
