attribute,predictor,category,estimate,std_err,z_score,p_value,significance,family
5,stats,novice,0.040684801,1.115669966,0.036466699,0.970910013,,LOGISTIC
9,programming,novice,-0.980350018,1.14004004,-0.859923005,0.389831007,,LOGISTIC
-1,Loglik,,-19.45190048,40,6,0,,LOGISTIC
0,(Intercept),,1.077509999,2.920759916,0.368914008,0.712191999,,LOGISTIC
3,gpa,,-0.113935001,0.802573025,-0.141962007,0.887109995,,LOGISTIC
7,programming,advanced,,,,,,LOGISTIC
6,stats,beginner,0.526618004,1.222900033,0.430631012,0.666736007,,LOGISTIC
1,masters,yes,,,,,,LOGISTIC
4,stats,advanced,,,,,,LOGISTIC
8,programming,beginner,-1.769760013,1.069000006,-1.655529976,0.097817697,.,LOGISTIC
2,masters,no,2.216550112,1.019989967,2.173110008,0.0297719,*,LOGISTIC
