series_id,row_i,y2,y1,x1
33,1,3e+00,3e+00,1e+00
33,2,7e+00,7e+00,2e+00
33,3,9e+00,9e+00,3e+00
33,4,1.1e+01,1.1e+01,4e+00
33,5,1.5e+01,1.5e+01,5e+00
33,6,2e+01,1.9e+01,6e+00
33,7,2.1e+01,2.1e+01,7e+00
33,8,2.2e+01,2.3e+01,8e+00
33,9,2.7e+01,2.7e+01,9e+00
33,10,3.3e+01,3.1e+01,1e+01
33,11,3.3e+01,3.3e+01,1.1e+01
33,12,3.3e+01,3.5e+01,1.2e+01
33,13,3.9e+01,3.9e+01,1.3e+01
33,14,4.6e+01,4.3e+01,1.4e+01
33,15,4.5e+01,4.5e+01,1.5e+01
33,16,4.4e+01,4.7e+01,1.6e+01
33,17,5.1e+01,5.1e+01,1.7e+01
33,18,5.9e+01,5.5e+01,1.8e+01
33,19,5.7e+01,5.7e+01,1.9e+01
33,20,5.5e+01,5.9e+01,2e+01
