TD_TIMECODE,cityid,house_val,salary,mortgage
2020-01-01 08:00:00,33,1.2e+05,3.9e+04,3e-02
2020-09-01 08:00:00,33,1.95e+05,7.2e+04,4.9e-02
2020-04-01 08:00:00,33,8e+04,2.2e+04,2.9e-02
2020-07-01 08:00:00,33,6.6e+04,2.9e+04,3.9e-02
2020-02-01 08:00:00,33,1.44e+05,5e+04,4e-02
2020-06-01 08:00:00,33,3.2e+05,1.12e+05,1.7e-02
2020-08-01 08:00:00,33,1.44e+05,7.4e+04,3.4e-02
2020-03-01 08:00:00,33,2.2e+05,7.6e+04,3.5e-02
2020-10-01 08:00:00,33,1.34e+05,8.9e+04,4.5e-02
2020-05-01 08:00:00,33,1.84e+05,4.9e+04,3e-02
2020-11-01 08:00:00,33,1.98e+05,4.9e+04,5.2e-02
