"sn","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea","homestyle"
1,42000,5850,3,1,2,yes,no,yes,no,no,1,no,Classic
3,49500,3060,3,1,1,yes,no,no,no,no,0,no,Classic
5,61000,6360,2,1,1,yes,no,no,no,no,0,no,Eclectic
7,66000,3880,3,2,2,yes,no,yes,no,no,2,no,Eclectic
9,83800,4800,3,1,1,yes,yes,yes,no,no,0,no,Eclectic
11,90000,7200,3,2,1,yes,no,yes,no,yes,3,no,Eclectic
15,37000,3600,2,1,1,yes,no,no,no,no,0,no,Classic
17,40500,3300,3,1,2,no,no,no,no,no,1,no,Classic
19,45000,3450,1,1,1,yes,no,no,no,no,0,no,Classic
21,48500,4785,3,1,2,yes,yes,yes,no,yes,1,no,Classic
23,37900,4000,3,1,2,yes,no,no,no,yes,0,no,Classic
27,43500,3800,2,1,1,yes,no,no,no,no,0,no,Classic
29,44500,3000,3,1,1,no,no,no,no,yes,0,no,Classic
31,45000,3500,2,1,1,no,no,yes,no,no,0,no,Classic
33,49000,4000,2,1,1,yes,no,no,no,no,0,no,Classic
35,61000,6360,2,1,2,yes,no,no,no,no,0,no,Eclectic
37,61700,4032,2,1,1,yes,no,yes,no,no,0,no,Eclectic
39,82000,5400,4,2,2,yes,no,no,no,yes,2,no,Eclectic
41,66500,3745,3,1,2,yes,no,yes,no,no,0,no,Eclectic
43,82000,4640,4,1,2,yes,no,no,no,no,1,no,Eclectic
45,38000,2000,2,1,2,yes,no,no,no,no,0,no,Classic
47,41000,3040,2,1,1,no,no,no,no,no,0,no,Classic
49,48000,4960,4,1,3,no,no,no,no,no,0,no,Classic
51,55000,5300,5,2,2,yes,no,no,no,no,0,no,Eclectic
55,38000,3630,3,3,2,no,yes,no,no,no,0,no,Classic
57,25245,2400,3,1,1,no,no,no,no,no,0,no,Classic
59,35500,4400,3,1,2,yes,no,no,no,no,0,no,Classic
61,48000,4120,2,1,2,yes,no,no,no,no,0,no,Classic
63,52000,4280,2,1,1,yes,no,no,no,yes,2,no,Eclectic
65,56000,5500,4,1,2,yes,yes,yes,no,no,0,no,Eclectic
67,60000,5040,3,1,2,yes,no,yes,no,yes,0,no,Eclectic
69,47000,2500,2,1,1,no,no,no,no,yes,0,no,Classic
71,45000,4095,2,1,1,yes,no,no,no,no,2,no,Classic
73,32500,1836,2,1,1,no,no,yes,no,no,0,no,Classic
75,35000,3210,3,1,2,yes,no,yes,no,no,0,no,Classic
77,45000,1650,3,1,2,no,no,yes,no,no,0,no,Classic
79,55000,3180,2,2,1,yes,no,yes,no,no,2,no,Eclectic
81,50000,4240,3,1,2,yes,no,no,no,yes,0,no,Classic
83,50000,3650,3,1,2,yes,no,no,no,no,0,no,Classic
85,55500,3780,2,1,2,yes,yes,yes,no,no,0,no,Eclectic
87,60000,5850,2,1,1,yes,yes,yes,no,no,2,no,Eclectic
89,35000,3000,2,1,1,yes,no,no,no,no,1,no,Classic
91,47000,6060,3,1,1,yes,yes,yes,no,no,0,no,Classic
93,163000,7420,4,1,2,yes,yes,yes,no,yes,2,no,bungalow
95,123500,8050,3,1,1,yes,yes,yes,no,yes,1,no,bungalow
97,53900,8250,3,1,1,yes,no,no,no,no,2,no,Eclectic
99,35000,3500,2,1,1,yes,yes,no,no,no,0,no,Classic
101,57000,4500,3,2,2,no,no,yes,no,yes,0,no,Eclectic
103,125000,4320,3,1,2,yes,no,yes,yes,no,2,no,bungalow
105,58000,4992,3,2,2,yes,no,no,no,no,2,no,Eclectic
107,48000,3720,2,1,1,no,no,no,no,yes,0,no,Classic
109,73000,3000,3,2,2,yes,yes,yes,no,no,0,no,Eclectic
113,92000,5000,3,1,2,yes,no,no,no,yes,0,no,Eclectic
115,75000,6540,4,2,2,no,no,no,no,yes,0,no,Eclectic
119,106500,4300,3,2,2,yes,no,yes,no,no,1,no,bungalow
121,61500,4400,2,1,1,yes,no,no,no,no,1,no,Eclectic
123,37000,4400,2,1,1,yes,no,no,no,no,0,no,Classic
125,70000,4120,2,1,1,yes,no,yes,no,no,1,no,Eclectic
127,117000,5960,3,3,2,yes,yes,yes,no,no,1,no,bungalow
129,123500,4560,3,2,2,yes,yes,yes,no,yes,1,no,bungalow
131,35000,4840,2,1,2,yes,no,no,no,no,0,no,Classic
133,49900,4900,3,1,2,no,no,no,no,no,0,no,Classic
135,65000,3760,3,1,1,yes,no,no,no,no,2,no,Eclectic
137,46000,4370,3,1,2,yes,no,no,no,no,0,no,Classic
139,26500,2990,2,1,1,no,no,no,no,no,1,no,Classic
141,56000,3000,3,1,2,yes,no,no,no,no,0,no,Eclectic
143,51000,4500,4,2,2,yes,no,yes,no,no,2,no,Eclectic
145,57250,4500,3,1,2,no,no,yes,no,yes,0,no,Eclectic
147,61000,2175,3,1,2,no,yes,yes,no,yes,0,no,Eclectic
149,80000,4800,5,2,3,no,no,yes,yes,no,0,no,Eclectic
151,59900,3450,3,1,2,yes,no,no,no,no,1,no,Eclectic
153,37000,3600,2,2,2,yes,no,yes,no,no,1,no,Classic
155,48000,3750,3,1,1,yes,no,no,no,no,0,no,Classic
159,62000,1905,5,1,2,no,no,yes,no,no,0,no,Eclectic
163,25000,2910,3,1,1,no,no,no,no,no,0,no,Classic
165,52900,3120,3,1,2,no,no,yes,yes,no,0,no,Eclectic
167,73500,3410,3,1,2,no,no,no,no,yes,0,no,Eclectic
169,46000,2684,2,1,1,yes,no,no,no,yes,1,no,Classic
171,52500,3630,2,1,1,yes,no,yes,no,no,0,no,Eclectic
173,38000,2430,3,1,1,no,no,no,no,no,0,no,Classic
175,50000,3036,3,1,2,yes,no,yes,no,no,0,no,Classic
179,74500,3180,3,2,2,yes,no,no,no,no,2,no,Eclectic
181,60000,4410,2,1,1,no,no,no,no,no,1,no,Eclectic
183,58000,4340,3,1,1,yes,no,no,no,no,0,no,Eclectic
185,28000,3420,5,1,2,no,no,no,no,no,0,no,Classic
187,44700,5495,3,1,1,yes,no,yes,no,no,0,no,Classic
189,50000,7424,3,1,1,no,no,no,no,no,0,no,Classic
191,67000,3630,3,1,2,yes,no,no,no,no,2,no,Eclectic
193,42000,3480,3,1,2,no,no,no,no,no,1,no,Classic
197,40000,3960,3,1,1,yes,no,no,no,no,0,no,Classic
199,46500,3930,2,1,1,no,no,no,no,no,0,no,Classic
201,53000,3600,3,1,1,yes,no,no,no,no,1,no,Eclectic
203,50000,3480,3,1,1,no,no,no,no,yes,0,no,Classic
205,56000,3290,2,1,1,yes,no,no,yes,no,1,no,Eclectic
207,60000,2325,3,1,2,no,no,no,no,no,0,no,Eclectic
209,72000,3540,2,1,1,no,yes,yes,no,no,0,no,Eclectic
211,40500,2640,2,1,1,no,no,no,no,no,1,no,Classic
213,47900,2700,3,1,1,no,no,no,no,no,0,no,Classic
215,62000,3500,4,1,2,yes,no,no,no,no,2,no,Eclectic
217,138300,6000,4,3,2,yes,yes,yes,yes,no,2,no,bungalow
219,47000,3792,4,1,2,yes,no,no,no,no,0,no,Classic
221,46000,3120,3,1,2,no,no,no,no,no,0,no,Classic
223,70100,4200,3,1,2,yes,no,no,no,no,1,no,Eclectic
225,87250,3240,4,1,3,yes,no,no,no,no,1,no,Eclectic
227,56000,3816,2,1,1,yes,no,yes,no,yes,2,no,Eclectic
229,68000,6321,3,1,2,yes,no,yes,no,yes,1,no,Eclectic
231,80000,4700,4,1,2,yes,yes,yes,no,yes,1,no,Eclectic
233,25000,3850,3,1,2,yes,no,no,no,no,0,no,Classic
235,36000,3000,2,1,2,yes,no,no,no,no,0,no,Classic
241,34000,2787,4,2,2,yes,no,no,no,no,0,no,Classic
243,70000,4770,3,1,1,yes,yes,yes,no,no,0,no,Eclectic
245,32500,3970,3,1,2,yes,no,yes,no,no,0,no,Classic
247,38000,3480,2,1,1,yes,no,no,no,no,1,no,Classic
253,53900,6930,4,1,2,no,no,no,no,no,1,no,Eclectic
256,64500,3450,3,1,2,yes,no,yes,no,no,1,no,Eclectic
258,75500,4600,2,2,1,yes,no,no,no,yes,2,no,Eclectic
262,46200,3640,4,1,2,yes,no,yes,no,no,0,no,Classic
264,48900,4040,2,1,1,yes,no,no,no,no,0,no,Classic
266,51000,3640,2,1,1,yes,no,no,no,no,0,no,Eclectic
268,52500,3600,2,1,1,yes,no,no,no,no,0,no,Eclectic
270,59000,4632,4,1,2,yes,no,no,no,yes,0,no,Eclectic
272,63000,4900,2,1,2,yes,no,yes,no,no,0,no,Eclectic
276,66000,5680,3,1,2,yes,yes,no,no,yes,1,no,Eclectic
278,65500,4000,3,1,2,yes,no,no,no,no,1,no,Eclectic
280,52000,5960,3,1,2,yes,yes,yes,no,no,0,no,Eclectic
282,74500,4500,4,2,1,no,no,yes,no,yes,2,no,Eclectic
284,45000,6750,2,1,1,yes,no,no,no,no,0,no,Classic
286,65000,2550,3,1,2,yes,no,yes,no,no,0,no,Eclectic
288,62000,6450,4,1,2,yes,no,no,no,no,0,no,Eclectic
290,34000,3264,2,1,1,yes,no,no,no,no,0,no,Classic
292,39000,4000,3,1,2,yes,no,no,no,no,1,no,Classic
296,49000,3185,2,1,1,yes,no,no,no,no,2,no,Classic
298,50000,3120,3,1,2,yes,no,no,no,no,1,no,Classic
300,53000,4040,2,1,1,yes,no,no,no,no,0,no,Eclectic
302,56000,8080,3,1,1,yes,no,no,no,yes,2,no,Eclectic
304,59500,4080,3,1,2,yes,no,no,no,no,2,no,Eclectic
308,68100,3420,4,2,2,yes,no,no,no,no,0,no,Eclectic
310,72000,7600,4,1,2,yes,no,no,no,yes,2,no,Eclectic
312,69900,4995,4,2,1,yes,no,yes,no,no,0,no,Eclectic
314,75000,5500,3,2,1,yes,no,yes,no,no,0,no,Eclectic
316,78000,6210,4,1,4,yes,yes,no,no,yes,0,no,Eclectic
318,82000,5000,3,1,3,yes,no,no,no,yes,0,no,Eclectic
320,83000,5200,3,1,3,yes,no,no,no,yes,0,no,Eclectic
322,88500,6350,3,2,3,yes,yes,no,no,yes,0,no,Eclectic
324,98000,6000,3,1,1,yes,no,no,no,yes,1,no,Eclectic
326,99000,8880,3,2,2,yes,no,yes,no,yes,1,no,Eclectic
328,110000,6480,3,2,4,yes,no,no,no,yes,2,no,bungalow
330,120000,8875,3,1,1,yes,no,no,no,no,1,no,bungalow
332,175000,8960,4,4,4,yes,no,no,no,yes,3,no,bungalow
334,55000,3850,2,1,1,yes,no,no,no,no,0,no,Eclectic
336,61000,7770,2,1,1,yes,no,no,no,no,1,no,Eclectic
338,155000,7500,3,3,1,yes,no,yes,no,yes,2,yes,bungalow
342,73000,3000,3,1,2,yes,no,yes,no,no,0,no,Eclectic
344,80000,5500,3,2,2,yes,no,no,no,no,1,no,Eclectic
346,49000,3850,3,1,1,yes,no,no,no,no,0,no,Classic
348,59500,4046,3,1,2,yes,no,yes,no,no,1,no,Eclectic
350,64000,4000,3,1,2,yes,no,no,no,no,2,no,Eclectic
352,68500,7000,3,1,2,yes,no,yes,no,no,0,no,Eclectic
354,86000,6800,2,1,1,yes,yes,yes,no,no,2,no,Eclectic
356,75000,10269,3,1,1,yes,no,no,no,no,1,yes,Eclectic
358,95000,6420,3,2,3,yes,no,no,no,yes,0,yes,Eclectic
360,107000,6600,3,1,4,yes,no,no,no,yes,3,yes,bungalow
362,145000,8580,4,3,4,yes,no,no,no,yes,2,yes,bungalow
366,99000,13200,2,1,1,yes,no,yes,yes,no,1,no,Eclectic
368,120000,7950,5,2,2,yes,no,yes,yes,no,2,no,bungalow
370,79000,6100,3,2,1,yes,no,yes,no,no,2,yes,Eclectic
372,85000,6420,3,1,1,yes,no,yes,no,yes,0,yes,Eclectic
374,122000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,bungalow
376,133000,6550,4,2,2,yes,no,no,no,yes,1,yes,bungalow
378,190000,7420,4,2,3,yes,no,no,no,yes,2,yes,bungalow
380,97000,4000,3,2,2,yes,no,yes,no,yes,0,yes,Eclectic
382,112500,6550,3,1,2,yes,no,yes,no,yes,0,yes,bungalow
384,74700,7085,3,1,1,yes,yes,yes,no,no,2,yes,Eclectic
