"sn","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea","homestyle"
61,48000,4120,2,1,2,"yes","no","no","no","no",0,"no","classic"
265,50000,3640,2,1,1,"yes","no","no","no","no",1,"no","classic"
40,54500,3150,2,2,1,"no","no","yes","no","no",0,"no","eclectic"
122,80000,10500,4,2,2,"yes","no","no","no","no",1,"no","eclectic"
326,99000,8880,3,2,2,"yes","no","yes","no","yes",1,"no","eclectic"
244,27000,3649,2,1,1,"yes","no","no","no","no",0,"no","classic"
223,70100,4200,3,1,2,"yes","no","no","no","no",1,"no","eclectic"
387,83900,11460,3,1,3,"yes","no","no","no","no",2,"yes","eclectic"
183,58000,4340,3,1,1,"yes","no","no","no","no",0,"no","eclectic"
305,60000,5800,3,1,1,"yes","no","no","yes","no",2,"no","eclectic"
488,44100,8100,2,1,1,"yes","no","no","no","no",1,"no","classic"
19,45000,3450,1,1,1,"yes","no","no","no","no",0,"no","classic"
509,87000,8372,3,1,3,"yes","no","no","no","yes",2,"no","eclectic"
101,57000,4500,3,2,2,"no","no","yes","no","yes",0,"no","eclectic"
80,63900,6360,2,1,1,"yes","no","yes","no","yes",1,"no","eclectic"
263,48500,3640,2,1,1,"yes","no","no","no","no",0,"no","classic"
366,99000,13200,2,1,1,"yes","no","yes","yes","no",1,"no","eclectic"
427,49500,5320,2,1,1,"yes","no","no","no","no",1,"yes","classic"
345,88000,4500,3,1,4,"yes","no","no","no","yes",0,"no","eclectic"
59,35500,4400,3,1,2,"yes","no","no","no","no",0,"no","classic"
202,53900,2520,5,2,1,"no","no","yes","no","yes",1,"no","eclectic"
284,45000,6750,2,1,1,"yes","no","no","no","no",0,"no","classic"
406,86000,6900,3,2,1,"yes","yes","yes","no","no",0,"yes","eclectic"
324,98000,6000,3,1,1,"yes","no","no","no","yes",1,"no","eclectic"
467,54000,2856,3,1,3,"yes","no","no","no","no",0,"yes","eclectic"
141,56000,3000,3,1,2,"yes","no","no","no","no",0,"no","eclectic"
343,80000,10500,2,1,1,"yes","no","no","no","no",1,"no","eclectic"
385,78000,6600,4,2,2,"yes","yes","yes","no","no",0,"yes","eclectic"
181,60000,4410,2,1,1,"no","no","no","no","no",1,"no","eclectic"
17,40500,3300,3,1,2,"no","no","no","no","no",1,"no","classic"
200,52000,3570,3,1,2,"yes","no","yes","no","no",0,"no","eclectic"
303,58500,4040,2,1,2,"yes","no","no","no","no",1,"no","eclectic"
242,52000,3000,2,1,2,"yes","no","no","no","yes",0,"no","eclectic"
282,74500,4500,4,2,1,"no","no","yes","no","yes",2,"no","eclectic"
57,25245,2400,3,1,1,"no","no","no","no","no",0,"no","classic"
99,35000,3500,2,1,1,"yes","yes","no","no","no",0,"no","classic"
