"sn","response"
122,"eclectic"
387,"eclectic"
448,"bungalow"
19,"classic"
263,"classic"
59,"classic"
324,"eclectic"
385,"eclectic"
303,"eclectic"
99,"classic"
160,"eclectic"
425,"eclectic"
465,"classic"
36,"eclectic"
97,"eclectic"
362,"bungalow"
15,"classic"
280,"eclectic"
137,"classic"
402,"eclectic"
442,"eclectic"
74,"classic"
318,"eclectic"
114,"eclectic"
379,"eclectic"
358,"eclectic"
154,"classic"
215,"eclectic"
480,"eclectic"
520,"bungalow"
30,"classic"
91,"classic"
152,"classic"
417,"eclectic"
70,"eclectic"
335,"eclectic"
192,"eclectic"
457,"eclectic"
232,"eclectic"
497,"eclectic"
333,"classic"
129,"bungalow"
47,"classic"
373,"bungalow"
169,"classic"
434,"eclectic"
495,"eclectic"
209,"eclectic"
535,"eclectic"
45,"classic"
432,"eclectic"
85,"eclectic"
350,"eclectic"
146,"classic"
207,"eclectic"
125,"eclectic"
390,"eclectic"
247,"classic"
512,"classic"
287,"eclectic"
144,"eclectic"
388,"eclectic"
184,"eclectic"
449,"eclectic"
102,"eclectic"
428,"classic"
489,"classic"
264,"classic"
100,"classic"
487,"classic"
405,"eclectic"
201,"eclectic"
262,"classic"
445,"eclectic"
302,"eclectic"
199,"classic"
504,"eclectic"
14,"classic"
483,"eclectic"
279,"eclectic"
544,"bungalow"
319,"eclectic"
155,"classic"
216,"classic"
542,"eclectic"
460,"classic"
256,"eclectic"
31,"classic"
500,"eclectic"
357,"eclectic"
172,"classic"
29,"classic"
498,"eclectic"
212,"classic"
69,"classic"
538,"eclectic"
334,"eclectic"
374,"bungalow"
210,"eclectic"
6,"eclectic"
271,"eclectic"
250,"classic"
46,"classic"
515,"eclectic"
311,"eclectic"
372,"eclectic"
86,"eclectic"
412,"eclectic"
309,"eclectic"
227,"eclectic"
23,"classic"
84,"classic"
349,"eclectic"
267,"eclectic"
124,"eclectic"
389,"eclectic"
429,"eclectic"
21,"classic"
61,"classic"
326,"eclectic"
183,"eclectic"
509,"eclectic"
366,"eclectic"
202,"eclectic"
467,"eclectic"
181,"eclectic"
242,"eclectic"
507,"eclectic"
221,"classic"
486,"bungalow"
78,"classic"
526,"bungalow"
219,"classic"
76,"classic"
545,"bungalow"
341,"eclectic"
259,"classic"
524,"bungalow"
116,"eclectic"
381,"bungalow"
238,"classic"
421,"eclectic"
257,"eclectic"
522,"bungalow"
236,"classic"
93,"bungalow"
419,"bungalow"
276,"eclectic"
541,"eclectic"
133,"classic"
539,"eclectic"
131,"classic"
396,"eclectic"
253,"eclectic"
314,"eclectic"
436,"eclectic"
293,"classic"
312,"eclectic"
108,"eclectic"
26,"classic"
291,"classic"
148,"eclectic"
413,"bungalow"
5,"eclectic"
474,"eclectic"
331,"bungalow"
188,"classic"
24,"classic"
289,"classic"
3,"classic"
186,"eclectic"
451,"eclectic"
43,"eclectic"
308,"eclectic"
491,"classic"
348,"eclectic"
1,"classic"
41,"eclectic"
163,"classic"
20,"classic"
346,"classic"
203,"classic"
468,"eclectic"
60,"classic"
529,"bungalow"
18,"classic"
79,"eclectic"
344,"eclectic"
58,"eclectic"
323,"eclectic"
