"id","name","period","stockprice"
61,"ibm",1961-08-11,497
265,"ibm",1962-06-05,370
40,"ibm",1961-07-13,474
122,"ibm",1961-11-08,596
326,"ibm",1962-08-30,387
244,"ibm",1962-05-04,475
162,"ibm",1962-01-09,556
19,"ibm",1961-06-13,487
183,"ibm",1962-02-07,552
305,"ibm",1962-08-01,385
223,"ibm",1962-04-05,521
263,"ibm",1962-06-01,364
366,"ibm",1962-10-29,352
101,"ibm",1961-10-10,557
80,"ibm",1961-09-08,541
59,"ibm",1961-08-09,498
202,"ibm",1962-03-07,548
284,"ibm",1962-07-02,350
345,"ibm",1962-09-27,340
324,"ibm",1962-08-28,388
181,"ibm",1962-02-05,551
141,"ibm",1961-12-07,577
120,"ibm",1961-11-06,592
303,"ibm",1962-07-30,376
242,"ibm",1962-05-02,482
17,"ibm",1961-06-09,489
343,"ibm",1962-09-25,350
99,"ibm",1961-10-05,559
38,"ibm",1961-07-11,473
282,"ibm",1962-06-28,350
200,"ibm",1962-03-05,546
160,"ibm",1962-01-05,560
364,"ibm",1962-10-25,331
139,"ibm",1961-12-05,581
57,"ibm",1961-08-07,494
36,"ibm",1961-07-07,475
221,"ibm",1962-04-03,513
261,"ibm",1962-05-29,385
118,"ibm",1961-11-02,581
97,"ibm",1961-10-03,547
78,"ibm",1961-09-06,551
322,"ibm",1962-08-24,393
240,"ibm",1962-04-30,462
362,"ibm",1962-10-23,340
219,"ibm",1962-03-30,533
179,"ibm",1962-02-01,555
158,"ibm",1962-01-03,577
15,"ibm",1961-06-07,496
76,"ibm",1961-09-01,531
301,"ibm",1962-07-26,387
55,"ibm",1961-08-03,491
280,"ibm",1962-06-26,344
341,"ibm",1962-09-21,369
320,"ibm",1962-08-22,409
95,"ibm",1961-09-29,541
137,"ibm",1961-12-01,579
198,"ibm",1962-03-01,543
34,"ibm",1961-07-05,477
360,"ibm",1962-10-19,343
177,"ibm",1962-01-30,525
259,"ibm",1962-05-25,383
299,"ibm",1962-07-24,369
217,"ibm",1962-03-28,539
74,"ibm",1961-08-30,519
116,"ibm",1961-10-31,587
156,"ibm",1961-12-29,579
278,"ibm",1962-06-22,320
53,"ibm",1961-08-01,489
238,"ibm",1962-04-26,485
13,"ibm",1961-06-05,499
135,"ibm",1961-11-29,585
318,"ibm",1962-08-20,409
257,"ibm",1962-05-23,399
339,"ibm",1962-09-19,377
175,"ibm",1962-01-26,541
114,"ibm",1961-10-27,596
236,"ibm",1962-04-24,513
196,"ibm",1962-02-27,536
72,"ibm",1961-08-28,519
358,"ibm",1962-10-17,355
93,"ibm",1961-09-27,542
32,"ibm",1961-06-30,478
255,"ibm",1962-05-21,415
154,"ibm",1961-12-27,582
276,"ibm",1962-06-20,320
297,"ibm",1962-07-20,363
112,"ibm",1961-10-25,603
215,"ibm",1962-03-26,547
133,"ibm",1961-11-27,578
11,"ibm",1961-06-01,492
173,"ibm",1962-01-24,550
30,"ibm",1961-06-28,476
234,"ibm",1962-04-20,519
337,"ibm",1962-09-17,386
295,"ibm",1962-07-18,372
91,"ibm",1961-09-25,527
274,"ibm",1962-06-18,328
194,"ibm",1962-02-23,537
213,"ibm",1962-03-22,545
152,"ibm",1961-12-22,573
131,"ibm",1961-11-22,582
51,"ibm",1961-07-28,490
110,"ibm",1961-10-23,590
70,"ibm",1961-08-24,509
253,"ibm",1962-05-17,450
316,"ibm",1962-08-16,394
150,"ibm",1961-12-20,575
335,"ibm",1962-09-13,395
314,"ibm",1962-08-14,386
356,"ibm",1962-10-15,357
7,"ibm",1961-05-25,463
192,"ibm",1962-02-20,539
293,"ibm",1962-07-16,365
9,"ibm",1961-05-29,493
272,"ibm",1962-06-14,330
232,"ibm",1962-04-18,519
312,"ibm",1962-08-10,386
49,"ibm",1961-07-26,481
190,"ibm",1962-02-16,545
333,"ibm",1962-09-11,383
108,"ibm",1961-10-19,584
171,"ibm",1962-01-22,553
230,"ibm",1962-04-16,517
129,"ibm",1961-11-20,592
26,"ibm",1961-06-22,477
28,"ibm",1961-06-26,475
270,"ibm",1962-06-12,306
47,"ibm",1961-07-24,467
291,"ibm",1962-07-12,382
89,"ibm",1961-09-21,532
127,"ibm",1961-11-16,595
169,"ibm",1962-01-18,553
148,"ibm",1961-12-18,576
354,"ibm",1962-10-11,355
310,"ibm",1962-08-08,376
209,"ibm",1962-03-16,553
5,"ibm",1961-05-23,462
211,"ibm",1962-03-20,551
167,"ibm",1962-01-16,561
45,"ibm",1961-07-20,471
331,"ibm",1962-09-07,382
68,"ibm",1961-08-22,514
228,"ibm",1962-04-12,511
85,"ibm",1961-09-15,547
188,"ibm",1962-02-14,547
251,"ibm",1962-05-15,457
268,"ibm",1962-06-08,335
350,"ibm",1962-10-04,360
24,"ibm",1961-06-20,478
87,"ibm",1961-09-19,540
165,"ibm",1962-01-12,564
146,"ibm",1961-12-14,583
289,"ibm",1962-07-10,379
352,"ibm",1962-10-09,359
22,"ibm",1961-06-16,482
207,"ibm",1962-03-14,551
3,"ibm",1961-05-19,452
66,"ibm",1961-08-18,513
205,"ibm",1962-03-12,553
125,"ibm",1961-11-14,598
329,"ibm",1962-09-05,382
249,"ibm",1962-05-11,455
62,"ibm",1961-08-14,494
247,"ibm",1962-05-09,453
186,"ibm",1962-02-12,557
106,"ibm",1961-10-17,575
327,"ibm",1962-08-31,383
287,"ibm",1962-07-06,359
43,"ibm",1961-07-18,466
64,"ibm",1961-08-16,500
245,"ibm",1962-05-07,459
144,"ibm",1961-12-12,580
308,"ibm",1962-08-06,382
104,"ibm",1961-10-13,571
285,"ibm",1962-07-03,345
184,"ibm",1962-02-08,553
348,"ibm",1962-10-02,358
369,"ibm",1962-11-01,357
325,"ibm",1962-08-29,396
