"userid","ts","imp"
"7","2012-02-14","ad7"
"15","2012-04-06","ad15"
"7","2012-02-15","ad7"
"15","2012-04-07","ad15"
"7","2012-02-16","ad7"
"15","2012-04-08","ad15"
"7","2012-02-17","ad7"
"15","2012-04-09","ad15"
"7","2012-02-18","ad7"
"14","2012-04-02","ad14"
"7","2012-02-19","ad7"
"14","2012-04-03","ad14"
"7","2012-02-20","ad7"
"14","2012-04-04","ad14"
"7","2012-02-21","ad7"
"14","2012-04-05","ad15"
"7","2012-02-22","ad7"
"6","2012-02-08","ad6"
"7","2012-02-23","ad7"
"6","2012-02-09","ad6"
"12","2012-03-25","ad12"
"6","2012-02-10","ad6"
"12","2012-03-26","ad12"
"6","2012-02-11","ad6"
"12","2012-03-27","ad12"
"6","2012-02-12","ad6"
"12","2012-03-28","ad12"
"6","2012-02-13","ad6"
"12","2012-03-29","ad12"
"13","2012-03-30","ad13"
"4","2012-01-23","ad4"
"13","2012-03-31","ad13"
"4","2012-01-24","ad4"
"13","2012-04-01","ad13"
"4","2012-01-25","ad4"
"11","2012-03-18","ad11"
"4","2012-01-26","ad4"
"11","2012-03-19","ad11"
"4","2012-01-27","ad4"
"11","2012-03-20","ad11"
"4","2012-01-28","ad4"
"11","2012-03-21","ad11"
"4","2012-01-29","ad4"
"11","2012-03-22","ad11"
"4","2012-01-30","ad4"
"11","2012-03-23","ad11"
"4","2012-01-31","ad4"
"11","2012-03-24","ad11"
"5","2012-02-01","ad5"
"9","2012-03-02","ad9"
"5","2012-02-02","ad5"
"9","2012-03-03","ad9"
"5","2012-02-03","ad5"
"9","2012-03-04","ad9"
"5","2012-02-04","ad5"
"9","2012-03-05","ad9"
"5","2012-02-05","ad5"
"9","2012-03-06","ad9"
"5","2012-02-06","ad5"
"9","2012-03-07","ad9"
"5","2012-02-07","ad5"
"9","2012-03-08","ad9"
"3","2012-01-16","ad3"
"9","2012-03-09","ad9"
"3","2012-01-17","ad3"
"10","2012-03-10","ad10"
"3","2012-01-18","ad3"
"10","2012-03-11","ad10"
"3","2012-01-19","ad3"
"10","2012-03-12","ad10"
"3","2012-01-20","ad3"
"10","2012-03-13","ad10"
"3","2012-01-21","ad3"
"10","2012-03-14","ad10"
"3","2012-01-22","ad3"
"10","2012-03-15","ad10"
"1","2012-01-01","ad1"
"10","2012-03-16","ad10"
"1","2012-01-02","ad1"
"10","2012-03-17","ad10"
"1","2012-01-03","ad1"
"1","2012-01-04","ad1"
"1","2012-01-05","ad1"
"1","2012-01-06","ad1"
"1","2012-01-07","ad1"
"8","2012-02-24","ad8"
"8","2012-02-25","ad8"
"8","2012-02-26","ad8"
"8","2012-02-27","ad8"
"8","2012-02-28","ad8"
"8","2012-02-29","ad8"
"8","2012-03-01","ad8"
"2","2012-01-08","ad2"
"2","2012-01-09","ad2"
"2","2012-01-10","ad2"
"2","2012-01-11","ad2"
"2","2012-01-12","ad2"
"2","2012-01-13","ad2"
"2","2012-01-14","ad2"
"2","2012-01-15","ad2"
