countryid,year_recorded,seqno,inflation_rate
1,2010-12-31,1,2e+00
1,2011-12-31,2,1.52e+00
1,2012-12-31,3,-1.09e+00
1,2013-12-31,4,-6e-01
1,2014-12-31,5,1.6e-01
1,2015-12-31,6,-1.5e+00
1,2016-12-31,7,1.14e+00
1,2017-12-31,8,8.7e-01
1,2018-12-31,9,3.1e-01
1,2019-12-31,10,-6.3e-01
299,2010-12-31,1,-7e-01
299,2011-12-31,2,3.3e+00
299,2012-12-31,3,5.4e+00
299,2013-12-31,4,2.62e+00
299,2014-12-31,5,1.99e+00
299,2015-12-31,6,1.44e+00
299,2016-12-31,7,2e+00
299,2017-12-31,8,1.56e+00
299,2018-12-31,9,2.11e+00
299,2019-12-31,10,2.9e+00
