"pid","attribute","attrvalue","response"
61,"sepal_width ",2,"          2"
101,"sepal_length",6.3,"          3"
57,"petal_width   ",1.6,"          2"
122,"petal_width   ",2,"          3"
61,"petal_length  ",3.5,"          2"
101,"petal_width   ",2.5,"          3"
57,"sepal_length",6.3,"          2"
122,"petal_length  ",4.9,"          3"
61,"petal_width   ",1,"          2"
101,"sepal_width ",3.3,"          3"
57,"petal_length  ",4.7,"          2"
122,"sepal_width ",2.8,"          3"
61,"sepal_length",5,"          2"
101,"petal_length  ",6,"          3"
57,"sepal_width ",3.3,"          2"
122,"sepal_length",5.6,"          3"
38,"sepal_width ",3.6,"          1"
141,"petal_width   ",2.4,"          3"
118,"sepal_width ",3.8,"          3"
19,"sepal_width ",3.8,"          1"
38,"petal_width   ",0.1,"          1"
141,"sepal_width ",3.1,"          3"
118,"sepal_length",7.7,"          3"
19,"sepal_length",5.7,"          1"
38,"sepal_length",4.9,"          1"
141,"sepal_length",6.7,"          3"
118,"petal_width   ",2.2,"          3"
19,"petal_width   ",0.3,"          1"
38,"petal_length  ",1.4,"          1"
141,"petal_length  ",5.6,"          3"
118,"petal_length  ",6.7,"          3"
19,"petal_length  ",1.7,"          1"
78,"petal_width   ",1.7,"          2"
17,"petal_width   ",0.4,"          1"
72,"petal_width   ",1.3,"          2"
59,"petal_width   ",1.3,"          2"
78,"sepal_length",6.7,"          2"
17,"sepal_length",5.4,"          1"
72,"sepal_length",6.1,"          2"
59,"sepal_length",6.6,"          2"
78,"sepal_width ",3,"          2"
17,"sepal_width ",3.9,"          1"
72,"sepal_width ",2.8,"          2"
59,"sepal_width ",2.9,"          2"
78,"petal_length  ",5,"          2"
17,"petal_length  ",1.3,"          1"
72,"petal_length  ",4,"          2"
59,"petal_length  ",4.6,"          2"
76,"sepal_length",6.6,"          2"
139,"sepal_length",6,"          3"
112,"petal_length  ",5.3,"          3"
99,"petal_length  ",3,"          2"
76,"sepal_width ",3,"          2"
139,"sepal_width ",3,"          3"
112,"sepal_width ",2.7,"          3"
99,"sepal_length",5.1,"          2"
76,"petal_length  ",4.4,"          2"
139,"petal_length  ",4.8,"          3"
112,"sepal_length",6.4,"          3"
99,"sepal_width ",2.5,"          2"
76,"petal_width   ",1.4,"          2"
139,"petal_width   ",1.8,"          3"
112,"petal_width   ",1.9,"          3"
99,"petal_width   ",1.1,"          2"
116,"petal_width   ",2.3,"          3"
34,"petal_width   ",0.2,"          1"
7,"petal_width   ",0.3,"          1"
36,"petal_width   ",0.2,"          1"
116,"petal_length  ",5.3,"          3"
34,"petal_length  ",1.4,"          1"
