"pid","attribute","attrvalue"
61,"sepal_length",5
101,"sepal_length",6.3
57,"sepal_length",6.3
122,"sepal_length",5.6
61,"sepal_width ",2
101,"sepal_width ",3.3
57,"sepal_width ",3.3
122,"sepal_width ",2.8
61,"petal_length  ",3.5
101,"petal_length  ",6
57,"petal_length  ",4.7
122,"petal_length  ",4.9
61,"petal_width   ",1
101,"petal_width   ",2.5
57,"petal_width   ",1.6
122,"petal_width   ",2
38,"sepal_length",4.9
141,"sepal_length",6.7
118,"sepal_length",7.7
19,"sepal_length",5.7
38,"sepal_width ",3.6
141,"sepal_width ",3.1
118,"sepal_width ",3.8
19,"sepal_width ",3.8
38,"petal_length  ",1.4
141,"petal_length  ",5.6
118,"petal_length  ",6.7
19,"petal_length  ",1.7
38,"petal_width   ",0.1
141,"petal_width   ",2.4
118,"petal_width   ",2.2
19,"petal_width   ",0.3
78,"sepal_length",6.7
17,"sepal_length",5.4
72,"sepal_length",6.1
59,"sepal_length",6.6
78,"sepal_width ",3
17,"sepal_width ",3.9
72,"sepal_width ",2.8
59,"sepal_width ",2.9
78,"petal_length  ",5
17,"petal_length  ",1.3
72,"petal_length  ",4
59,"petal_length  ",4.6
78,"petal_width   ",1.7
17,"petal_width   ",0.4
72,"petal_width   ",1.3
59,"petal_width   ",1.3
76,"sepal_length",6.6
139,"sepal_length",6
112,"sepal_length",6.4
99,"sepal_length",5.1
76,"sepal_width ",3
139,"sepal_width ",3
112,"sepal_width ",2.7
99,"sepal_width ",2.5
76,"petal_length  ",4.4
139,"petal_length  ",4.8
112,"petal_length  ",5.3
99,"petal_length  ",3
76,"petal_width   ",1.4
139,"petal_width   ",1.8
112,"petal_width   ",1.9
99,"petal_width   ",1.1
116,"sepal_length",6.4
34,"sepal_length",5.5
7,"sepal_length",4.6
36,"sepal_length",5
116,"sepal_width ",3.2
34,"sepal_width ",4.2
7,"sepal_width ",3.4
36,"sepal_width ",3.2
116,"petal_length  ",5.3
34,"petal_length  ",1.4
7,"petal_length  ",1.4
36,"petal_length  ",1.2
116,"petal_width   ",2.3
34,"petal_width   ",0.2
7,"petal_width   ",0.3
36,"petal_width   ",0.2
93,"sepal_length",5.8
13,"sepal_length",4.8
127,"sepal_length",6.2
97,"sepal_length",5.7
93,"sepal_width ",2.6
13,"sepal_width ",3
127,"sepal_width ",2.8
97,"sepal_width ",2.9
93,"petal_length  ",4
13,"petal_length  ",1.4
127,"petal_length  ",4.8
97,"petal_length  ",4.2
93,"petal_width   ",1.2
13,"petal_width   ",0.1
127,"petal_width   ",1.8
97,"petal_width   ",1.3
133,"sepal_length",6.4
32,"sepal_length",5.4
22,"sepal_length",5.1
137,"sepal_length",6.3
133,"sepal_width ",2.8
32,"sepal_width ",3.4
22,"sepal_width ",3.7
137,"sepal_width ",3.4
133,"petal_length  ",5.6
32,"petal_length  ",1.5
22,"petal_length  ",1.5
137,"petal_length  ",5.6
133,"petal_width   ",2.2
32,"petal_width   ",0.4
22,"petal_width   ",0.4
137,"petal_width   ",2.4
131,"sepal_length",7.4
11,"sepal_length",5.4
62,"sepal_length",5.9
74,"sepal_length",6.1
131,"sepal_width ",2.8
11,"sepal_width ",3.7
62,"sepal_width ",3
74,"sepal_width ",2.8
131,"petal_length  ",6.1
11,"petal_length  ",1.5
62,"petal_length  ",4.2
74,"petal_length  ",4.7
131,"petal_width   ",1.9
11,"petal_width   ",0.2
62,"petal_width   ",1.5
74,"petal_width   ",1.2
108,"sepal_length",7.3
51,"sepal_length",7
39,"sepal_length",4.4
53,"sepal_length",6.9
108,"sepal_width ",2.9
51,"sepal_width ",3.2
39,"sepal_width ",3
53,"sepal_width ",3.1
108,"petal_length  ",6.3
51,"petal_length  ",4.7
39,"petal_length  ",1.3
53,"petal_length  ",4.9
108,"petal_width   ",1.8
51,"petal_width   ",1.4
39,"petal_width   ",0.2
53,"petal_width   ",1.5
26,"sepal_length",5
9,"sepal_length",4.4
37,"sepal_length",5.5
114,"sepal_length",5.7
26,"sepal_width ",3
9,"sepal_width ",2.9
37,"sepal_width ",3.5
114,"sepal_width ",2.5
26,"petal_length  ",1.6
9,"petal_length  ",1.4
37,"petal_length  ",1.3
114,"petal_length  ",5
26,"petal_width   ",0.2
9,"petal_width   ",0.2
37,"petal_width   ",0.2
114,"petal_width   ",2
148,"sepal_length",6.5
49,"sepal_length",5.3
77,"sepal_length",6.8
91,"sepal_length",5.5
148,"sepal_width ",3
49,"sepal_width ",3.7
77,"sepal_width ",2.8
91,"sepal_width ",2.6
148,"petal_length  ",5.2
49,"petal_length  ",1.5
