"id","expected_value","predicted_value"
5,"setosa","setosa"
10,"setosa","setosa"
40,"setosa","setosa"
15,"setosa","setosa"
20,"setosa","setosa"
65,"versicolor","versicolor"
80,"versicolor","versicolor"
30,"setosa","setosa"
60,"versicolor","versicolor"
120,"versicolor","virginica"
70,"versicolor","versicolor"
75,"versicolor","versicolor"
55,"versicolor","versicolor"
45,"setosa","setosa"
115,"virginica","virginica"
95,"versicolor","versicolor"
85,"virginica","versicolor"
90,"versicolor","versicolor"
135,"versicolor","virginica"
125,"virginica","virginica"
130,"versicolor","virginica"
110,"virginica","virginica"
100,"versicolor","versicolor"
25,"setosa","setosa"
150,"virginica","virginica"
140,"virginica","virginica"
145,"virginica","virginica"
35,"setosa","setosa"
50,"setosa","setosa"
105,"virginica","virginica"
