"id","sepal_length","sepal_width","petal_length","petal_width","species"
61,5,2,3.5,1,2
101,6.3,3.3,6,2.5,3
57,6.3,3.3,4.7,1.6,2
122,5.6,2.8,4.9,2,3
38,4.9,3.6,1.4,0.1,1
141,6.7,3.1,5.6,2.4,3
118,7.7,3.8,6.7,2.2,3
19,5.7,3.8,1.7,0.3,1
78,6.7,3,5,1.7,2
17,5.4,3.9,1.3,0.4,1
72,6.1,2.8,4,1.3,2
59,6.6,2.9,4.6,1.3,2
76,6.6,3,4.4,1.4,2
139,6,3,4.8,1.8,3
112,6.4,2.7,5.3,1.9,3
99,5.1,2.5,3,1.1,2
116,6.4,3.2,5.3,2.3,3
34,5.5,4.2,1.4,0.2,1
7,4.6,3.4,1.4,0.3,1
36,5,3.2,1.2,0.2,1
93,5.8,2.6,4,1.2,2
13,4.8,3,1.4,0.1,1
127,6.2,2.8,4.8,1.8,3
97,5.7,2.9,4.2,1.3,2
133,6.4,2.8,5.6,2.2,3
32,5.4,3.4,1.5,0.4,1
22,5.1,3.7,1.5,0.4,1
137,6.3,3.4,5.6,2.4,3
131,7.4,2.8,6.1,1.9,3
11,5.4,3.7,1.5,0.2,1
62,5.9,3,4.2,1.5,2
74,6.1,2.8,4.7,1.2,2
108,7.3,2.9,6.3,1.8,3
51,7,3.2,4.7,1.4,2
39,4.4,3,1.3,0.2,1
53,6.9,3.1,4.9,1.5,2
26,5,3,1.6,0.2,1
9,4.4,2.9,1.4,0.2,1
37,5.5,3.5,1.3,0.2,1
114,5.7,2.5,5,2,3
148,6.5,3,5.2,2,3
49,5.3,3.7,1.5,0.2,1
77,6.8,2.8,4.8,1.4,2
91,5.5,2.6,4.4,1.2,2
24,5.1,3.3,1.7,0.5,1
28,5.2,3.5,1.5,0.2,1
54,5.5,2.3,4,1.3,2
129,6.4,2.8,5.6,2.1,3
3,4.7,3.2,1.3,0.2,1
89,5.6,3,4.1,1.3,2
94,5,2.3,3.3,1,2
47,5.1,3.8,1.6,0.2,1
43,4.4,3.2,1.3,0.2,1
68,5.8,2.7,4.1,1,2
12,4.8,3.4,1.6,0.2,1
146,6.7,3,5.2,2.3,3
1,5.1,3.5,1.4,0.2,1
87,6.7,3.1,4.7,1.5,2
52,6.4,3.2,4.5,1.5,2
144,6.8,3.2,5.9,2.3,3
41,5,3.5,1.3,0.3,1
66,6.7,3.1,4.4,1.4,2
92,6.1,3,4.6,1.4,2
102,5.8,2.7,5.1,1.9,3
18,5.1,3.5,1.4,0.3,1
106,7.6,3,6.6,2.1,3
132,7.9,3.8,6.4,2,3
117,6.5,3,5.5,1.8,3
79,6,2.9,4.5,1.5,2
64,6.1,2.9,4.7,1.4,2
109,6.7,2.5,5.8,1.8,3
14,4.3,3,1.1,0.1,1
58,4.9,2.4,3.3,1,2
104,6.3,2.9,5.6,1.8,3
27,5,3.4,1.6,0.4,1
31,4.8,3.1,1.6,0.2,1
98,6.2,2.9,4.3,1.3,2
83,5.8,2.7,3.9,1.2,2
149,6.2,3.4,5.4,2.3,3
29,5.2,3.4,1.4,0.2,1
56,5.7,2.8,4.5,1.3,2
123,7.7,2.8,6.7,2,3
67,5.6,3,4.5,1.5,2
69,6.2,2.2,4.5,1.5,2
96,5.7,3,4.2,1.2,2
81,5.5,2.4,3.8,1.1,2
107,4.9,2.5,4.5,1.7,3
6,5.4,3.9,1.7,0.4,1
73,6.3,2.5,4.9,1.5,2
142,6.9,3.1,5.1,2.3,3
147,6.3,2.5,5,1.9,3
46,4.8,3,1.4,0.3,1
134,6.3,2.8,5.1,1.5,3
121,6.9,3.2,5.7,2.3,3
4,4.6,3.1,1.5,0.2,1
86,6,3.4,4.5,1.6,2
113,6.8,3,5.5,2.1,3
119,7.7,2.6,6.9,2.3,3
44,5,3.5,1.6,0.6,1
23,4.6,3.6,1,0.2,1
111,6.5,3.2,5.1,2,3
16,5.7,4.4,1.5,0.4,1
42,4.5,2.3,1.3,0.3,1
84,6,2.7,5.1,1.6,2
8,5,3.4,1.5,0.2,1
138,6.4,3.1,5.5,1.8,3
82,5.5,2.4,3.7,1,2
124,6.3,2.7,4.9,1.8,3
128,6.1,3,4.9,1.8,3
136,7.7,3,6.1,2.3,3
21,5.4,3.4,1.7,0.2,1
126,7.2,3.2,6,1.8,3
33,5.2,4.1,1.5,0.1,1
2,4.9,3,1.4,0.2,1
71,5.9,3.2,4.8,1.8,2
48,4.6,3.2,1.4,0.2,1
88,6.3,2.3,4.4,1.3,2
63,6,2.2,4,1,2
103,7.1,3,5.9,2.1,3
143,5.8,2.7,5.1,1.9,3
5,5,3.6,1.4,0.2,1
10,4.9,3.1,1.5,0.1,1
40,5.1,3.4,1.5,0.2,1
15,5.8,4,1.2,0.2,1
20,5.1,3.8,1.5,0.3,1
65,5.6,2.9,3.6,1.3,2
80,5.7,2.6,3.5,1,2
30,4.7,3.2,1.6,0.2,1
60,5.2,2.7,3.9,1.4,2
120,6,2.2,5,1.5,3
70,5.6,2.5,3.9,1.1,2
75,6.4,2.9,4.3,1.3,2
55,6.5,2.8,4.6,1.5,2
45,5.1,3.8,1.9,0.4,1
115,5.8,2.8,5.1,2.4,3
95,5.6,2.7,4.2,1.3,2
85,5.4,3,4.5,1.5,2
90,5.5,2.5,4,1.3,2
135,6.1,2.6,5.6,1.4,3
125,6.7,3.3,5.7,2.1,3
130,7.2,3,5.8,1.6,3
110,7.2,3.6,6.1,2.5,3
100,5.7,2.8,4.1,1.3,2
25,4.8,3.4,1.9,0.2,1
150,5.9,3,5.1,1.8,3
140,6.9,3.1,5.4,2.1,3
145,6.7,3.3,5.7,2.5,3
35,4.9,3.1,1.5,0.2,1
50,5,3.3,1.4,0.2,1
105,6.5,3,5.8,2.2,3
