"pid","response"
61,"          2"
101,"          3"
57,"          2"
122,"          3"
38,"          1"
141,"          3"
118,"          3"
19,"          1"
78,"          2"
17,"          1"
72,"          2"
59,"          2"
76,"          2"
139,"          3"
112,"          3"
99,"          2"
116,"          3"
34,"          1"
7,"          1"
36,"          1"
93,"          2"
13,"          1"
127,"          3"
97,"          2"
133,"          3"
32,"          1"
22,"          1"
137,"          3"
131,"          3"
11,"          1"
62,"          2"
74,"          2"
108,"          3"
51,"          2"
39,"          1"
53,"          2"
26,"          1"
9,"          1"
37,"          1"
114,"          3"
148,"          3"
49,"          1"
77,"          2"
91,"          2"
24,"          1"
28,"          1"
54,"          2"
129,"          3"
3,"          1"
89,"          2"
94,"          2"
47,"          1"
43,"          1"
68,"          2"
12,"          1"
146,"          3"
1,"          1"
87,"          2"
52,"          2"
144,"          3"
41,"          1"
66,"          2"
92,"          2"
102,"          3"
18,"          1"
106,"          3"
132,"          3"
117,"          3"
79,"          2"
64,"          2"
109,"          3"
14,"          1"
58,"          2"
104,"          3"
27,"          1"
31,"          1"
98,"          2"
83,"          2"
149,"          3"
29,"          1"
56,"          2"
123,"          3"
67,"          2"
69,"          2"
96,"          2"
81,"          2"
107,"          3"
6,"          1"
73,"          2"
142,"          3"
147,"          3"
46,"          1"
134,"          3"
121,"          3"
4,"          1"
86,"          2"
113,"          3"
119,"          3"
44,"          1"
23,"          1"
111,"          3"
16,"          1"
42,"          1"
84,"          2"
8,"          1"
138,"          3"
82,"          2"
124,"          3"
128,"          3"
136,"          3"
21,"          1"
126,"          3"
33,"          1"
2,"          1"
71,"          2"
48,"          1"
88,"          2"
63,"          2"
103,"          3"
143,"          3"
