"userid","itemid","rating"
38,1,4
17,605,3
40,1,3
19,12,3
38,21,4
17,858,5
40,11,3
19,25,4
38,25,2.5
17,904,4
40,17,5
19,70,3
38,32,4.5
17,934,3
40,39,2
19,152,3
38,39,3.5
17,1013,3
40,45,4
19,177,4
38,47,4.5
17,2324,4.5
40,72,5
19,188,3
38,50,4.5
17,2724,3
40,104,2
19,220,3
38,70,4.5
17,2803,3.5
40,141,5
19,253,4
38,76,4
17,2881,3
40,157,2
19,273,3
38,95,4
17,2915,2
40,180,5
19,318,3
38,110,3
17,2953,3
40,187,3
19,330,2
38,111,2.5
17,3005,3.5
40,218,3
19,366,3
38,145,4
17,3107,3
40,222,3
19,382,2
38,150,2
17,3578,5
40,223,4
19,407,3
38,163,3
17,3969,3
40,224,3
19,426,4
38,165,4
17,4993,4.5
40,237,3
19,527,5
38,168,3
17,5418,5
40,275,4
19,532,3
38,173,4.5
17,5952,4.5
40,296,3
19,565,3
38,177,4
17,6031,5
40,318,4
19,608,4
38,180,5
17,7153,4.5
40,353,1
19,610,3
38,185,2
17,7445,4.5
40,356,4
19,724,3
38,196,2.5
17,7502,5
40,357,3
19,735,4
38,198,4
17,26614,5
40,364,4
19,799,3
38,208,3
17,54286,5
40,367,3
19,800,3
38,223,4.5
17,55820,4
40,370,1
19,924,5
38,253,3
17,76701,4
40,372,4
19,968,4
38,260,4.5
17,92509,4
40,440,3
19,1128,3
38,261,0.5
17,93265,4
40,468,3
19,1130,4
38,273,4
34,65,4
40,471,5
19,1214,4
38,277,2
34,69,2.5
40,497,5
19,1215,3
38,280,2.5
34,267,1.5
40,500,3
19,1219,5
38,292,3
34,379,0.5
40,514,4
19,1241,4
38,296,5
34,1126,5
40,537,2
19,1255,4
38,316,4.5
34,1342,2
40,539,3
19,1258,4
38,317,3.5
34,1344,4
40,543,3
19,1261,5
38,318,4.5
34,1513,4.5
40,552,2
19,1278,4
38,327,5
34,2719,2
40,586,1
19,1293,3
38,329,4
34,3273,3
40,587,3
19,1320,3
38,342,1.5
34,3452,2
40,593,3
19,1321,3
38,349,4
34,3744,2
40,597,3
19,1323,1
38,353,4.5
34,5015,2.5
40,708,4
19,1327,2
38,355,1
34,5418,1
40,919,2
19,1332,3
38,357,1
34,8665,1
40,1020,2
19,1333,3
38,366,3.5
34,31685,3
40,1060,4
19,1334,3
38,367,3
34,45499,4.5
40,1079,3
19,1339,3
38,368,3.5
34,54286,1
40,1136,3
19,1340,5
38,379,1.5
34,63062,1
40,1188,4
19,1342,4
38,380,4
34,72380,2
40,1196,3
19,1345,5
38,382,3.5
13,5,3.5
40,1197,5
19,1346,3
38,435,1.5
13,110,2.5
40,1213,3
19,1347,4
38,442,4.5
13,180,5
40,1220,3
19,1348,5
38,454,3
13,196,4
40,1246,5
19,1350,3
38,474,4
13,260,3
40,1247,5
19,1387,5
38,475,3.5
13,261,1
40,1257,3
19,1388,2
38,480,3.5
13,296,3.5
40,1259,3
19,1389,1
38,485,3.5
13,318,3.5
40,1265,4
19,1407,3
38,520,0.5
13,356,3
40,1270,4
19,1584,3
38,532,1
13,432,3
40,1272,2
19,1644,2
38,541,5
13,457,1.5
40,1285,5
19,1645,3
38,553,4
13,466,2
40,1307,5
19,1682,3
38,555,5
13,471,2.5
40,1353,3
19,1690,4
38,586,1
13,543,5
40,1367,1
19,1699,5
38,589,3.5
13,593,4
40,1394,5
19,1704,4
38,592,3.5
13,661,3.5
40,1441,3
19,1717,3
38,593,4
13,1215,4.5
40,1485,3
19,1762,3
38,596,3
13,1639,4
40,1487,2
19,1924,1
38,597,1.5
13,1663,5
40,1513,3
19,1957,3
38,611,2
13,1690,3
40,1516,5
19,1970,3
38,661,3.5
13,2427,1
40,1517,2
19,1971,2
38,724,4
13,2599,5
40,1569,3
19,1974,2
38,733,2
13,2724,1
40,1639,5
19,1975,1
38,737,1.5
13,2947,3.5
40,1641,5
19,1976,1
38,741,4.5
13,26403,4
40,1648,5
19,1982,3
38,762,1.5
13,35836,5
40,1682,5
19,1983,2
38,780,3.5
13,43652,3.5
40,1704,5
19,1984,3
38,799,4
13,55031,4.5
40,1711,4
19,1994,3
38,849,4
13,56012,4
40,1721,3
19,1995,2
38,879,3.5
13,76077,5
40,1734,4
19,1996,2
38,880,0.5
13,76251,5
40,1747,4
19,1997,4
38,891,2.5
32,3,2
40,1777,5
19,1998,4
38,902,2.5
32,5,3
40,1784,4
19,1999,3
38,903,4.5
32,6,4
40,1827,5
19,2003,4
38,904,5
32,7,3
40,1836,4
19,2004,4
38,912,5
32,25,3
40,1967,2
19,2028,5
38,919,3
32,32,5
40,1968,3
19,2097,3
38,920,1
32,36,3
40,2011,2
19,2118,3
38,924,4
32,95,3
40,2064,5
19,2119,2
38,946,4.5
32,104,3
40,2081,4
19,2121,3
38,968,4
32,112,3
40,2085,3
19,2159,4
38,1011,1
32,260,3
40,2108,4
19,2160,4
38,1028,0.5
32,376,3
40,2110,2
19,2239,3
38,1035,0.5
32,608,4
40,2124,1
19,2288,4
38,1036,5
32,648,3
40,2134,2
19,2312,3
38,1037,3
32,733,4
40,2141,2
19,2313,5
38,1086,4
32,762,1
40,2150,4
19,2328,3
38,1090,3.5
32,780,3
40,2174,2
19,2338,1
38,1097,4
32,805,4
40,2248,3
19,2366,5
38,1127,3.5
32,858,5
40,2249,3
19,2377,2
38,1128,4
32,1210,3
40,2297,3
19,2389,3
38,1129,4.5
11,1,3
40,2301,2
19,2454,3
38,1130,3
11,2,2
40,2321,5
19,2455,4
38,1148,2.5
11,6,3
40,2336,4
19,2459,4
38,1168,1
11,10,2
40,2359,5
19,2513,3
38,1196,5
11,14,2
40,2395,5
19,2517,3
38,1197,5
11,17,4
40,2396,5
19,2550,5
38,1200,4.5
11,21,3
40,2405,3
19,2553,4
38,1201,4
11,32,1
40,2406,3
19,2633,5
38,1206,0.5
11,34,5
40,2407,2
19,2644,3
38,1210,4.5
11,44,3
40,2413,5
19,2648,5
38,1214,5
11,48,3
40,2423,2
19,2649,4
38,1215,5
11,50,3
40,2424,4
19,2653,4
38,1219,4.5
11,70,3
40,2470,3
19,2654,4
38,1220,4
11,112,2
40,2478,3
19,2657,3
38,1222,3.5
11,144,3
40,2539,3
19,2664,4
38,1240,5
11,150,3
40,2599,5
19,2710,4
38,1241,4
11,151,4
40,2671,4
19,2716,3
38,1246,4.5
11,153,2
40,2699,2
19,2717,4
38,1255,3.5
11,160,1
40,2706,4
19,2731,4
38,1258,3
11,163,3
40,2716,2
19,2739,3
38,1259,3.5
11,165,2
40,2723,3
19,2746,3
38,1261,4.5
11,180,3
40,2746,1
19,2747,3
38,1262,4
11,181,2
40,2858,5
19,2762,3
38,1266,4.5
11,185,2
40,2918,4
19,2770,3
38,1267,4.5
11,196,2
40,2987,3
19,2780,3
38,1270,4.5
11,208,1
40,2997,5
19,2781,3
38,1275,5
11,223,3
40,3033,1
19,2787,3
38,1278,4
11,230,3
7,50,4.5
19,2789,2
38,1282,2
11,253,2
7,58,3.5
19,2829,3
38,1291,3.5
11,256,2
7,112,4.5
19,2841,3
38,1320,3
11,260,4
7,520,4
19,2844,3
38,1321,4.5
11,273,1
7,745,4.5
19,2853,3
38,1322,1.5
11,293,3
7,1094,4
19,2858,4
38,1323,2.5
11,296,4
7,1234,4
19,2867,3
38,1326,4
11,300,3
7,1252,5
19,2883,3
38,1327,3.5
11,313,3
7,1358,3.5
19,2890,4
38,1328,1
11,316,2
7,1380,3
19,2900,3
38,1333,3
11,318,4
7,1639,3.5
19,2901,3
38,1334,4
11,329,2
7,2194,4
19,2902,3
38,1337,4
11,346,3
7,2268,2
19,2903,3
38,1339,3
11,348,4
7,2302,3.5
19,2992,3
38,1342,4.5
11,349,3
7,2406,3.5
19,5649,4
38,1343,3.5
11,353,3
7,2599,3
36,10,3
38,1344,3.5
11,364,3
7,3751,4
36,150,5
38,1345,3.5
11,367,2
7,3801,4.5
36,153,3
38,1347,4
11,368,2
7,4034,4.5
36,161,5
38,1350,4.5
11,377,3
7,5008,4
36,165,4
38,1356,3
11,379,2
7,5060,4
36,185,3
38,1370,4.5
11,380,3
7,5637,4
36,231,2
38,1371,2
11,417,3
7,6777,4.5
36,300,4
38,1372,4
11,426,3
7,6787,4.5
36,318,5
38,1373,0.5
11,434,1
22,1,3.5
36,339,3
38,1374,3.5
11,442,2
22,150,3.5
36,344,1
38,1375,0.5
11,454,2
22,153,3.5
36,349,5
38,1376,1.5
11,457,4
22,260,3.5
36,356,5
38,1385,2
11,464,3
22,355,2
36,364,3
