"userid","itemid","rating"
5,1,4
9,17,3
7,50,4.5
6,1,4
5,5,3
9,32,2
7,58,3.5
6,2,3
5,6,4
9,34,5
7,112,4.5
6,6,4
5,11,4
9,36,4
7,520,4
6,10,4
5,14,4
9,39,2
7,745,4.5
6,16,4
5,16,5
9,43,3
7,1094,4
6,19,3
5,21,5
9,50,5
7,1234,4
6,21,4
5,32,5
9,110,5
7,1252,5
6,39,3
5,39,4
9,150,4
7,1358,3.5
6,47,4
5,45,4
9,223,3
7,1380,3
6,50,4
5,47,5
9,235,4
7,1639,3.5
6,62,4
5,50,5
9,247,3
7,2194,4
6,63,3
5,52,5
9,253,4
7,2268,2
6,70,3.5
5,89,3
9,265,3
7,2302,3.5
6,72,3
5,105,5
9,300,3
7,2406,3.5
6,104,4
5,110,4
9,318,5
7,2599,3
6,111,4
5,111,5
9,407,4
7,3751,4
6,145,4
5,141,5
9,428,3
7,3801,4.5
6,153,3
5,150,4
9,434,3
7,4034,4.5
6,165,3.5
5,151,4
9,481,4
7,5008,4
6,215,5
5,161,4
9,482,4
7,5060,4
6,223,4
5,162,5
9,527,4
7,5637,4
6,231,3
5,171,5
9,555,4
7,6777,4.5
6,260,4
5,175,4
9,562,4
7,6787,4.5
6,293,5
5,180,4
9,593,5
4,32,4.5
6,316,2.5
5,194,5
9,608,4
4,163,3
6,318,5
5,223,5
9,671,1
4,172,3
6,344,2.5
5,225,3
9,780,3
4,315,3
6,353,4
5,231,2
9,785,3
4,318,5
6,356,4
5,235,4
9,898,5
4,370,3
6,364,3
5,253,5
9,902,3
4,435,2
6,367,2.5
5,260,3
9,903,4
4,555,4
6,368,4
5,265,4
9,904,5
4,805,4
6,377,3.5
5,272,4
9,908,5
4,1242,5
6,380,3.5
5,282,4
9,915,5
4,1252,5
6,413,3.5
5,296,5
9,923,4
4,1278,3.5
6,420,3.5
5,299,3
9,930,5
4,1302,5
6,434,3
5,300,5
9,932,5
4,1500,3.5
6,442,4
5,318,5
9,948,3
4,1639,4
6,454,3.5
5,321,5
9,949,4
4,2353,4
6,466,3
5,322,4
9,951,5
4,2572,3.5
6,480,3.5
5,337,4
9,956,4
4,2699,4
6,500,3
5,345,5
9,1010,5
4,2890,4.5
6,520,2.5
5,349,4
9,1013,4
4,3101,4
6,553,3.5
5,353,4
9,1041,4
4,3112,4
6,586,3.5
5,356,2
9,1090,5
4,8169,3
6,588,4
5,363,5
9,1093,4
4,8636,3
6,589,4
5,364,3
