"id","sepal_length","sepal_width","petal_length","petal_width","species"
61,5,2,3.5,1,"versicolor"
101,6.3,3.3,6,2.5,"virginica"
57,6.3,3.3,4.7,1.6,"versicolor"
122,5.6,2.8,4.9,2,"virginica"
38,4.9,3.6,1.4,0.1,"setosa"
141,6.7,3.1,5.6,2.4,"virginica"
118,7.7,3.8,6.7,2.2,"virginica"
19,5.7,3.8,1.7,0.3,"setosa"
78,6.7,3,5,1.7,"versicolor"
17,5.4,3.9,1.3,0.4,"setosa"
72,6.1,2.8,4,1.3,"versicolor"
59,6.6,2.9,4.6,1.3,"versicolor"
76,6.6,3,4.4,1.4,"versicolor"
139,6,3,4.8,1.8,"virginica"
112,6.4,2.7,5.3,1.9,"virginica"
99,5.1,2.5,3,1.1,"versicolor"
116,6.4,3.2,5.3,2.3,"virginica"
34,5.5,4.2,1.4,0.2,"setosa"
7,4.6,3.4,1.4,0.3,"setosa"
36,5,3.2,1.2,0.2,"setosa"
93,5.8,2.6,4,1.2,"versicolor"
13,4.8,3,1.4,0.1,"setosa"
127,6.2,2.8,4.8,1.8,"virginica"
97,5.7,2.9,4.2,1.3,"versicolor"
133,6.4,2.8,5.6,2.2,"virginica"
32,5.4,3.4,1.5,0.4,"setosa"
22,5.1,3.7,1.5,0.4,"setosa"
137,6.3,3.4,5.6,2.4,"virginica"
131,7.4,2.8,6.1,1.9,"virginica"
11,5.4,3.7,1.5,0.2,"setosa"
62,5.9,3,4.2,1.5,"versicolor"
74,6.1,2.8,4.7,1.2,"versicolor"
108,7.3,2.9,6.3,1.8,"virginica"
51,7,3.2,4.7,1.4,"versicolor"
39,4.4,3,1.3,0.2,"setosa"
53,6.9,3.1,4.9,1.5,"versicolor"
26,5,3,1.6,0.2,"setosa"
9,4.4,2.9,1.4,0.2,"setosa"
37,5.5,3.5,1.3,0.2,"setosa"
114,5.7,2.5,5,2,"virginica"
148,6.5,3,5.2,2,"virginica"
49,5.3,3.7,1.5,0.2,"setosa"
77,6.8,2.8,4.8,1.4,"versicolor"
91,5.5,2.6,4.4,1.2,"versicolor"
24,5.1,3.3,1.7,0.5,"setosa"
28,5.2,3.5,1.5,0.2,"setosa"
54,5.5,2.3,4,1.3,"versicolor"
129,6.4,2.8,5.6,2.1,"virginica"
3,4.7,3.2,1.3,0.2,"setosa"
89,5.6,3,4.1,1.3,"versicolor"
94,5,2.3,3.3,1,"versicolor"
47,5.1,3.8,1.6,0.2,"setosa"
43,4.4,3.2,1.3,0.2,"setosa"
68,5.8,2.7,4.1,1,"versicolor"
12,4.8,3.4,1.6,0.2,"setosa"
146,6.7,3,5.2,2.3,"virginica"
1,5.1,3.5,1.4,0.2,"setosa"
87,6.7,3.1,4.7,1.5,"versicolor"
52,6.4,3.2,4.5,1.5,"versicolor"
144,6.8,3.2,5.9,2.3,"virginica"
41,5,3.5,1.3,0.3,"setosa"
66,6.7,3.1,4.4,1.4,"versicolor"
92,6.1,3,4.6,1.4,"versicolor"
102,5.8,2.7,5.1,1.9,"virginica"
18,5.1,3.5,1.4,0.3,"setosa"
106,7.6,3,6.6,2.1,"virginica"
132,7.9,3.8,6.4,2,"virginica"
117,6.5,3,5.5,1.8,"virginica"
79,6,2.9,4.5,1.5,"versicolor"
64,6.1,2.9,4.7,1.4,"versicolor"
109,6.7,2.5,5.8,1.8,"virginica"
14,4.3,3,1.1,0.1,"setosa"
58,4.9,2.4,3.3,1,"versicolor"
104,6.3,2.9,5.6,1.8,"virginica"
27,5,3.4,1.6,0.4,"setosa"
31,4.8,3.1,1.6,0.2,"setosa"
98,6.2,2.9,4.3,1.3,"versicolor"
83,5.8,2.7,3.9,1.2,"versicolor"
149,6.2,3.4,5.4,2.3,"virginica"
29,5.2,3.4,1.4,0.2,"setosa"
56,5.7,2.8,4.5,1.3,"versicolor"
123,7.7,2.8,6.7,2,"virginica"
67,5.6,3,4.5,1.5,"versicolor"
69,6.2,2.2,4.5,1.5,"versicolor"
96,5.7,3,4.2,1.2,"versicolor"
81,5.5,2.4,3.8,1.1,"versicolor"
107,4.9,2.5,4.5,1.7,"virginica"
6,5.4,3.9,1.7,0.4,"setosa"
73,6.3,2.5,4.9,1.5,"versicolor"
142,6.9,3.1,5.1,2.3,"virginica"
147,6.3,2.5,5,1.9,"virginica"
46,4.8,3,1.4,0.3,"setosa"
134,6.3,2.8,5.1,1.5,"virginica"
121,6.9,3.2,5.7,2.3,"virginica"
4,4.6,3.1,1.5,0.2,"setosa"
86,6,3.4,4.5,1.6,"versicolor"
113,6.8,3,5.5,2.1,"virginica"
119,7.7,2.6,6.9,2.3,"virginica"
44,5,3.5,1.6,0.6,"setosa"
23,4.6,3.6,1,0.2,"setosa"
111,6.5,3.2,5.1,2,"virginica"
16,5.7,4.4,1.5,0.4,"setosa"
42,4.5,2.3,1.3,0.3,"setosa"
84,6,2.7,5.1,1.6,"versicolor"
8,5,3.4,1.5,0.2,"setosa"
138,6.4,3.1,5.5,1.8,"virginica"
82,5.5,2.4,3.7,1,"versicolor"
124,6.3,2.7,4.9,1.8,"virginica"
128,6.1,3,4.9,1.8,"virginica"
136,7.7,3,6.1,2.3,"virginica"
21,5.4,3.4,1.7,0.2,"setosa"
126,7.2,3.2,6,1.8,"virginica"
33,5.2,4.1,1.5,0.1,"setosa"
2,4.9,3,1.4,0.2,"setosa"
71,5.9,3.2,4.8,1.8,"versicolor"
48,4.6,3.2,1.4,0.2,"setosa"
88,6.3,2.3,4.4,1.3,"versicolor"
63,6,2.2,4,1,"versicolor"
103,7.1,3,5.9,2.1,"virginica"
143,5.8,2.7,5.1,1.9,"virginica"
