"id","content"
"469","2. <start:per> anthony washington <end> ( <start:loc> u.s. <end> ) 68.44"
"265","<start:org> los angeles <end> 72 61 .541 2"
"40","four one-day warm-up matches at the start of the tour ."
"122"," i want a fifth title ."
"326","it was tough to play at night ."
"530","1= <start:per> andrei tiwontschik <end> ( <start:loc> germany <end> ) 5.86"
"162","<start:org> lg <end> 2 <start:org> ob <end> 0"
"387","<start:per> woods <end> was among a group of 13 players at four under "
"183","results from the u.s. open tennis championships at the <start:loc> national tennis centre <end> on friday ( prefix number denotes seeding ) :"
"244","<start:org> minnesota <end> at <start:loc> milwaukee <end>"
"223","eastern division"
"448","5. <start:per> patrick stevens <end> ( <start:loc> belgium <end> ) 20.54"
"509","6. <start:per> phylis smith <end> ( <start:loc> britain <end> ) 52.05"
"305"," i just kept saying to myself "
"488","3. <start:per> rose cheruiyot <end> ( <start:loc> kenya <end> ) 15:05.41"
"19","cricket - english county championship scores ."
"366","golf - <start:per> henke <end> takes lead in <start:loc> milwaukee <end> "
"101","soccer - <start:loc> romania <end> beat <start:loc> lithuania <end> in under-21 match ."
"345"," <start:per> randall <end> was one of the most exciting quarterbacks in <start:org> nfl <end> history "
"263","western division"
"202","add women s singles "
"427","2. <start:per> patricia djate-taillard <end> ( <start:loc> france <end> ) 4:08.22"
"406","earlier this month he also beat world champion <start:per> bailey <end> in <start:loc> zurich <end> ."
"324","but i think it s not that ."
"467","men s discus"
"284","<start:org> california <end> 14 <start:org> new york <end> 3"
"528","8. <start:per> craig winrow <end> ( <start:loc> britain <end> ) 1:46.66"
"385"," no bogeys on the card "
"181","tennis - friday s results from the u.s. open ."
"141","results of south korean pro-soccer"
"120","<start:per> duran <end> "
"303","<start:per> washington <end> "
"242","<start:org> kansas city <end> at <start:loc> detroit <end>"
"17","by stumps <start:org> kent <end> had reached 108 for three ."
"446","3. <start:per> ato boldon <end> ( <start:loc> trinidad <end> ) 20.37"
"160","results of south korean"
"38","said on friday ."
"282","<start:org> detroit <end> 4 <start:org> kansas city <end> 1"
"343"," i would like to thank the <start:org> eagles <end> organisation and the wonderful fans of <start:org> philadelphia <end> for supporting me throughout my career "
"425","women s 1"
"507","4. <start:per> anja ruecker <end> ( <start:loc> germany <end> ) 51.61"
"139","soccer - results of south korean pro-soccer games ."
"200","add women s singles "
"465","7. <start:per> john mayock <end> ( <start:loc> britain <end> ) 3:54.67"
"364","<start:per> bryan gorman <end>"
"404","<start:loc> jamaica <end> s <start:per> michael green <end> was second with 10.09 with <start:per> bailey <end> finishing in 10.13 ."
"57","may 25 third one-day international ( at <start:loc> lord s <end> "
"36","a six-test series against <start:loc> england <end> during a four-month tour"
"221","lost "
"261","<start:org> chicago <end> 65 66 .496 5"
"118","<start:loc> panama city <end> 1996-08-30"
"97","basketball tournament on friday :"
"486","1. <start:per> gabriela szabo <end> ( <start:loc> romania <end> ) 15 minutes 04.95 seconds"
"322","<start:per> rios <end> did not appreciate <start:per> tarango <end> s antics ."
"383","<start:per> henke <end> "
"362","<start:per> green <end> "
"78","august 16-18 v <start:org> kent <end> ( three days )"
"179","<start:org> ob <end> 42 6 62 .409 20 1/2"
"240","<start:org> california <end> 62 72 .463 13 1/2"
"15","after the frustration of seeing the opening day of their match badly affected by the weather "
"526","6. <start:per> adem hacini <end> ( <start:loc> algeria <end> ) 1:45.64"
"444","1. <start:per> frankie fredericks <end> ( <start:loc> namibia <end> ) 19.97 seconds"
"505","2. <start:per> jearl miles <end> ( <start:loc> u.s. <end> ) 50.42"
"280","baseball games played on thursday ( home team in caps ) :"
"219","major league baseball"
"301","the day programme went smoothly although sixth-seeded former champion <start:per> agassi <end> had to wriggle out of a dangerous 3-6 0-4 hole "
"158","baseball - results of s. korean professional games ."
"137","2 - <start:per> rodney eyles <end> ( <start:loc> australia <end> ) beat <start:per> derek ryan <end> ( <start:loc> ireland <end> ) 15-6 15-9 11-15 15-10 ."
"76","august 1-4 v <start:org> somerset <end> ( four days )"
"484","8. <start:per> inger miller <end> ( <start:loc> u.s. <end> ) 11.37"
"423","6. <start:per> julie baumann <end> ( <start:loc> switzerland <end> ) 13.11"
"402","watched by an array of former olympic sprint champions at the <start:loc> berlin <end> grand prix meeting "
"341","<start:per> cunningham <end> played his entire 11-year career with the <start:org> philadelphia eagles <end> ."
"320"," i played some of my best tennis in college when fraternities were throwing beer on me ."
"463","5. <start:per> marko koers <end> ( <start:loc> netherlands <end> ) 3:53.47"
"177","<start:org> lotte <end> 46 6 54 .462 14 1/2"
"198","<start:per> amanda coetzer <end> ( <start:loc> south africa <end> ) beat <start:per> irina spirlea <end> ( <start:loc> romania <end> ) 7-6 ( 7-5 ) 7-5"
"34","<start:loc> london <end> 1996-08-30"
"55","may 24 second one-day international ( at <start:loc> the oval <end> "
"442","8. <start:per> jack pierce <end> ( <start:loc> u.s. <end> ) 13.60"
"259","<start:org> st louis <end> 69 65 .515 2 1/2"
"299","next door on the grandstand "
"503","women s 400 metres"
"74","july 24-28 fourth test ( at <start:loc> headingley <end> )"
"524","4. <start:per> nico motchebon <end> ( <start:loc> germany <end> ) 1:45.03"
"156","<start:org> chonbuk <end> 0 0 3 3 7 0"
"95","<start:loc> belgrade <end> 1996-08-30"
"53","may 22 first one-day international ( at <start:loc> headingley <end> "
"381","that s always been the worst part of my game ."
"13","<start:org> derbyshire <end> kept up the hunt for their first championship title since 1936 by reducing <start:org> worcestershire <end> to 133 for five in their second innings "
"360","<start:per> wood <end> "
"318"," i love the crowd if they boo me every day ."
"238","<start:org> seattle <end> 70 63 .526 5"
"482","6. <start:per> chandra sturrup <end> ( <start:loc> bahamas <end> ) 11.26"
"217","baseball - major league standings after thursday s games ."
"114","despite the defeat "
"421","4. <start:per> brigita bokovec <end> ( <start:loc> slovenia <end> ) 12.92"
"339","<start:loc> philadelphia <end> 1996-08-29"
"278","<start:loc> new york <end> 1996-08-30"
"379","it was my best round in a very long time ."
"257","central division"
"196","8 - <start:per> lindsay davenport <end> ( <start:loc> u.s. <end> ) beat <start:per> anne-gaelle sidot <end> ( <start:loc> france <end> ) 6-0 6-3"
"135","<start:per> anthony hill <end> ( <start:loc> australia <end> ) beat <start:per> dan jenson <end> ( <start:loc> australia <end> ) 15-9 15-8 15-17 17-15"
"440","6. <start:per> steve brown <end> ( <start:loc> u.s. <end> ) 13.53"
"522","2. <start:per> norberto tellez <end> ( <start:loc> cuba <end> ) 1:44.58"
"297","<start:per> andre agassi <end> escaped disaster on thursday but wimbledon finalist <start:per> malivai washington <end> and <start:per> marcelo rios <end> were not so fortunate on a night of upsets at the u.s. open ."
"400","<start:loc> berlin <end> 1996-08-30"
"358","65 <start:per> billy andrade <end> "
"236","western division"
"11","at the <start:loc> oval <end> "
"461","3. <start:per> william tanui <end> ( <start:loc> kenya <end> ) 3:51.40"
"154","<start:org> chonnam <end> 0 2 1 4 5 2"
"419","2. <start:per> ludmila engquist <end> ( <start:loc> sweden <end> ) 12.74"
