"id","content"
19,"CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES ."
36,"a six-test series against <START:LOCATION> England <END> during a four-month tour"
15,"After the frustration of seeing the opening day of their match badly affected by the weather"
53,"May 22 First one-day international ( at <START:LOCATION> Headingley <END>"
30,"<START:LOCATION> Chesterfield <END> : <START:ORG> Worcestershire <END> 238 and 133-5"
47,"May 13 Arrive in <START:LOCATION> London <END>"
45,"Tour itinerary :"
14,"Australian <START:PER> Tom Moody <END> took six for 82 but <START:PER> Chris Adams <END>"
31,"<START:LOCATION> Bristol <END> : <START:ORG> Gloucestershire <END> 183 and 185-6 ( <START:PER> J. Russell <END> 56 not out )"
29,"<START:LOCATION> Portsmouth <END> : <START:ORG> Middlesex <END> 199 and 426 ( <START:PER> J. Pooley <END> 111"
6,"After bowling <START:ORG> Somerset <END> out for 83 on the opening morning at <START:LOCATION> Grace Road <END>"
23,"<START:ORG> Somerset <END> 83 and 174 ( <START:PER> P. Simmons <END> 4-38 )"
21,"Result and close of play scores in English county championship matches on Friday :"
40,"four one-day warm-up matches at the start of the tour ."
7,"Trailing by 213"
22,"<START:LOCATION> Leicester <END> : <START:ORG> Leicestershire <END> beat <START:ORG> Somerset <END> by an innings and 39 runs ."
39,"<START:LOCATION> Australia <END> will also play three one-day internationals and"
37,"starting on May 13 next year"
35,"<START:LOCATION> Australia <END> will defend the Ashes in"
54,"<START:ORG> Leeds <END> )"
12,"He was well backed by <START:LOCATION> England <END> hopeful <START:PER> Mark Butcher <END> who made 70 as <START:ORG> Surrey <END> closed on 429 for seven"
52,"May 20 v <START:ORG> Durham <END>"
50,"May 17 v <START:ORG> Northampton <END>"
27,"<START:LOCATION> London <END> ( <START:LOCATION> The Oval <END> ) : <START:ORG> Warwickshire <END> 195"
4,"West Indian all-rounder <START:PER> Phil Simmons <END> took four for 38 on Friday as <START:ORG> Leicestershire <END> beat <START:ORG> Somerset <END> by an innings and 39 runs in two days to take over at the head of the county championship ."
44,"<START:LOCATION> Scotland <END> ."
42,"English county sides and another against <START:ORG> British Universities <END>"
38,"said on Friday ."
26,"<START:LOCATION> Tunbridge Wells <END> : <START:ORG> Nottinghamshire <END> 214 ( <START:PER> P. Johnson <END> 84 ; <START:PER> M. McCague <END> 4-55 )"
5,"Their stay on top"
24,"<START:ORG> Leicestershire <END> 22 points"
3,"<START:LOCATION> LONDON <END> 1996-08-30"
43,"as well as one-day matches against the <START:ORG> Minor Counties <END> and"
41,"The tourists will play nine first-class matches against"
20,"<START:LOCATION> LONDON <END> 1996-08-30"
8,"<START:ORG> Essex <END>"
25,"<START:LOCATION> Chester-le-Street <END> : <START:ORG> Glamorgan <END> 259 and 207 ( <START:PER> A. Dale <END> 69"
2,"CRICKET - <START:ORG> LEICESTERSHIRE <END> TAKE OVER AT TOP AFTER INNINGS VICTORY ."
17,"By stumps <START:ORG> Kent <END> had reached 108 for three ."
34,"<START:LOCATION> LONDON <END> 1996-08-30"
13,"<START:ORG> Derbyshire <END> kept up the hunt for their first championship title since 1936 by reducing <START:ORG> Worcestershire <END> to 133 for five in their second innings"
11,"At the <START:LOCATION> Oval <END>"
51,"May 18 v <START:ORG> Worcestershire <END>"
9,"<START:PER> Hussain <END>"
49,"May 15 v <START:ORG> Duke of Norfolk s XI <END> ( at <START:LOCATION> Arundel <END> )"
28,"<START:LOCATION> Hove <END> : <START:ORG> Sussex <END> 363 ( <START:PER> W. Athey <END> 111"
16,"They were held up by a gritty 84 from <START:PER> Paul Johnson <END> but ex-England fast bowler <START:PER> Martin McCague <END> took four for 55 ."
33,"CRICKET - 1997 ASHES INTINERARY ."
10,"By the close <START:ORG> Yorkshire <END> had turned that into a 37-run advantage but off-spinner <START:PER> Such <END> had scuttled their hopes"
48,"May 14 Practice at <START:LOCATION> Lord s <END>"
