"timecode","buoyid","salinity","temperature"
2014-01-06 08:00:00.000000,0,55,10
2014-01-06 08:08:59.999999,0,55,
2014-01-06 08:09:59.999999,0,55,99
2014-01-06 08:10:00.000000,0,55,10
2014-01-06 08:10:00.000000,0,55,100
2014-01-06 09:01:25.122200,1,55,77
2014-01-06 09:01:25.122200,1,55,70
2014-01-06 09:02:25.122200,1,55,78
2014-01-06 09:02:25.122200,1,55,71
2014-01-06 09:03:25.122200,1,55,79
2014-01-06 09:03:25.122200,1,55,72
2014-01-06 21:01:25.122200,2,55,80
2014-01-06 21:02:25.122200,2,55,81
2014-01-06 21:03:25.122200,2,55,82
2014-01-06 10:00:24.000000,44,55,43
2014-01-06 10:00:24.333300,44,55,43
2014-01-06 10:00:25.122200,44,55,43
2014-01-06 10:00:26.122200,44,55,43
2014-01-06 10:01:25.122200,44,55,53
2014-01-06 10:01:25.122200,44,55,54
2014-01-06 10:02:25.122200,44,55,53
2014-01-06 10:02:25.122200,44,55,55
2014-01-06 10:03:25.122200,44,55,53
2014-01-06 10:03:25.122200,44,55,56
2014-01-06 10:12:00.000000,44,55,43
2014-01-06 10:32:12.122200,44,55,43
2014-01-06 10:52:00.000009,44,55,43
