"td_timecode","parcelnumber","status"
2016-10-15 08:00:00,55,picked up from customer
2016-10-15 08:05:00,59,picked up from customer
2016-10-15 09:10:00,55,arrived at receiving station
2016-10-15 09:20:00,60,picked up from customer
2016-10-15 10:00:00,55,in transit to destination
2016-10-15 10:45:00,60,arrived at receiving station
2016-10-15 16:10:00,55,arrived at destination station
2016-10-15 16:30:00,55,in transit to customer
2016-10-15 17:00:00,55,delivered to customer
2016-10-15 08:00:00,75,picked up from customer
2016-10-15 08:05:00,79,picked up from customer
2016-10-15 09:10:00,75,arrived at receiving station
2016-10-15 09:20:00,80,picked up from customer
2016-10-15 10:00:00,75,in transit to destination
2016-10-15 10:45:00,80,arrived at receiving station
2016-10-15 16:10:00,75,arrived at destination station
2016-10-15 16:30:00,75,in transit to customer
2016-10-15 17:00:00,75,delivered to customer
