"sn","city","week","attribute","value1"
5,"nashville",2,"temp","44"
7,"brownsville",3,"temp","46"
6,"brownsville",2,"temp","47"
5,"nashville",2,"pressure","1019.8"
7,"brownsville",3,"pressure","1019.2"
6,"brownsville",2,"pressure","1019"
5,"nashville",2,"dewpoint","29.2f"
7,"brownsville",3,"dewpoint","28.9f"
6,"brownsville",2,"dewpoint","28.9f"
3,"asheville",3,"temp","34"
4,"nashville",1,"temp","42"
3,"asheville",3,"pressure","1021.7"
4,"nashville",1,"pressure","1021"
3,"asheville",3,"dewpoint","28.2f"
4,"nashville",1,"dewpoint","29.4f"
1,"asheville",1,"temp","32"
1,"asheville",1,"pressure","1020.8"
1,"asheville",1,"dewpoint","27.6f"
2,"asheville",2,"temp","32"
2,"asheville",2,"pressure","1021.3"
2,"asheville",2,"dewpoint","27.4f"
