"paraid","word_sn","word","pos_tag"
"3","3","a","DT"
"4","3","boston","NN"
"3","10","winters","NNS"
"4","5","many","JJ"
"3","12","very","RB"
"4","6","historical","JJ"
"3","15","windy","NN"
"4","7","sites","NNS"
"3","9","the","DT"
"4","8",".","O"
"3","2","is","VBZ"
"4","4","have","VBP"
"3","8","but","CC"
"4","2","and","CC"
"3","14","and","CC"
"4","1","philadelphia","NN"
"3","13","cold","JJ"
"3","6","fun","NN"
"3","7",",","O"
"3","1","chicago","NN"
"3","11","are","VBP"
"3","5","of","IN"
"3","16",".","O"
"3","4","lot","NN"
"1","6",".","O"
"1","5","angeles","NNS"
"1","4","los","NNS"
"1","3","in","IN"
"1","2","live","VBP"
"1","1","i","NNS"
"2","8","filled","VBN"
"2","7",",","O"
"2","6","city","NN"
"2","9","with","IN"
"2","5","great","JJ"
"2","4","a","DT"
"2","3","is","VBZ"
"2","2","york","NN"
"2","1","new","JJ"
"2","13",".","O"
"2","12","culture","NN"
"2","11","and","CC"
"2","10","arts","NNS"
