TD_TIMECODE,TD_SEQNO,product_id,beer_sales,wine_sales
2017-05-08 00:00:00.000000, 1, 33, 6.9, 111.7
2017-05-08 01:10:00.000000, 2, 33, 6.9, 111.7
2017-05-08 02:15:00.000000, 3, 33, 7.9, 122.2
2017-05-08 03:20:00.000000, 4, 33, 6.8, 112.8
2017-05-08 04:25:00.000000, 6, 33, 8.1, 100.9
2017-05-08 05:30:00.000000, 7, 33, 7.0, 131.4
2017-05-08 06:35:00.000000, 8, 33, 8.0, 126.2
2017-05-08 07:40:00.000000, 9, 33, 7.1, 161.7
2017-05-08 08:45:00.000000, 10, 33, 8.1, 183.2
2017-05-08 09:50:00.000000, 11, 33, 92.7, 110.6
2017-05-08 10:55:00.000000, 12, 33, 102.1, 151.8
2017-05-08 12:00:00.000000, 13, 33, 83.2, 131.9
2017-05-08 13:10:00.000000, 14, 33, 91.6, 104.7
2017-05-08 14:15:00.000000, 15, 33, 84.8, 129.6
2017-05-08 15:20:00.000000, 16, 33, 65.3, 151.5
2017-05-08 16:25:00.000000, 17, 33, 57.9, 104.2
