"page_id","pagedef","page"
"5","page_url like '%onlinestat%'","ONLINE STATEMENT ENROLLMENT"
"9","page_url like '%deposit%'","VIEW DEPOSIT DETAILS"
"4","page_url like '%fundsxfer%'","FUNDS TRANSFER"
"6","page_url like '%profile%'","PROFILE UPDATE"
"5","page_url like '%onlinestat%'","ONLINE STATEMENT ENROLLMENT"
"9","page_url like '%deposit%'","VIEW DEPOSIT DETAILS"
"4","page_url like '%fundsxfer%'","FUNDS TRANSFER"
"6","page_url like '%profile%'","PROFILE UPDATE"
"3","page_url like '%achist%'","ACCOUNT HISTORY"
"3","page_url like '%achist%'","ACCOUNT HISTORY"
"1","page_url like '%acsum%'","ACCOUNT SUMMARY"
"1","page_url like '%acsum%'","ACCOUNT SUMMARY"
"8","page_url like '%customer%'","CUSTOMER SUPPORT"
"8","page_url like '%customer%'","CUSTOMER SUPPORT"
"2","page_url like '%faq%'","FAQ"
"2","page_url like '%faq%'","FAQ"
