station_id,seq_no,timevalue,flow_velocity
101201,1,1989-06-15,5.53e+01
101201,2,1989-07-15,3.263e+02
101201,3,1989-08-15,5.104e+02
101201,4,1989-09-15,1.001e+02
101201,5,1989-10-15,5.44e+01
101201,6,1989-11-15,2.61e+01
101201,7,1989-12-15,1.24e+01
101201,8,1990-01-15,5.7e+00
101201,9,1990-02-15,3e+00
101201,10,1990-03-15,2.1e+00
101201,11,1990-04-15,9.5e-01
101201,12,1990-05-15,8.2e-01
101201,13,1990-06-15,2.2148e+02
101201,14,1990-07-15,6.3014e+02
101201,15,1990-08-15,5.9097e+02
101201,16,1990-09-15,1.1995e+02
101201,17,1990-10-15,4.24e+01
101201,18,1990-11-15,1.513e+01
101201,19,1990-12-15,8.39e+00
101201,20,1991-01-15,4.03e+00
101201,21,1991-02-15,1.66e+00
101201,22,1991-03-15,1.22e+00
101201,23,1991-04-15,8.4e-01
101201,24,1991-05-15,9.7e-01
101201,25,1991-06-15,1.314e+02
101201,26,1991-07-15,5.3891e+02
101201,27,1991-08-15,5.7395e+02
101201,28,1991-09-15,1.5117e+02
101201,29,1991-10-15,5.295e+01
101201,30,1991-11-15,1.955e+01
101201,31,1991-12-15,8.41e+00
101201,32,1992-01-15,4.49e+00
101201,33,1992-02-15,1.91e+00
101201,34,1992-03-15,1.14e+00
101201,35,1992-04-15,7.6e-01
101201,36,1992-05-15,1.04e+00
101201,37,1992-06-15,1.0021e+02
101201,38,1992-07-15,6.3422e+02
101201,39,1992-08-15,7.887e+01
101201,40,1992-09-15,8.419e+01
101201,41,1992-10-15,3.332e+01
101201,42,1992-11-15,1.71e+01
101201,43,1992-12-15,6.9e+00
101201,44,1993-01-15,3.44e+00
101201,45,1993-02-15,1.99e+00
101201,46,1993-03-15,1.2e+00
101201,47,1993-04-15,8.8e-01
101201,48,1993-05-15,6.4e-01
101201,49,1993-06-15,1.726e+02
101201,50,1993-07-15,4.461e+02
101201,51,1993-08-15,5.147e+02
101201,52,1993-09-15,2.109e+02
101201,53,1993-10-15,6.19e+01
101201,54,1993-11-15,2.39e+01
101201,55,1993-12-15,8.39e+00
101201,56,1994-01-15,4.45e+00
101201,57,1994-02-15,2.25e+00
101201,58,1994-03-15,1.08e+00
101201,59,1994-04-15,8.1e-01
101201,60,1994-05-15,5.9e-01
101201,61,1994-06-15,1.485e+02
101201,62,1994-07-15,6.401e+02
101201,63,1994-08-15,2.953e+02
101201,64,1994-09-15,1.295e+02
101201,65,1994-10-15,8.04e+01
101201,66,1994-11-15,2.199e+01
101201,67,1994-12-15,1.04e+01
101201,68,1995-01-15,4.45e+00
101201,69,1995-02-15,2.55e+00
101201,70,1995-03-15,1.39e+00
101201,71,1995-04-15,6.9e-01
101201,72,1995-05-15,8.5e-01
101201,73,1995-06-15,1.764e+02
101201,74,1995-07-15,3.332e+02
101201,75,1995-08-15,3.951e+02
101201,76,1995-09-15,7.49e+01
101201,77,1995-10-15,1.0155e+02
101201,78,1995-11-15,2.175e+01
101201,79,1995-12-15,1.11e+01
101201,80,1996-01-15,3.99e+00
101201,81,1996-02-15,1.87e+00
101201,82,1996-03-15,1.36e+00
101201,83,1996-04-15,1.05e+00
101201,84,1996-05-15,6.9e-01
101201,85,1996-06-15,1.281e+02
101201,86,1996-07-15,2.902e+02
101201,87,1996-08-15,4.004e+02
101201,88,1996-09-15,5.299e+01
101201,89,1996-10-15,3.105e+01
101201,90,1996-11-15,2.099e+01
101201,91,1996-12-15,6.39e+00
101201,92,1997-01-15,2.58e+00
101201,93,1997-02-15,1.65e+00
101201,94,1997-03-15,7.1e-01
101201,95,1997-04-15,5.9e-01
101201,96,1997-05-15,4.8e-01
101201,97,1997-06-15,6.23e+01
101201,98,1997-07-15,2.991e+02
101201,99,1997-08-15,2.684e+02
101201,100,1997-09-15,9.611e+01
101201,101,1997-10-15,7.984e+01
101201,102,1997-11-15,2.713e+01
101201,103,1997-12-15,1.044e+01
101201,104,1998-01-15,3.72e+00
101201,105,1998-02-15,1.71e+00
101201,106,1998-03-15,6.9e-01
101201,107,1998-04-15,5.9e-01
101201,108,1998-05-15,3.9e-01
101201,109,1998-06-15,4.122e+01
101201,110,1998-07-15,6.2812e+02
101201,111,1998-08-15,4.334e+02
101201,112,1998-09-15,2.529e+02
101201,113,1998-10-15,7.51e+01
101201,114,1998-11-15,1.822e+01
101201,115,1998-12-15,7.16e+00
101201,116,1999-01-15,3.44e+00
101201,117,1999-02-15,1.65e+00
101201,118,1999-03-15,9e-01
101201,119,1999-04-15,5.8e-01
101201,120,1999-05-15,9.4e-01
101201,121,1999-06-15,1.684e+02
101201,122,1999-07-15,4.008e+02
101201,123,1999-08-15,2.824e+02
101201,124,1999-09-15,1.056e+02
101201,125,1999-10-15,6.15e+01
101201,126,1999-11-15,2.01e+01
101201,127,1999-12-15,6.85e+00
101201,128,2000-01-15,3.4e+00
101201,129,2000-02-15,1.61e+00
101201,130,2000-03-15,9.8e-01
101201,131,2000-04-15,7.4e-01
101201,132,2000-05-15,1.85e+00
101201,133,2000-06-15,1.525e+02
101201,134,2000-07-15,5.984e+02
101201,135,2000-08-15,4.773e+02
101201,136,2000-09-15,1.951e+02
101201,137,2000-10-15,3.611e+01
101201,138,2000-11-15,2.499e+01
101201,139,2000-12-15,1.102e+01
101201,140,2001-01-15,4.07e+00
101201,141,2001-02-15,2.08e+00
101201,142,2001-03-15,1.2e+00
101201,143,2001-04-15,1.31e+00
101201,144,2001-05-15,1.14e+00
