"orderid","orderdate","orderqty","region","customer_segment","prd_category","product"
5607,2011-12-31,8,"nunavut","home office","technology","telephones and communication"
11460,2010-08-24,30,"northwest territories","home office","office supplies","labels"
54528,2011-01-04,17,"northwest territories","consumer","office supplies","pens & art supplies"
36134,2010-11-22,6,"northwest territories","corporate","technology","telephones and communication"
46980,2011-01-17,34,"northwest territories","corporate","office supplies","labels"
43781,2010-02-02,45,"northwest territories","small business","office supplies","envelopes"
54528,2011-01-04,8,"northwest territories","consumer","office supplies","pens & art supplies"
58055,2011-10-27,26,"atlantic","consumer","furniture","office furnishings"
9927,2011-08-16,32,"northwest territories","corporate","furniture","bookcases"
43781,2010-02-02,21,"northwest territories","small business","office supplies","binders and binder accessories"
45861,2011-08-25,39,"northwest territories","small business","technology","telephones and communication"
55363,2010-12-28,14,"northwest territories","consumer","office supplies","storage & organization"
9927,2011-08-16,44,"northwest territories","corporate","furniture","chairs & chairmats"
16741,2010-09-30,6,"northwest territories","small business","office supplies","paper"
37541,2010-02-26,3,"northwest territories","small business","technology","computer peripherals"
13702,2011-09-10,6,"northwest territories","small business","office supplies","paper"
9927,2011-08-16,34,"northwest territories","corporate","technology","computer peripherals"
2976,2010-12-09,30,"nunavut","consumer","furniture","chairs & chairmats"
37541,2010-02-26,10,"northwest territories","small business","office supplies","paper"
39457,2011-06-02,40,"northwest territories","home office","furniture","chairs & chairmats"
995,2011-05-30,46,"nunavut","home office","furniture","office furnishings"
1792,2010-11-08,28,"nunavut","consumer","office supplies","storage & organization"
37541,2010-02-26,18,"northwest territories","small business","office supplies","storage & organization"
6116,2009-03-20,6,"nunavut","corporate","office supplies","scissors, rulers and trimmers"
40902,2009-07-07,25,"northwest territories","home office","office supplies","binders and binder accessories"
13313,2009-07-16,47,"northwest territories","home office","office supplies","appliances"
26182,2010-01-16,30,"northwest territories","corporate","furniture","bookcases"
1344,2012-04-15,15,"nunavut","corporate","technology","telephones and communication"
29095,2011-03-08,40,"northwest territories","small business","office supplies","binders and binder accessories"
40067,2012-02-17,38,"northwest territories","corporate","technology","telephones and communication"
43392,2010-12-31,39,"northwest territories","small business","office supplies","envelopes"
1344,2012-04-15,18,"nunavut","corporate","technology","telephones and communication"
9763,2011-08-13,44,"northwest territories","corporate","office supplies","labels"
26567,2009-09-04,8,"northwest territories","corporate","office supplies","binders and binder accessories"
8419,2011-09-29,19,"nunavut","small business","office supplies","paper"
2791,2009-10-09,47,"nunavut","corporate","office supplies","binders and binder accessories"
18144,2011-06-07,48,"northwest territories","corporate","office supplies","paper"
26567,2009-09-04,10,"northwest territories","corporate","technology","computer peripherals"
8419,2011-09-29,24,"nunavut","small business","office supplies","paper"
2791,2009-10-09,49,"nunavut","corporate","furniture","chairs & chairmats"
18144,2011-06-07,8,"northwest territories","corporate","office supplies","storage & organization"
26567,2009-09-04,22,"northwest territories","corporate","furniture","office furnishings"
37253,2012-09-01,46,"northwest territories","small business","technology","computer peripherals"
2791,2009-10-09,18,"nunavut","corporate","office supplies","paper"
18144,2011-06-07,41,"northwest territories","corporate","technology","telephones and communication"
26567,2009-09-04,48,"northwest territories","corporate","technology","telephones and communication"
28035,2011-05-08,19,"northwest territories","home office","office supplies","binders and binder accessories"
10499,2010-11-16,29,"northwest territories","corporate","furniture","tables"
17286,2010-09-21,7,"northwest territories","small business","furniture","chairs & chairmats"
43329,2010-03-07,42,"northwest territories","corporate","office supplies","appliances"
11456,2010-04-12,15,"northwest territories","corporate","furniture","office furnishings"
44839,2012-06-11,27,"northwest territories","consumer","furniture","office furnishings"
22342,2009-05-29,13,"northwest territories","small business","technology","telephones and communication"
55298,2009-08-02,1,"northwest territories","corporate","furniture","chairs & chairmats"
33377,2011-07-31,20,"northwest territories","corporate","office supplies","paper"
33888,2009-08-20,31,"northwest territories","home office","office supplies","binders and binder accessories"
41184,2011-09-22,7,"northwest territories","home office","office supplies","storage & organization"
28870,2011-11-10,35,"northwest territories","corporate","technology","telephones and communication"
33377,2011-07-31,19,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
33888,2009-08-20,3,"northwest territories","home office","office supplies","storage & organization"
51971,2011-10-03,39,"northwest territories","home office","office supplies","storage & organization"
31684,2012-09-16,15,"northwest territories","corporate","office supplies","paper"
33703,2010-02-06,4,"northwest territories","corporate","technology","computer peripherals"
33888,2009-08-20,47,"northwest territories","home office","office supplies","storage & organization"
51971,2011-10-03,22,"northwest territories","home office","furniture","tables"
31684,2012-09-16,28,"northwest territories","corporate","office supplies","storage & organization"
33703,2010-02-06,25,"northwest territories","corporate","office supplies","storage & organization"
23488,2009-01-06,30,"northwest territories","home office","furniture","bookcases"
44772,2009-03-31,1,"northwest territories","corporate","technology","telephones and communication"
54276,2010-02-06,21,"northwest territories","small business","office supplies","paper"
33703,2010-02-06,4,"northwest territories","corporate","office supplies","storage & organization"
48101,2011-09-12,4,"northwest territories","home office","office supplies","paper"
19078,2009-07-27,21,"northwest territories","corporate","office supplies","appliances"
12289,2011-12-24,25,"northwest territories","corporate","technology","office machines"
32193,2010-10-20,4,"northwest territories","small business","office supplies","paper"
18308,2009-10-09,30,"northwest territories","corporate","office supplies","binders and binder accessories"
5925,2011-11-12,44,"nunavut","home office","furniture","office furnishings"
43203,2012-02-14,32,"northwest territories","home office","office supplies","paper"
32193,2010-10-20,27,"northwest territories","small business","office supplies","rubber bands"
18308,2009-10-09,15,"northwest territories","corporate","technology","computer peripherals"
5925,2011-11-12,25,"nunavut","home office","technology","telephones and communication"
29030,2012-01-02,10,"northwest territories","corporate","office supplies","pens & art supplies"
14819,2010-01-25,48,"northwest territories","home office","office supplies","appliances"
18308,2009-10-09,49,"northwest territories","corporate","technology","telephones and communication"
58434,2009-03-09,42,"atlantic","home office","furniture","office furnishings"
49952,2011-11-19,12,"northwest territories","corporate","furniture","office furnishings"
14819,2010-01-25,27,"northwest territories","home office","furniture","bookcases"
16451,2009-07-22,9,"northwest territories","corporate","office supplies","binders and binder accessories"
37634,2012-05-21,32,"northwest territories","corporate","office supplies","storage & organization"
6884,2009-01-15,41,"nunavut","home office","office supplies","paper"
7906,2009-10-17,37,"nunavut","consumer","office supplies","appliances"
10945,2012-01-03,14,"northwest territories","consumer","technology","telephones and communication"
31781,2009-01-16,46,"northwest territories","corporate","office supplies","binders and binder accessories"
6884,2009-01-15,47,"nunavut","home office","office supplies","paper"
50688,2011-12-16,50,"northwest territories","home office","office supplies","scissors, rulers and trimmers"
12352,2012-03-23,5,"northwest territories","corporate","office supplies","binders and binder accessories"
31781,2009-01-16,41,"northwest territories","corporate","office supplies","rubber bands"
50278,2010-05-25,2,"northwest territories","corporate","office supplies","binders and binder accessories"
59395,2012-04-22,20,"atlantic","small business","office supplies","paper"
3908,2010-03-08,8,"nunavut","corporate","technology","telephones and communication"
33922,2010-02-27,31,"northwest territories","home office","technology","office machines"
50278,2010-05-25,20,"northwest territories","corporate","furniture","tables"
35047,2010-06-09,31,"northwest territories","home office","office supplies","rubber bands"
27909,2012-02-07,1,"northwest territories","corporate","office supplies","paper"
32229,2010-08-30,8,"northwest territories","corporate","technology","office machines"
15591,2012-06-06,31,"northwest territories","small business","furniture","office furnishings"
41409,2011-07-21,1,"northwest territories","corporate","office supplies","binders and binder accessories"
27909,2012-02-07,47,"northwest territories","corporate","office supplies","rubber bands"
32229,2010-08-30,15,"northwest territories","corporate","office supplies","pens & art supplies"
16039,2012-05-16,3,"northwest territories","home office","technology","computer peripherals"
10535,2011-05-27,25,"northwest territories","corporate","furniture","office furnishings"
58150,2010-05-07,24,"atlantic","corporate","office supplies","binders and binder accessories"
6535,2012-06-12,11,"nunavut","corporate","office supplies","pens & art supplies"
9126,2009-11-17,47,"northwest territories","corporate","office supplies","appliances"
10535,2011-05-27,46,"northwest territories","corporate","office supplies","pens & art supplies"
25318,2011-11-19,22,"northwest territories","small business","furniture","office furnishings"
25377,2012-11-26,3,"northwest territories","corporate","technology","office machines"
31169,2011-06-09,6,"northwest territories","home office","furniture","office furnishings"
53990,2012-11-01,44,"northwest territories","corporate","technology","telephones and communication"
54274,2010-11-23,20,"northwest territories","corporate","office supplies","appliances"
35266,2011-01-10,39,"northwest territories","corporate","office supplies","pens & art supplies"
27680,2010-01-26,32,"northwest territories","small business","office supplies","appliances"
21383,2009-01-30,31,"northwest territories","consumer","technology","office machines"
1540,2012-08-04,30,"nunavut","home office","office supplies","pens & art supplies"
35266,2011-01-10,28,"northwest territories","corporate","furniture","tables"
27680,2010-01-26,19,"northwest territories","small business","office supplies","paper"
31558,2011-07-23,12,"northwest territories","home office","office supplies","appliances"
13795,2011-04-10,30,"northwest territories","small business","office supplies","binders and binder accessories"
33186,2012-08-28,24,"northwest territories","corporate","technology","telephones and communication"
24294,2009-08-02,24,"northwest territories","home office","technology","office machines"
31558,2011-07-23,42,"northwest territories","home office","technology","computer peripherals"
13795,2011-04-10,23,"northwest territories","small business","office supplies","paper"
40160,2009-10-15,23,"northwest territories","consumer","furniture","office furnishings"
33123,2010-11-24,41,"northwest territories","corporate","furniture","bookcases"
10022,2009-03-04,1,"northwest territories","small business","office supplies","paper"
13795,2011-04-10,37,"northwest territories","small business","office supplies","paper"
19686,2010-08-15,2,"northwest territories","corporate","technology","office machines"
52964,2010-03-31,44,"northwest territories","corporate","furniture","office furnishings"
31270,2012-11-23,21,"northwest territories","corporate","furniture","chairs & chairmats"
47462,2011-06-09,43,"northwest territories","corporate","office supplies","binders and binder accessories"
19686,2010-08-15,11,"northwest territories","corporate","office supplies","binders and binder accessories"
27392,2012-03-02,37,"northwest territories","corporate","technology","office machines"
31270,2012-11-23,3,"northwest territories","corporate","furniture","chairs & chairmats"
47462,2011-06-09,18,"northwest territories","corporate","office supplies","pens & art supplies"
293,2012-10-01,49,"nunavut","consumer","office supplies","appliances"
47620,2012-06-26,27,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
31270,2012-11-23,5,"northwest territories","corporate","technology","computer peripherals"
47462,2011-06-09,41,"northwest territories","corporate","office supplies","rubber bands"
293,2012-10-01,27,"nunavut","consumer","office supplies","binders and binder accessories"
24128,2010-11-23,13,"northwest territories","corporate","office supplies","paper"
56453,2012-04-11,1,"northwest territories","corporate","technology","office machines"
1702,2011-05-06,23,"nunavut","home office","office supplies","pens & art supplies"
1761,2010-12-23,25,"nunavut","corporate","technology","copiers and fax"
24128,2010-11-23,43,"northwest territories","corporate","technology","telephones and communication"
34246,2010-10-07,49,"northwest territories","home office","office supplies","appliances"
30658,2011-03-26,35,"northwest territories","corporate","technology","copiers and fax"
29861,2012-04-25,11,"northwest territories","small business","office supplies","labels"
57509,2009-02-21,39,"northwest territories","home office","office supplies","labels"
34246,2010-10-07,18,"northwest territories","home office","technology","office machines"
30658,2011-03-26,44,"northwest territories","corporate","office supplies","storage & organization"
48295,2009-11-23,48,"northwest territories","small business","technology","office machines"
57509,2009-02-21,11,"northwest territories","home office","furniture","tables"
34246,2010-10-07,27,"northwest territories","home office","office supplies","envelopes"
47460,2010-10-10,12,"northwest territories","corporate","office supplies","pens & art supplies"
40036,2010-06-07,10,"northwest territories","home office","technology","telephones and communication"
54083,2011-07-21,10,"northwest territories","home office","office supplies","appliances"
9509,2012-10-07,36,"northwest territories","home office","furniture","chairs & chairmats"
11202,2012-03-17,8,"northwest territories","corporate","office supplies","binders and binder accessories"
58144,2009-12-16,29,"atlantic","small business","office supplies","paper"
6182,2012-07-21,40,"nunavut","corporate","office supplies","paper"
9509,2012-10-07,5,"northwest territories","home office","office supplies","paper"
4676,2011-08-31,11,"nunavut","home office","technology","telephones and communication"
42564,2012-09-12,35,"northwest territories","small business","furniture","chairs & chairmats"
6182,2012-07-21,18,"nunavut","corporate","office supplies","paper"
9509,2012-10-07,32,"northwest territories","home office","office supplies","paper"
4676,2011-08-31,50,"nunavut","home office","office supplies","labels"
29287,2009-07-02,50,"northwest territories","consumer","office supplies","binders and binder accessories"
11137,2012-11-29,48,"northwest territories","small business","office supplies","storage & organization"
12771,2009-01-17,40,"northwest territories","small business","office supplies","labels"
4676,2011-08-31,3,"nunavut","home office","office supplies","paper"
29287,2009-07-02,49,"northwest territories","consumer","technology","office machines"
29510,2011-04-15,22,"northwest territories","home office","furniture","bookcases"
12771,2009-01-17,46,"northwest territories","small business","office supplies","pens & art supplies"
4676,2011-08-31,30,"nunavut","home office","technology","telephones and communication"
24515,2010-05-06,41,"northwest territories","home office","technology","office machines"
17764,2009-09-16,27,"northwest territories","home office","office supplies","paper"
22151,2010-07-31,49,"northwest territories","corporate","furniture","office furnishings"
34631,2009-10-23,5,"northwest territories","corporate","office supplies","binders and binder accessories"
6916,2010-06-04,40,"nunavut","consumer","office supplies","storage & organization"
12929,2010-08-30,19,"northwest territories","corporate","furniture","chairs & chairmats"
12485,2010-08-07,24,"northwest territories","home office","furniture","chairs & chairmats"
34631,2009-10-23,19,"northwest territories","corporate","technology","copiers and fax"
53797,2009-10-01,10,"northwest territories","small business","furniture","bookcases"
12929,2010-08-30,20,"northwest territories","corporate","office supplies","paper"
18113,2012-08-28,27,"northwest territories","consumer","furniture","chairs & chairmats"
20071,2011-09-17,31,"northwest territories","home office","furniture","chairs & chairmats"
3,2010-10-13,6,"nunavut","small business","office supplies","storage & organization"
36135,2011-05-30,33,"northwest territories","consumer","technology","telephones and communication"
1412,2010-03-12,13,"nunavut","consumer","office supplies","labels"
678,2010-02-26,44,"nunavut","home office","office supplies","paper"
12544,2009-03-03,34,"northwest territories","corporate","furniture","office furnishings"
34177,2009-08-15,13,"northwest territories","corporate","office supplies","labels"
1412,2010-03-12,21,"nunavut","consumer","office supplies","rubber bands"
16706,2012-06-27,47,"northwest territories","corporate","furniture","office furnishings"
