"userid","itemid"
61,"11 14 7 "
265,"3 10 9 "
40,"2 3  "
122,"3 9  "
326,"5   "
244,"3   "
162,"3 7 8 4"
19,"17   "
183,"3   "
305,"18   "
223,"4   "
263,"3 10  "
202,"9 13  "
101,"1 4  "
80,"14   "
59,"14 5  "
181,"7   "
284,"18   "
120,"1   "
324,"3 18 5 "
242,"3   "
141,"13   "
200,"3 6  "
303,"9 13 6 "
38,"8   "
17,"13   "
57,"2   "
99,"7 8  "
221,"7   "
282,"5   "
118,"3   "
160,"18   "
78,"3   "
139,"9   "
240,"3 14 12 "
36,"5   "
219,"6   "
261,"10   "
158,"14   "
97,"8   "
76,"8 4  "
322,"4   "
55,"1   "
15,"18 6  "
341,"3 8  "
179,"4   "
95,"5   "
280,"8   "
198,"3   "
301,"9   "
217,"2 10 9 "
137,"18 5  "
259,"2   "
320,"9   "
278,"15   "
177,"5   "
116,"3 7 4 "
34,"3   "
135,"10   "
74,"3   "
238,"4   "
299,"18 13  "
175,"2 15  "
53,"14   "
257,"8   "
156,"5   "
72,"18   "
318,"3   "
236,"3 14 8 "
13,"11 4  "
255,"3 7  "
114,"14   "
93,"2 11  "
339,"18   "
112,"5   "
154,"6   "
276,"13   "
196,"2 1  "
173,"5   "
215,"18 4  "
133,"4   "
32,"2   "
295,"8   "
30,"4   "
234,"3 8  "
297,"9   "
213,"7 5 15 "
91,"11   "
274,"8   "
11,"8   "
110,"14   "
152,"3   "
131,"8 1  "
337,"2 14  "
150,"9   "
70,"3   "
253,"4   "
194,"1   "
7,"5   "
335,"18 13  "
314,"7   "
51,"10   "
272,"4   "
192,"8   "
293,"4   "
316,"1   "
190,"4   "
232,"8   "
312,"13   "
9,"2 1  "
230,"1   "
333,"3   "
108,"5 13  "
49,"11 7 8 "
270,"14   "
129,"13   "
26,"3   "
171,"3 11  "
127,"13   "
47,"1   "
291,"10   "
28,"3   "
310,"2   "
169,"5   "
148,"8   "
89,"3 5  "
167,"9   "
209,"13 1  "
5,"3 1  "
211,"5   "
228,"7   "
45,"13   "
331,"14 7  "
68,"4   "
268,"8   "
85,"1 4  "
188,"17 1  "
251,"4   "
165,"7 1 4 "
146,"9   "
24,"7   "
87,"5   "
22,"7 5  "
207,"4   "
289,"3 12  "
66,"13   "
205,"11   "
125,"5   "
3,"4   "
249,"2   "
62,"5   "
247,"1   "
329,"8 5 1 "
106,"8 13 4 "
327,"3   "
287,"8   "
186,"3 11  "
64,"12   "
245,"13 4  "
144,"9   "
43,"15   "
104,"13 15  "
285,"2   "
184,"3 9  "
308,"4   "
226,"1   "
325,"8   "
102,"5   "
1,"1   "
83,"18 13  "
182,"13   "
224,"4   "
41,"8 4  "
266,"8   "
39,"4   "
264,"3 4  "
306,"3 8  "
123,"13   "
222,"3   "
100,"7   "
163,"8   "
81,"8   "
283,"9   "
140,"7 18 18 "
20,"1   "
142,"7 5  "
37,"5   "
201,"5 6  "
203,"2   "
121,"7   "
220,"13 12  "
262,"10   "
60,"18   "
243,"14   "
77,"9   "
302,"13   "
18,"13   "
304,"8   "
260,"4   "
199,"5 1  "
79,"9   "
161,"4   "
35,"7   "
117,"4   "
58,"1   "
119,"2   "
300,"1 12  "
239,"4   "
323,"18 12  "
159,"5 1  "
340,"9   "
157,"11   "
180,"4   "
16,"3 7  "
54,"5   "
14,"4   "
241,"8   "
281,"18 13  "
237,"7   "
279,"15   "
98,"11 8 5 "
138,"11   "
94,"8 9 13 "
319,"8 1  "
56,"3 8 5 6"
321,"5   "
12,"10   "
155,"14 7  "
96,"14 8  "
178,"1   "
277,"3 13 6 "
216,"3   "
218,"3 17  "
136,"3   "
338,"5   "
195,"8 15  "
75,"1 12  "
197,"2 7  "
52,"2   "
256,"5   "
258,"2   "
176,"3   "
92,"7   "
317,"7   "
115,"5 1 4 "
33,"18 5 4 "
275,"18   "
31,"18   "
73,"12   "
298,"1 12  "
132,"8   "
254,"3   "
134,"4   "
174,"3   "
50,"14   "
172,"5 6  "
113,"14   "
153,"7 5  "
315,"14   "
29,"5   "
235,"14   "
214,"9   "
252,"14   "
294,"4   "
296,"4   "
10,"3   "
109,"9   "
212,"3 1  "
111,"7   "
71,"8   "
27,"14   "
69,"1   "
90,"3   "
336,"12   "
292,"15   "
334,"7 8  "
151,"7 10  "
193,"14 7  "
149,"8   "
210,"7 1  "
8,"5 6  "
233,"5 12  "
67,"5   "
6,"1   "
273,"7 5  "
191,"5   "
332,"13   "
271,"8 9  "
130,"4   "
48,"3   "
107,"5   "
250,"2 14  "
313,"8   "
231,"15   "
147,"14   "
46,"5   "
170,"2 5  "
88,"5   "
4,"2   "
311,"5   "
128,"9   "
189,"3 18  "
330,"8   "
86,"2   "
168,"1 4  "
229,"7 5 1 "
187,"18   "
309,"2   "
25,"14   "
208,"5 15  "
44,"5   "
227,"6   "
290,"3   "
269,"4   "
105,"14 12  "
23,"18 4  "
126,"3 4  "
65,"8 13  "
42,"5   "
84,"14 5  "
166,"8   "
248,"3   "
307,"11   "
267,"4   "
288,"18   "
63,"3   "
164,"7   "
124,"14   "
145,"8 12  "
246,"7   "
82,"17 1  "
21,"13   "
206,"4   "
103,"3   "
204,"8   "
2,"2 3  "
225,"7   "
328,"2   "
286,"9 1  "
185,"11   "
143,"5 4  "
