"skey","points","linestrings","polygons","geom_collections","geosequence"
1001,"POINT(10 20)","LINESTRING(1 1, 2 2, 3 3,4 4)","Polygon((0 0, 0 20, 20 20, 20 0, 0 0))","GEOMETRYCOLLECTION(POINT(10 10), POINT(30 30), LINESTRING(15 15, 20 20))","GEOSEQUENCE( (10 20, 30 40, 50 60),(2007-08-22 12:05:23.56,2007-08-22 12:08:25.14,2007-08-22 12:11:41.52),(1, 2, 3),(2, 10, 12, 11, 18, 21, 19))"
1002,"POINT(1 3)","LineString(1 3, 3 0, 0 1)","POLYGON((0 0, 0 20, 20 20, 20 0, 0 0), (5 5, 5 10, 10 10, 10 5, 5 5))",,"GeoSequence( (10 10, 15 15, -2 0),(2007-03-14 01:35:00, 2007-03-14 01:35:05, 2007-03-14 01:35:08),(1222, 1223, 1224),(2, 12.1, 3.14159, 2.78128, -10, -11, 100.1))"
1003,"POINT(235.52 54.546)","LineString(1.35 3.6456, 3.6756 0.23, 0.345 1.756)","Polygon((0.6 0.8, 0.6 20.8, 20.6 20.8, 20.6 0.8, 0.6 0.8))",,
1004,"POINT(10 20 30)","Linestring(10 20 30,40 50 60, 70 80 80)","POLYGON((0 0 0, 0 10 20, 20 20 30, 20 10 0, 0 0 0), (5 5 5, 5 10 10, 10 10 10, 10 10 5, 5 5 5))","Geometrycollection(Point(10 20 30),Linestring(1 2 3,4 5 6,7 8 9),Polygon((0 0 0,0 40 40,40 40 40,40 0 40,0 0 0)))",
1005,"POINT(1 3 5)","LineString(1 3 6, 3 0 6, 6 0 1)","Polygon((0 0 0, 0 0 20.435, 0 20.435 0, 0 20.435 20.435, 20.435 0 0, 20.435 0 20.435, 20.435 20.435 0, 20.435 20.435 20.435, 0 0 0))","Geometrycollection(Point(10 20 30),Linestring(1 2 3,4 5 6,7 8 9),Polygon((0 0 0,0 40 40,40 40 40,40 0 40,0 0 0)))",
1006,"POINT(235.52 54.546 7.4564)","LineString(1.35 3.6456 4.5, 3.6756 0.23 6.8, 0.345 1.756 8.9)","Polygon((0 0 0, 0 0 20, 0 20 0, 0 20 20, 20 0 0, 20 0 20, 20 20 0, 20 20 20, 0 0 0))",,
1007,"MultiPoint((1 1), (1 3), (6 3), (10 5), (20 1))","MULTILINESTRING((1 1, 1 3, 6 3), (10 5, 20 1))","MULTIPOLYGON(((1 1, 1 3, 6 3, 6 0, 1 1)),((10 5, 10 10, 20 10, 20 5, 10 5)))",,
1008,"MultiPoint((1.65 1.76), (1.23 3.76), (6.23 3.78), (10.76 5.9), (20.32 1.231))","MultiLineString((1 3, 3 0, 0 1), (1.35 3.6456, 3.6756 0.23, 0.345 1.756))","MultiPolygon(((0 0, 0 20, 20 20, 20 0, 0 0)), ((0.6 0.8, 0.6 20.8, 20.6 20.8, 20.6 0.8, 0.6 0.8)))",,
1009,"MultiPoint((10 20 30),(40 50 60), (70 80 80))","MultiLinestring((10 20 30,40 50 60), (70 80 80, 90 100 110))","MultiPolygon(((0 0 0,0 20 20,20 20 20,20 0 20,0 0 0)),((50 50 50,50 90 90,90 90 90,90 50 90,50 50 50)))",,
1010,"MultiPoint((10.345 20.32 30.6),(40.234 50.23 60.24), (70.234 80.56 80.234))","MultiLineString((1 3 6, 3 0 6, 6 0 1), (1.35 3.6456 4.5, 3.6756 0.23 6.8, 0.345 1.756 8.9))","MultiPolygon(((0 0 0, 0 0 20, 0 20 0, 0 20 20, 20 0 0, 20 0 20, 20 20 0, 20 20 20, 0 0 0)), ((0 0 0, 0 0 20.435, 0 20.435 0, 0 20.435 20.435, 20.435 0 0, 20.435 0 20.435, 20.435 20.435 0, 20.435 20.435 20.435, 0 0 0)))",,
