"id","score","stratum"
61,6,"fair"
17,9,"fair"
40,47,"fair"
19,25,"fair"
38,22,"fair"
34,34,"fair"
80,95,"excellent"
59,89,"very good"
78,91,"excellent"
13,87,"very good"
57,75,"fair"
99,44,"fair"
76,100,"excellent"
32,3,"fair"
55,74,"fair"
36,15,"fair"
93,67,"fair"
11,27,"fair"
95,84,"very good"
97,20,"fair"
26,54,"fair"
51,55,"fair"
72,79,"fair"
15,22,"fair"
5,90,"excellent"
9,65,"fair"
7,40,"fair"
74,7,"fair"
24,11,"fair"
49,8,"fair"
22,25,"fair"
53,87,"very good"
3,95,"excellent"
28,90,"excellent"
62,74,"fair"
30,6,"fair"
43,49,"fair"
89,31,"fair"
39,50,"fair"
91,82,"very good"
1,5,"fair"
68,30,"fair"
37,14,"fair"
70,95,"excellent"
41,70,"fair"
87,18,"fair"
77,51,"fair"
47,79,"fair"
20,85,"very good"
66,44,"fair"
35,94,"excellent"
45,21,"fair"
60,97,"excellent"
64,41,"fair"
54,43,"fair"
85,79,"fair"
18,67,"fair"
83,81,"very good"
94,76,"fair"
100,18,"fair"
79,71,"fair"
81,13,"fair"
12,93,"excellent"
14,52,"fair"
58,92,"excellent"
16,19,"fair"
52,51,"fair"
31,79,"fair"
98,15,"fair"
33,85,"very good"
92,32,"fair"
29,75,"fair"
56,22,"fair"
10,27,"fair"
50,12,"fair"
69,18,"fair"
96,71,"fair"
71,59,"fair"
27,44,"fair"
6,55,"fair"
75,66,"fair"
48,11,"fair"
67,29,"fair"
46,19,"fair"
73,43,"fair"
88,98,"excellent"
4,95,"excellent"
86,6,"fair"
90,100,"excellent"
65,53,"fair"
44,70,"fair"
23,14,"fair"
8,57,"fair"
63,52,"fair"
42,39,"fair"
84,1,"fair"
25,17,"fair"
82,56,"fair"
21,5,"fair"
2,83,"very good"
