"partition_id","adid","productid","event","clicktime"
1039,1,1001,view,2009-07-29 20:17:59
1039,2,1001,view,2009-04-21 13:17:59
1039,3,1001,view,2009-05-23 13:17:59
1039,4,1001,view,2009-07-16 11:17:59
1039,4,1001,click,2009-07-16 11:18:16
1039,4,1001,landing_page,2009-07-16 11:18:18
1039,5,1001,view,2009-08-19 22:17:59
1039,5,1001,click,2009-08-19 22:18:02
1039,5,1001,landing_page,2009-08-19 22:18:05
1039,5,1001,page_02,2009-08-22 04:20:05
1039,5,1001,page_03,2009-08-24 14:30:05
1039,5,1001,page_02,2009-08-27 23:03:05
1071,1,1001,view,2009-06-15 18:17:59
1071,2,1001,view,2009-05-25 00:17:59
1071,3,1001,view,2009-04-28 01:17:59
1071,4,1001,view,2009-03-13 17:17:59
1103,1,1001,view,2009-05-11 22:17:59
1103,2,1001,view,2009-08-03 01:17:59
1135,1,1001,view,2009-08-23 08:17:59
1135,2,1001,view,2009-04-23 20:17:59
1135,3,1001,view,2009-05-11 01:17:59
1135,4,1001,view,2009-06-26 12:17:59
1167,1,1001,view,2009-07-16 14:17:59
1167,2,1001,view,2009-07-24 04:17:59
1167,2,1001,click,2009-07-24 04:18:10
1167,2,1001,landing_page,2009-07-24 04:18:12
1167,2,1001,page_03,2009-07-27 06:10:12
1167,2,1001,page_03,2009-07-30 02:20:12
1167,3,1001,view,2009-05-21 08:17:59
1199,1,1001,view,2009-03-19 01:17:59
1199,1,1001,click,2009-03-19 01:18:08
1199,1,1001,landing_page,2009-03-19 01:18:09
1199,1,1001,view,2009-03-19 16:43:09
1199,1,1001,click,2009-03-19 16:43:26
1199,1,1001,landing_page,2009-03-19 16:43:27
1199,2,1001,view,2009-03-09 21:17:59
1199,3,1001,view,2009-08-15 12:17:59
1231,1,1001,view,2009-07-04 09:17:59
1231,1,1001,click,2009-07-04 09:18:17
1231,1,1001,landing_page,2009-07-04 09:18:20
1231,1,1001,page_03,2009-07-06 13:00:20
1231,1,1001,view,2009-07-06 19:20:20
1231,1,1001,view,2009-07-08 18:14:20
1231,2,1001,view,2009-04-27 01:17:59
1039,1,1001,view,2009-07-29 20:17:59
1039,2,1001,view,2009-04-21 13:17:59
1039,3,1001,view,2009-05-23 13:17:59
1039,4,1001,view,2009-07-16 11:17:59
1039,4,1001,click,2009-07-16 11:18:16
1039,4,1001,landing_page,2009-07-16 11:18:18
1039,5,1001,view,2009-08-19 22:17:59
1039,5,1001,click,2009-08-19 22:18:02
1039,5,1001,landing_page,2009-08-19 22:18:05
1039,5,1001,page_02,2009-08-22 04:20:05
1039,5,1001,page_03,2009-08-24 14:30:05
1039,5,1001,page_02,2009-08-27 23:03:05
1071,1,1001,view,2009-06-15 18:17:59
1071,2,1001,view,2009-05-25 00:17:59
1039,1,1001,view,2009-07-29 20:17:59
1039,2,1001,view,2009-04-21 13:17:59
1039,3,1001,view,2009-05-23 13:17:59
1039,4,1001,view,2009-07-16 11:17:59
1039,4,1001,click,2009-07-16 11:18:16
1039,4,1001,landing_page,2009-07-16 11:18:18
1039,5,1001,view,2009-08-19 22:17:59
1039,5,1001,click,2009-08-19 22:18:02
1039,5,1001,landing_page,2009-08-19 22:18:05
1039,5,1001,page_02,2009-08-22 04:20:05
1039,5,1001,page_03,2009-08-24 14:30:05
1039,5,1001,page_02,2009-08-27 23:03:05
1071,1,1001,view,2009-06-15 18:17:59
1071,2,1001,view,2009-05-25 00:17:59
1071,3,1001,view,2009-04-28 01:17:59
1071,4,1001,view,2009-03-13 17:17:59
1103,1,1001,view,2009-05-11 22:17:59
1103,2,1001,view,2009-08-03 01:17:59
1135,1,1001,view,2009-08-23 08:17:59
1135,2,1001,view,2009-04-23 20:17:59
1135,3,1001,view,2009-05-11 01:17:59
1135,4,1001,view,2009-06-26 12:17:59
1167,1,1001,view,2009-07-16 14:17:59
1167,2,1001,view,2009-07-24 04:17:59
1167,2,1001,click,2009-07-24 04:18:10
1167,2,1001,landing_page,2009-07-24 04:18:12
1167,2,1001,page_03,2009-07-27 06:10:12
1167,2,1001,page_03,2009-07-30 02:20:12
1167,3,1001,view,2009-05-21 08:17:59
1199,1,1001,view,2009-03-19 01:17:59
1199,1,1001,click,2009-03-19 01:18:08
1199,1,1001,landing_page,2009-03-19 01:18:09
1199,1,1001,view,2009-03-19 16:43:09
1199,1,1001,click,2009-03-19 16:43:26
1199,1,1001,landing_page,2009-03-19 16:43:27
1199,2,1001,view,2009-03-09 21:17:59
1199,3,1001,view,2009-08-15 12:17:59
1231,1,1001,view,2009-07-04 09:17:59
1231,1,1001,click,2009-07-04 09:18:17
1231,1,1001,landing_page,2009-07-04 09:18:20
1231,1,1001,page_03,2009-07-06 13:00:20
1231,1,1001,view,2009-07-06 19:20:20
1231,1,1001,view,2009-07-08 18:14:20
1231,2,1001,view,2009-04-27 01:17:59
1263,1,1001,view,2009-08-14 02:17:59
1263,2,1001,view,2009-08-13 13:17:59
1263,3,1001,view,2009-03-24 01:17:59
1263,4,1001,view,2009-02-09 15:17:59
1263,5,1001,view,2009-07-30 11:17:59
9231,1,1001,view,2009-08-01 17:17:59
9231,2,1001,view,2009-05-31 05:17:59
9231,3,1001,view,2009-08-08 02:17:59
9231,3,1001,click,2009-08-08 02:18:12
9231,3,1001,landing_page,2009-08-08 02:18:15
9231,3,1001,view,2009-08-11 00:01:15
9231,3,1001,click,2009-08-11 00:01:24
9231,3,1001,landing_page,2009-08-11 00:01:27
