"id","species","attribute","value_col"
122,"virginica","sepal_length","5.6"
122,"virginica","sepal_width","2.8"
122,"virginica","petal_length","4.9"
122,"virginica","petal_width","2.0"
19,"setosa","sepal_length","5.7"
19,"setosa","sepal_width","3.8"
19,"setosa","petal_length","1.7"
19,"setosa","petal_width","0.3"
59,"versicolor","sepal_length","6.6"
59,"versicolor","sepal_width","2.9"
59,"versicolor","petal_length","4.6"
59,"versicolor","petal_width","1.3"
99,"versicolor","sepal_length","5.1"
99,"versicolor","sepal_width","2.5"
99,"versicolor","petal_length","3.0"
99,"versicolor","petal_width","1.1"
36,"setosa","sepal_length","5.0"
36,"setosa","sepal_width","3.2"
36,"setosa","petal_length","1.2"
36,"setosa","petal_width","0.2"
97,"versicolor","sepal_length","5.7"
97,"versicolor","sepal_width","2.9"
97,"versicolor","petal_length","4.2"
97,"versicolor","petal_width","1.3"
15,"setosa","sepal_length","5.8"
15,"setosa","sepal_width","4.0"
15,"setosa","petal_length","1.2"
15,"setosa","petal_width","0.2"
137,"virginica","sepal_length","6.3"
137,"virginica","sepal_width","3.4"
137,"virginica","petal_length","5.6"
137,"virginica","petal_width","2.4"
74,"versicolor","sepal_length","6.1"
74,"versicolor","sepal_width","2.8"
74,"versicolor","petal_length","4.7"
74,"versicolor","petal_width","1.2"
53,"versicolor","sepal_length","6.9"
53,"versicolor","sepal_width","3.1"
53,"versicolor","petal_length","4.9"
53,"versicolor","petal_width","1.5"
114,"virginica","sepal_length","5.7"
114,"virginica","sepal_width","2.5"
114,"virginica","petal_length","5.0"
114,"virginica","petal_width","2.0"
30,"setosa","sepal_length","4.7"
30,"setosa","sepal_width","3.2"
30,"setosa","petal_length","1.6"
30,"setosa","petal_width","0.2"
91,"versicolor","sepal_length","5.5"
91,"versicolor","sepal_width","2.6"
91,"versicolor","petal_length","4.4"
91,"versicolor","petal_width","1.2"
70,"versicolor","sepal_length","5.6"
70,"versicolor","sepal_width","2.5"
70,"versicolor","petal_length","3.9"
70,"versicolor","petal_width","1.1"
129,"virginica","sepal_length","6.4"
129,"virginica","sepal_width","2.8"
129,"virginica","petal_length","5.6"
129,"virginica","petal_width","2.1"
47,"setosa","sepal_length","5.1"
47,"setosa","sepal_width","3.8"
47,"setosa","petal_length","1.6"
47,"setosa","petal_width","0.2"
45,"setosa","sepal_length","5.1"
45,"setosa","sepal_width","3.8"
45,"setosa","petal_length","1.9"
45,"setosa","petal_width","0.4"
85,"versicolor","sepal_length","5.4"
85,"versicolor","sepal_width","3.0"
85,"versicolor","petal_length","4.5"
85,"versicolor","petal_width","1.5"
146,"virginica","sepal_length","6.7"
146,"virginica","sepal_width","3.0"
146,"virginica","petal_length","5.2"
146,"virginica","petal_width","2.3"
125,"virginica","sepal_length","6.7"
125,"virginica","sepal_width","3.3"
125,"virginica","petal_length","5.7"
125,"virginica","petal_width","2.1"
144,"virginica","sepal_length","6.8"
144,"virginica","sepal_width","3.2"
144,"virginica","petal_length","5.9"
144,"virginica","petal_width","2.3"
102,"virginica","sepal_length","5.8"
102,"virginica","sepal_width","2.7"
102,"virginica","petal_length","5.1"
102,"virginica","petal_width","1.9"
100,"versicolor","sepal_length","5.7"
100,"versicolor","sepal_width","2.8"
100,"versicolor","petal_length","4.1"
100,"versicolor","petal_width","1.3"
140,"virginica","sepal_length","6.9"
140,"virginica","sepal_width","3.1"
140,"virginica","petal_length","5.4"
140,"virginica","petal_width","2.1"
117,"virginica","sepal_length","6.5"
117,"virginica","sepal_width","3.0"
117,"virginica","petal_length","5.5"
117,"virginica","petal_width","1.8"
14,"setosa","sepal_length","4.3"
14,"setosa","sepal_width","3.0"
14,"setosa","petal_length","1.1"
14,"setosa","petal_width","0.1"
31,"setosa","sepal_length","4.8"
31,"setosa","sepal_width","3.1"
31,"setosa","petal_length","1.6"
31,"setosa","petal_width","0.2"
29,"setosa","sepal_length","5.2"
29,"setosa","sepal_width","3.4"
29,"setosa","petal_length","1.4"
29,"setosa","petal_width","0.2"
69,"versicolor","sepal_length","6.2"
69,"versicolor","sepal_width","2.2"
69,"versicolor","petal_length","4.5"
69,"versicolor","petal_width","1.5"
6,"setosa","sepal_length","5.4"
6,"setosa","sepal_width","3.9"
6,"setosa","petal_length","1.7"
6,"setosa","petal_width","0.4"
46,"setosa","sepal_length","4.8"
46,"setosa","sepal_width","3.0"
46,"setosa","petal_length","1.4"
46,"setosa","petal_width","0.3"
86,"versicolor","sepal_length","6.0"
86,"versicolor","sepal_width","3.4"
86,"versicolor","petal_length","4.5"
86,"versicolor","petal_width","1.6"
23,"setosa","sepal_length","4.6"
23,"setosa","sepal_width","3.6"
23,"setosa","petal_length","1.0"
23,"setosa","petal_width","0.2"
84,"versicolor","sepal_length","6.0"
84,"versicolor","sepal_width","2.7"
84,"versicolor","petal_length","5.1"
84,"versicolor","petal_width","1.6"
124,"virginica","sepal_length","6.3"
124,"virginica","sepal_width","2.7"
124,"virginica","petal_length","4.9"
124,"virginica","petal_width","1.8"
21,"setosa","sepal_length","5.4"
21,"setosa","sepal_width","3.4"
21,"setosa","petal_length","1.7"
21,"setosa","petal_width","0.2"
61,"versicolor","sepal_length","5.0"
61,"versicolor","sepal_width","2.0"
61,"versicolor","petal_length","3.5"
61,"versicolor","petal_width","1.0"
38,"setosa","sepal_length","4.9"
38,"setosa","sepal_width","3.6"
38,"setosa","petal_length","1.4"
38,"setosa","petal_width","0.1"
78,"versicolor","sepal_length","6.7"
78,"versicolor","sepal_width","3.0"
78,"versicolor","petal_length","5.0"
78,"versicolor","petal_width","1.7"
76,"versicolor","sepal_length","6.6"
76,"versicolor","sepal_width","3.0"
76,"versicolor","petal_length","4.4"
76,"versicolor","petal_width","1.4"
116,"virginica","sepal_length","6.4"
116,"virginica","sepal_width","3.2"
116,"virginica","petal_length","5.3"
116,"virginica","petal_width","2.3"
93,"versicolor","sepal_length","5.8"
93,"versicolor","sepal_width","2.6"
93,"versicolor","petal_length","4.0"
93,"versicolor","petal_width","1.2"
133,"virginica","sepal_length","6.4"
133,"virginica","sepal_width","2.8"
133,"virginica","petal_length","5.6"
133,"virginica","petal_width","2.2"
131,"virginica","sepal_length","7.4"
131,"virginica","sepal_width","2.8"
131,"virginica","petal_length","6.1"
131,"virginica","petal_width","1.9"
108,"virginica","sepal_length","7.3"
108,"virginica","sepal_width","2.9"
108,"virginica","petal_length","6.3"
108,"virginica","petal_width","1.8"
26,"setosa","sepal_length","5.0"
26,"setosa","sepal_width","3.0"
26,"setosa","petal_length","1.6"
26,"setosa","petal_width","0.2"
148,"virginica","sepal_length","6.5"
148,"virginica","sepal_width","3.0"
148,"virginica","petal_length","5.2"
148,"virginica","petal_width","2.0"
5,"setosa","sepal_length","5.0"
5,"setosa","sepal_width","3.6"
5,"setosa","petal_length","1.4"
5,"setosa","petal_width","0.2"
24,"setosa","sepal_length","5.1"
24,"setosa","sepal_width","3.3"
24,"setosa","petal_length","1.7"
24,"setosa","petal_width","0.5"
3,"setosa","sepal_length","4.7"
3,"setosa","sepal_width","3.2"
3,"setosa","petal_length","1.3"
3,"setosa","petal_width","0.2"
43,"setosa","sepal_length","4.4"
43,"setosa","sepal_width","3.2"
43,"setosa","petal_length","1.3"
43,"setosa","petal_width","0.2"
1,"setosa","sepal_length","5.1"
1,"setosa","sepal_width","3.5"
1,"setosa","petal_length","1.4"
1,"setosa","petal_width","0.2"
41,"setosa","sepal_length","5.0"
41,"setosa","sepal_width","3.5"
41,"setosa","petal_length","1.3"
41,"setosa","petal_width","0.3"
20,"setosa","sepal_length","5.1"
20,"setosa","sepal_width","3.8"
20,"setosa","petal_length","1.5"
20,"setosa","petal_width","0.3"
60,"versicolor","sepal_length","5.2"
60,"versicolor","sepal_width","2.7"
60,"versicolor","petal_length","3.9"
60,"versicolor","petal_width","1.4"
18,"setosa","sepal_length","5.1"
18,"setosa","sepal_width","3.5"
18,"setosa","petal_length","1.4"
18,"setosa","petal_width","0.3"
79,"versicolor","sepal_length","6.0"
79,"versicolor","sepal_width","2.9"
79,"versicolor","petal_length","4.5"
79,"versicolor","petal_width","1.5"
58,"versicolor","sepal_length","4.9"
58,"versicolor","sepal_width","2.4"
58,"versicolor","petal_length","3.3"
58,"versicolor","petal_width","1.0"
98,"versicolor","sepal_length","6.2"
98,"versicolor","sepal_width","2.9"
98,"versicolor","petal_length","4.3"
98,"versicolor","petal_width","1.3"
56,"versicolor","sepal_length","5.7"
56,"versicolor","sepal_width","2.8"
56,"versicolor","petal_length","4.5"
56,"versicolor","petal_width","1.3"
96,"versicolor","sepal_length","5.7"
96,"versicolor","sepal_width","3.0"
96,"versicolor","petal_length","4.2"
96,"versicolor","petal_width","1.2"
75,"versicolor","sepal_length","6.4"
75,"versicolor","sepal_width","2.9"
75,"versicolor","petal_length","4.3"
75,"versicolor","petal_width","1.3"
115,"virginica","sepal_length","5.8"
115,"virginica","sepal_width","2.8"
115,"virginica","petal_length","5.1"
115,"virginica","petal_width","2.4"
73,"versicolor","sepal_length","6.3"
73,"versicolor","sepal_width","2.5"
73,"versicolor","petal_length","4.9"
73,"versicolor","petal_width","1.5"
134,"virginica","sepal_length","6.3"
134,"virginica","sepal_width","2.8"
134,"virginica","petal_length","5.1"
134,"virginica","petal_width","1.5"
113,"virginica","sepal_length","6.8"
113,"virginica","sepal_width","3.0"
113,"virginica","petal_length","5.5"
113,"virginica","petal_width","2.1"
111,"virginica","sepal_length","6.5"
111,"virginica","sepal_width","3.2"
111,"virginica","petal_length","5.1"
111,"virginica","petal_width","2.0"
90,"versicolor","sepal_length","5.5"
90,"versicolor","sepal_width","2.5"
90,"versicolor","petal_length","4.0"
90,"versicolor","petal_width","1.3"
8,"setosa","sepal_length","5.0"
8,"setosa","sepal_width","3.4"
8,"setosa","petal_length","1.5"
8,"setosa","petal_width","0.2"
130,"virginica","sepal_length","7.2"
130,"virginica","sepal_width","3.0"
130,"virginica","petal_length","5.8"
130,"virginica","petal_width","1.6"
128,"virginica","sepal_length","6.1"
128,"virginica","sepal_width","3.0"
128,"virginica","petal_length","4.9"
128,"virginica","petal_width","1.8"
25,"setosa","sepal_length","4.8"
25,"setosa","sepal_width","3.4"
25,"setosa","petal_length","1.9"
25,"setosa","petal_width","0.2"
126,"virginica","sepal_length","7.2"
126,"virginica","sepal_width","3.2"
126,"virginica","petal_length","6.0"
126,"virginica","petal_width","1.8"
145,"virginica","sepal_length","6.7"
145,"virginica","sepal_width","3.3"
145,"virginica","petal_length","5.7"
145,"virginica","petal_width","2.5"
2,"setosa","sepal_length","4.9"
2,"setosa","sepal_width","3.0"
2,"setosa","petal_length","1.4"
2,"setosa","petal_width","0.2"
101,"virginica","sepal_length","6.3"
101,"virginica","sepal_width","3.3"
101,"virginica","petal_length","6.0"
101,"virginica","petal_width","2.5"
141,"virginica","sepal_length","6.7"
141,"virginica","sepal_width","3.1"
141,"virginica","petal_length","5.6"
141,"virginica","petal_width","2.4"
17,"setosa","sepal_length","5.4"
17,"setosa","sepal_width","3.9"
17,"setosa","petal_length","1.3"
17,"setosa","petal_width","0.4"
139,"virginica","sepal_length","6.0"
139,"virginica","sepal_width","3.0"
139,"virginica","petal_length","4.8"
139,"virginica","petal_width","1.8"
34,"setosa","sepal_length","5.5"
34,"setosa","sepal_width","4.2"
34,"setosa","petal_length","1.4"
34,"setosa","petal_width","0.2"
13,"setosa","sepal_length","4.8"
13,"setosa","sepal_width","3.0"
