data_set_id,seq_no,timevalue,magnitude
556,1,2019-01-02,6.09e+01
556,2,2019-01-09,6.1617e+01
556,3,2019-01-16,6.108e+01
556,4,2019-01-23,6.39e+01
556,5,2019-01-30,6.381e+01
556,6,2019-02-06,6.3354e+01
556,7,2019-02-13,6.3871e+01
556,8,2019-02-20,6.1886e+01
556,9,2019-02-27,6.149e+01
556,10,2019-03-06,6.1524e+01
556,11,2019-03-13,6.2132e+01
556,12,2019-03-20,6.1599e+01
556,13,2019-03-27,6.1043e+01
556,14,2019-04-03,6.1842e+01
556,15,2019-04-10,6.1599e+01
556,16,2019-04-17,5.9465e+01
556,17,2019-04-24,5.8765e+01
556,18,2019-05-01,5.881e+01
556,19,2019-05-08,5.814e+01
556,20,2019-05-15,5.849e+01
556,21,2019-05-22,5.765e+01
556,22,2019-05-29,5.7114e+01
556,23,2019-06-05,5.7787e+01
556,24,2019-06-12,5.8911e+01
556,25,2019-06-19,5.8054e+01
556,26,2019-06-26,5.7775e+01
556,27,2019-07-03,5.8034e+01
556,28,2019-07-10,5.7189e+01
556,29,2019-07-17,5.73e+01
556,30,2019-07-24,5.7385e+01
556,31,2019-07-31,5.7145e+01
556,32,2019-08-07,5.749e+01
556,33,2019-08-14,5.8369e+01
556,34,2019-08-21,5.8119e+01
556,35,2019-08-28,5.6525e+01
556,36,2019-09-04,5.615e+01
556,37,2019-09-11,5.635e+01
556,38,2019-09-18,5.5119e+01
556,39,2019-09-25,5.5043e+01
556,40,2019-10-02,5.5219e+01
556,41,2019-10-09,5.299e+01
556,42,2019-10-16,5.2275e+01
556,43,2019-10-23,5.291e+01
556,44,2019-10-30,5.349e+01
556,45,2019-11-06,5.3366e+01
556,46,2019-11-13,5.3401e+01
556,47,2019-11-20,5.3499e+01
556,48,2019-11-27,5.3749e+01
556,49,2019-12-04,5.403e+01
556,50,2019-12-11,5.3165e+01
556,51,2019-12-18,5.189e+01
556,52,2019-12-25,5.215e+01
