"id","score"
61,6
17,9
40,47
19,25
38,22
34,34
80,95
59,89
78,91
13,87
57,75
99,44
76,100
32,3
55,74
36,15
93,67
11,27
95,84
97,20
26,54
51,55
72,79
15,22
5,90
9,65
7,40
74,7
24,11
49,8
22,25
53,87
3,95
28,90
62,74
30,6
43,49
89,31
39,50
91,82
1,5
68,30
37,14
70,95
41,70
87,18
77,51
47,79
20,85
66,44
35,94
45,21
60,97
64,41
54,43
85,79
18,67
83,81
94,76
100,18
79,71
81,13
12,93
14,52
58,92
16,19
52,51
31,79
98,15
33,85
92,32
29,75
56,22
10,27
50,12
69,18
96,71
71,59
27,44
6,55
75,66
48,11
67,29
46,19
73,43
88,98
4,95
86,6
90,100
65,53
44,70
23,14
8,57
63,52
42,39
84,1
25,17
82,56
21,5
2,83
