"id","species","attribute","value1"
61,"versicolor","petal_width",1
101,"virginica","sepal_length",6.3
57,"versicolor","sepal_length",6.3
122,"virginica","sepal_width",2.8
61,"versicolor","sepal_width",2
101,"virginica","sepal_width",3.3
57,"versicolor","sepal_width",3.3
122,"virginica","sepal_length",5.6
61,"versicolor","sepal_length",5
101,"virginica","petal_width",2.5
57,"versicolor","petal_length",4.7
122,"virginica","petal_width",2
61,"versicolor","petal_length",3.5
101,"virginica","petal_length",6
57,"versicolor","petal_width",1.6
122,"virginica","petal_length",4.9
38,"setosa","petal_width",0.1
141,"virginica","sepal_length",6.7
118,"virginica","petal_width",2.2
19,"setosa","sepal_width",3.8
38,"setosa","sepal_length",4.9
141,"virginica","petal_width",2.4
118,"virginica","petal_length",6.7
19,"setosa","petal_width",0.3
38,"setosa","petal_length",1.4
141,"virginica","petal_length",5.6
118,"virginica","sepal_width",3.8
19,"setosa","sepal_length",5.7
38,"setosa","sepal_width",3.6
141,"virginica","sepal_width",3.1
118,"virginica","sepal_length",7.7
19,"setosa","petal_length",1.7
78,"versicolor","sepal_width",3
17,"setosa","sepal_length",5.4
72,"versicolor","petal_width",1.3
59,"versicolor","petal_width",1.3
78,"versicolor","petal_width",1.7
17,"setosa","petal_width",0.4
72,"versicolor","petal_length",4
59,"versicolor","sepal_length",6.6
78,"versicolor","sepal_length",6.7
17,"setosa","petal_length",1.3
72,"versicolor","sepal_width",2.8
59,"versicolor","petal_length",4.6
78,"versicolor","petal_length",5
17,"setosa","sepal_width",3.9
72,"versicolor","sepal_length",6.1
59,"versicolor","sepal_width",2.9
76,"versicolor","sepal_length",6.6
139,"virginica","sepal_length",6
112,"virginica","petal_width",1.9
99,"versicolor","sepal_length",5.1
76,"versicolor","sepal_width",3
139,"virginica","sepal_width",3
112,"virginica","petal_length",5.3
99,"versicolor","sepal_width",2.5
76,"versicolor","petal_length",4.4
139,"virginica","petal_length",4.8
112,"virginica","sepal_width",2.7
99,"versicolor","petal_length",3
76,"versicolor","petal_width",1.4
139,"virginica","petal_width",1.8
112,"virginica","sepal_length",6.4
99,"versicolor","petal_width",1.1
116,"virginica","petal_width",2.3
34,"setosa","petal_width",0.2
7,"setosa","petal_width",0.3
36,"setosa","petal_width",0.2
116,"virginica","petal_length",5.3
34,"setosa","petal_length",1.4
7,"setosa","petal_length",1.4
36,"setosa","petal_length",1.2
116,"virginica","sepal_width",3.2
34,"setosa","sepal_width",4.2
7,"setosa","sepal_width",3.4
36,"setosa","sepal_width",3.2
116,"virginica","sepal_length",6.4
34,"setosa","sepal_length",5.5
7,"setosa","sepal_length",4.6
36,"setosa","sepal_length",5
93,"versicolor","petal_width",1.2
13,"setosa","petal_width",0.1
127,"virginica","petal_width",1.8
97,"versicolor","petal_width",1.3
93,"versicolor","petal_length",4
13,"setosa","petal_length",1.4
127,"virginica","petal_length",4.8
97,"versicolor","petal_length",4.2
93,"versicolor","sepal_width",2.6
13,"setosa","sepal_width",3
127,"virginica","sepal_width",2.8
97,"versicolor","sepal_width",2.9
93,"versicolor","sepal_length",5.8
13,"setosa","sepal_length",4.8
127,"virginica","sepal_length",6.2
97,"versicolor","sepal_length",5.7
133,"virginica","petal_width",2.2
32,"setosa","petal_width",0.4
22,"setosa","petal_width",0.4
137,"virginica","petal_length",5.6
133,"virginica","petal_length",5.6
32,"setosa","petal_length",1.5
22,"setosa","petal_length",1.5
137,"virginica","sepal_width",3.4
133,"virginica","sepal_width",2.8
32,"setosa","sepal_width",3.4
22,"setosa","sepal_width",3.7
137,"virginica","sepal_length",6.3
133,"virginica","sepal_length",6.4
32,"setosa","sepal_length",5.4
22,"setosa","sepal_length",5.1
137,"virginica","petal_width",2.4
131,"virginica","petal_length",6.1
11,"setosa","petal_length",1.5
62,"versicolor","petal_length",4.2
74,"versicolor","petal_width",1.2
131,"virginica","sepal_width",2.8
11,"setosa","sepal_width",3.7
62,"versicolor","sepal_width",3
74,"versicolor","petal_length",4.7
131,"virginica","sepal_length",7.4
11,"setosa","sepal_length",5.4
62,"versicolor","sepal_length",5.9
74,"versicolor","sepal_width",2.8
131,"virginica","petal_width",1.9
11,"setosa","petal_width",0.2
62,"versicolor","petal_width",1.5
74,"versicolor","sepal_length",6.1
108,"virginica","petal_width",1.8
51,"versicolor","petal_width",1.4
39,"setosa","petal_width",0.2
53,"versicolor","petal_width",1.5
108,"virginica","petal_length",6.3
51,"versicolor","petal_length",4.7
39,"setosa","petal_length",1.3
53,"versicolor","petal_length",4.9
108,"virginica","sepal_width",2.9
51,"versicolor","sepal_width",3.2
39,"setosa","sepal_width",3
53,"versicolor","sepal_width",3.1
108,"virginica","sepal_length",7.3
51,"versicolor","sepal_length",7
39,"setosa","sepal_length",4.4
53,"versicolor","sepal_length",6.9
26,"setosa","petal_width",0.2
9,"setosa","petal_width",0.2
37,"setosa","petal_width",0.2
114,"virginica","petal_width",2
26,"setosa","petal_length",1.6
9,"setosa","petal_length",1.4
37,"setosa","petal_length",1.3
114,"virginica","petal_length",5
26,"setosa","sepal_width",3
9,"setosa","sepal_width",2.9
37,"setosa","sepal_width",3.5
114,"virginica","sepal_width",2.5
26,"setosa","sepal_length",5
9,"setosa","sepal_length",4.4
37,"setosa","sepal_length",5.5
114,"virginica","sepal_length",5.7
148,"virginica","petal_width",2
49,"setosa","petal_width",0.2
77,"versicolor","petal_width",1.4
91,"versicolor","petal_width",1.2
148,"virginica","petal_length",5.2
49,"setosa","petal_length",1.5
77,"versicolor","petal_length",4.8
91,"versicolor","petal_length",4.4
148,"virginica","sepal_width",3
49,"setosa","sepal_width",3.7
77,"versicolor","sepal_width",2.8
91,"versicolor","sepal_width",2.6
148,"virginica","sepal_length",6.5
49,"setosa","sepal_length",5.3
77,"versicolor","sepal_length",6.8
91,"versicolor","sepal_length",5.5
24,"setosa","petal_width",0.5
28,"setosa","petal_width",0.2
54,"versicolor","petal_width",1.3
129,"virginica","petal_width",2.1
24,"setosa","petal_length",1.7
28,"setosa","petal_length",1.5
54,"versicolor","petal_length",4
129,"virginica","petal_length",5.6
24,"setosa","sepal_width",3.3
28,"setosa","sepal_width",3.5
54,"versicolor","sepal_width",2.3
129,"virginica","sepal_width",2.8
24,"setosa","sepal_length",5.1
28,"setosa","sepal_length",5.2
54,"versicolor","sepal_length",5.5
129,"virginica","sepal_length",6.4
3,"setosa","petal_width",0.2
89,"versicolor","petal_width",1.3
94,"versicolor","petal_width",1
47,"setosa","petal_length",1.6
3,"setosa","petal_length",1.3
89,"versicolor","petal_length",4.1
94,"versicolor","petal_length",3.3
47,"setosa","sepal_width",3.8
3,"setosa","sepal_width",3.2
89,"versicolor","sepal_width",3
94,"versicolor","sepal_width",2.3
47,"setosa","sepal_length",5.1
3,"setosa","sepal_length",4.7
89,"versicolor","sepal_length",5.6
94,"versicolor","sepal_length",5
47,"setosa","petal_width",0.2
43,"setosa","petal_width",0.2
68,"versicolor","petal_width",1
12,"setosa","petal_width",0.2
146,"virginica","petal_width",2.3
43,"setosa","petal_length",1.3
68,"versicolor","petal_length",4.1
12,"setosa","petal_length",1.6
146,"virginica","petal_length",5.2
43,"setosa","sepal_width",3.2
68,"versicolor","sepal_width",2.7
12,"setosa","sepal_width",3.4
146,"virginica","sepal_width",3
43,"setosa","sepal_length",4.4
68,"versicolor","sepal_length",5.8
12,"setosa","sepal_length",4.8
146,"virginica","sepal_length",6.7
1,"setosa","petal_length",1.4
87,"versicolor","petal_width",1.5
52,"versicolor","petal_width",1.5
144,"virginica","petal_width",2.3
1,"setosa","sepal_width",3.5
87,"versicolor","petal_length",4.7
52,"versicolor","petal_length",4.5
144,"virginica","petal_length",5.9
1,"setosa","sepal_length",5.1
87,"versicolor","sepal_width",3.1
52,"versicolor","sepal_width",3.2
144,"virginica","sepal_width",3.2
1,"setosa","petal_width",0.2
87,"versicolor","sepal_length",6.7
52,"versicolor","sepal_length",6.4
144,"virginica","sepal_length",6.8
41,"setosa","petal_width",0.3
66,"versicolor","petal_length",4.4
92,"versicolor","petal_width",1.4
102,"virginica","petal_width",1.9
41,"setosa","petal_length",1.3
66,"versicolor","sepal_width",3.1
92,"versicolor","petal_length",4.6
102,"virginica","petal_length",5.1
41,"setosa","sepal_width",3.5
66,"versicolor","sepal_length",6.7
92,"versicolor","sepal_width",3
102,"virginica","sepal_width",2.7
41,"setosa","sepal_length",5
66,"versicolor","petal_width",1.4
92,"versicolor","sepal_length",6.1
102,"virginica","sepal_length",5.8
18,"setosa","petal_width",0.3
106,"virginica","petal_width",2.1
132,"virginica","petal_width",2
117,"virginica","petal_width",1.8
18,"setosa","petal_length",1.4
106,"virginica","petal_length",6.6
132,"virginica","petal_length",6.4
117,"virginica","petal_length",5.5
18,"setosa","sepal_width",3.5
106,"virginica","sepal_width",3
132,"virginica","sepal_width",3.8
117,"virginica","sepal_width",3
18,"setosa","sepal_length",5.1
106,"virginica","sepal_length",7.6
132,"virginica","sepal_length",7.9
117,"virginica","sepal_length",6.5
79,"versicolor","petal_width",1.5
64,"versicolor","petal_width",1.4
109,"virginica","petal_width",1.8
14,"setosa","petal_width",0.1
79,"versicolor","petal_length",4.5
64,"versicolor","petal_length",4.7
109,"virginica","petal_length",5.8
14,"setosa","petal_length",1.1
79,"versicolor","sepal_width",2.9
64,"versicolor","sepal_width",2.9
109,"virginica","sepal_width",2.5
14,"setosa","sepal_width",3
79,"versicolor","sepal_length",6
64,"versicolor","sepal_length",6.1
109,"virginica","sepal_length",6.7
14,"setosa","sepal_length",4.3
58,"versicolor","petal_width",1
104,"virginica","petal_width",1.8
27,"setosa","petal_width",0.4
31,"setosa","petal_width",0.2
58,"versicolor","petal_length",3.3
104,"virginica","petal_length",5.6
27,"setosa","petal_length",1.6
31,"setosa","petal_length",1.6
58,"versicolor","sepal_width",2.4
104,"virginica","sepal_width",2.9
27,"setosa","sepal_width",3.4
31,"setosa","sepal_width",3.1
58,"versicolor","sepal_length",4.9
104,"virginica","sepal_length",6.3
27,"setosa","sepal_length",5
31,"setosa","sepal_length",4.8
98,"versicolor","petal_width",1.3
83,"versicolor","petal_width",1.2
149,"virginica","petal_width",2.3
29,"setosa","petal_width",0.2
98,"versicolor","petal_length",4.3
83,"versicolor","petal_length",3.9
149,"virginica","petal_length",5.4
29,"setosa","petal_length",1.4
98,"versicolor","sepal_width",2.9
83,"versicolor","sepal_width",2.7
149,"virginica","sepal_width",3.4
29,"setosa","sepal_width",3.4
98,"versicolor","sepal_length",6.2
83,"versicolor","sepal_length",5.8
149,"virginica","sepal_length",6.2
29,"setosa","sepal_length",5.2
56,"versicolor","petal_width",1.3
123,"virginica","petal_width",2
67,"versicolor","petal_width",1.5
69,"versicolor","petal_width",1.5
56,"versicolor","petal_length",4.5
123,"virginica","petal_length",6.7
67,"versicolor","petal_length",4.5
69,"versicolor","petal_length",4.5
56,"versicolor","sepal_width",2.8
123,"virginica","sepal_width",2.8
67,"versicolor","sepal_width",3
69,"versicolor","sepal_width",2.2
56,"versicolor","sepal_length",5.7
123,"virginica","sepal_length",7.7
67,"versicolor","sepal_length",5.6
69,"versicolor","sepal_length",6.2
96,"versicolor","petal_width",1.2
81,"versicolor","petal_width",1.1
107,"virginica","petal_length",4.5
6,"setosa","petal_width",0.4
96,"versicolor","petal_length",4.2
81,"versicolor","petal_length",3.8
107,"virginica","sepal_width",2.5
6,"setosa","petal_length",1.7
96,"versicolor","sepal_width",3
81,"versicolor","sepal_width",2.4
