"docid","term","count"
4,"pakistan",1
2,"born",1
3,"nadal",3
5,"series",4
1,"have",1
4,"rivalry",1
2,"8",1
3,"known",1
5,"traditionally",1
1,"the",2
4,"is",1
2,"august",1
3,"by",1
5,"of",3
1,"capital",1
4,"one",2
2,"1981",1
3,"many",2
5,"five",3
1,"city",1
4,"most",1
2,"a",1
3,"fedal",1
5,"hosted",1
1,"tamil",1
4,"intense",1
2,"greatest",1
3,"is",1
5,"in",2
1,"nadu",1
4,"sports",1
2,"tennis",1
3,"between",1
5,"turn",1
1,"and",3
4,"rivalries",1
2,"player",1
3,"two",1
5,"by",1
1,"its",1
4,"in",1
2,"who",1
3,"professional",1
5,"england",3
1,"adjoining",1
4,"world",2
2,"has",2
3,"tennis",2
5,"and",2
1,"areas",1
4,"an",1
2,"been",1
3,"players",1
5,"australia",2
1,"normal",1
4,"match",1
2,"ranked",1
3,"of",3
5,"least",1
1,"came",1
4,"has",1
2,"inside",1
3,"switzerland",1
5,"once",1
1,"to",1
4,"been",1
2,"the",1
3,"and",2
5,"every",1
1,"a",1
4,"estimated",1
2,"top",1
3,"rafael",1
5,"four",1
1,"standstill",1
4,"to",3
2,"10",1
3,"spain",1
5,"years",1
1,"when",1
4,"attract",1
2,"since",1
3,"they",2
5,"as",1
1,"roads",1
4,"up",1
2,"october",1
3,"are",1
5,"august",1
1,"were",2
4,"billion",1
2,"2002",1
3,"currently",1
5,"2015",2
1,"submerged",1
4,"viewers",2
2,"and",2
3,"engaged",1
5,"hold",1
1,"in",2
4,"according",1
2,"won",1
3,"in",3
5,"the",3
1,"water",1
4,"tv",1
2,"wimbledon",1
3,"a",1
5,"having",1
1,"all",1
4,"ratings",1
2,"usopen",1
3,"storied",1
5,"won",2
1,"modes",1
4,"firms",1
2,"australian",1
3,"which",1
5,"three",1
1,"transport",1
4,"and",1
2,"frenchopen",1
3,"consider",1
5,"overall",1
1,"severely",1
4,"various",1
2,"titles",1
3,"to",1
5,"has",1
1,"affected",1
4,"reports",1
2,"times",1
3,"greatest",1
5,"have",1
1,"has",1
4,"2011",1
2,"mutiple",1
3,"history",1
5,"been",1
1,"had",1
4,"cup",1
2,"continuously",1
3,"have",1
5,"drawn",1
1,"tsunamis",1
4,"semifinal",1
2,"is",1
3,"played",1
5,"32",2
1,"earthquakes",1
4,"between",1
2,"on",1
3,"34",1
5,"at",1
1,"past",1
4,"two",1
2,"federer",1
3,"times",1
5,"tests",2
1,"life",1
4,"teams",1
2,"roger",1
3,"most",1
5,"is",1
1,"of",2
4,"attracted",1
3,"recently",1
5,"ashes",3
1,"battered",1
4,"around",1
3,"2015",1
5,"an",1
1,"floods",1
4,"988",1
3,"swiss",1
1,"chennai",2
4,"million",1
3,"indoors",1
4,"television",1
3,"final",1
4,"other",1
3,"leads",1
4,"india-pakistan",1
3,"their",1
4,"of",1
3,"eleven-year-old",1
4,"cricket",2
3,"with",1
4,"india",1
3,"an",1
4,"the",5
3,"overall",1
3,"record",1
3,"23-11",1
3,"be",1
3,"roger",1
3,"as",1
3,"rivalry",3
3,"federer",2
3,"the",3
